CALITOO #1504-0124
------------------------------------------
CN0_465=3636;RAY_465=0.19490
CN0_540=3364;RAY_540=0.10637;OZ_540=0.0128
CN0_619=2455;RAY_619=0.06281;OZ_619=0.0154
----------------------------------------------------------------------
Date;Time;Temperature;Pression;RAW465;RAW540;RAW619;Altitude;Latitude;Longitude;Elevation;AOT465;AOT540;AOT619;Alpha;R²
2024-06-04;07:55:12;+21;0841;2531;2827;2160;0000M;4648.79679N;00950.67049E;43.0;0.5173;0.4769;0.4104;0.80;0.96
2024-06-04;07:55:25;+22;0841;2519;2817;2156;01608;4648.79698N;00950.66899E;43.0;0.5210;0.4797;0.4120;0.82;0.96
2024-06-04;09:00:01;+23;0841;2642;2916;2212;01608;4648.79465N;00950.67503E;53.3;0.6027;0.5540;0.4757;0.82;0.96
2024-06-04;09:00:22;+23;0841;2634;2893;2223;01614;4648.79315N;00950.67702E;53.4;0.6057;0.5608;0.4721;0.87;0.94
2024-06-04;09:00:36;+23;0841;2653;2926;2211;01615;4648.79353N;00950.67727E;53.4;0.6003;0.5520;0.4767;0.80;0.97
2024-06-04;09:36:22;+25;0841;2527;2778;2110;01613;4648.79361N;00950.67694E;58.4;0.6880;0.6359;0.5495;0.78;0.96
2024-06-04;09:36:57;+25;0841;2676;2947;2214;01623;4648.79281N;00950.67870E;58.5;0.6398;0.5861;0.5090;0.80;0.97
2024-06-04;09:37:13;+25;0841;2690;2961;2226;01627;4648.79256N;00950.67952E;58.5;0.6357;0.5824;0.5046;0.80;0.97
2024-06-14;11:59:44;+21;0842;1866;2073;1564;01607;4648.79223N;00950.66319E;65.0;1.0154;0.9466;0.8587;0.58;0.99
2024-06-14;12:00:08;+21;0842;2436;2708;2092;01612;4648.79181N;00950.66387E;65.0;0.7735;0.7042;0.5948;0.91;0.96
2024-06-18;06:31:39;+22;0845;1696;1993;1552;01614;4648.80048N;00950.66940E;28.9;0.5111;0.4759;0.4295;0.61;0.98
2024-06-18;06:31:58;+23;0845;1831;2154;1688;01613;4648.80027N;00950.66981E;29.0;0.4751;0.4392;0.3897;0.69;0.98
2024-06-18;06:32:28;+23;0845;1821;2143;1680;01612;4648.80016N;00950.67003E;29.0;0.4795;0.4432;0.3932;0.69;0.98
2024-06-18;07:03:09;+29;0844;2252;2616;2038;01614;4648.80141N;00950.66946E;34.3;0.4632;0.4185;0.3585;0.89;0.98
2024-06-18;07:03:26;+29;0844;2253;2616;2036;0000M;4648.80115N;00950.66904E;34.4;0.4638;0.4191;0.3596;0.89;0.98
2024-06-18;07:03:46;+29;0844;2255;2609;2041;01618;4648.80052N;00950.66923E;34.4;0.4642;0.4214;0.3589;0.90;0.97
2024-06-18;07:36:08;+33;0844;2356;2692;2094;01610;4648.80101N;00950.66928E;39.9;0.5213;0.4725;0.4005;0.92;0.97
2024-06-18;07:36:25;+33;0844;2358;2693;2097;01610;4648.80088N;00950.66934E;40.0;0.5215;0.4728;0.4000;0.92;0.97
2024-06-18;07:36:40;+33;0844;2355;2695;2083;01609;4648.80093N;00950.66920E;40.0;0.5229;0.4728;0.4047;0.89;0.98
2024-06-18;08:01:36;+35;0844;2344;2657;2051;01621;4648.80097N;00950.67096E;44.2;0.5841;0.5313;0.4555;0.87;0.97
2024-06-18;08:02:00;+35;0844;2298;2602;2012;01619;4648.80132N;00950.67117E;44.3;0.5989;0.5467;0.4695;0.85;0.97
2024-06-18;08:02:13;+35;0844;2270;2575;1987;01617;4648.80098N;00950.67065E;44.3;0.6079;0.5544;0.4786;0.83;0.98
2024-06-18;08:32:59;+36;0844;1944;2187;1679;01617;4648.80156N;00950.67072E;49.4;0.7920;0.7349;0.6536;0.67;0.98
2024-06-18;08:33:17;+36;0844;2092;2354;1804;01627;4648.80052N;00950.67114E;49.4;0.7369;0.6796;0.5995;0.72;0.98
2024-06-18;08:33:46;+36;0844;2099;2361;1814;01623;4648.80012N;00950.67061E;49.5;0.7354;0.6782;0.5961;0.73;0.98
2024-06-18;09:31:11;+34;0844;2383;2668;2036;01616;4648.80138N;00950.66937E;58.1;0.7322;0.6652;0.5753;0.84;0.98
2024-06-18;09:31:42;+34;0844;2465;2769;2113;01616;4648.80085N;00950.66981E;58.2;0.7041;0.6342;0.5443;0.90;0.98
2024-06-18;09:32:09;+34;0844;2411;2696;2068;01617;4648.80115N;00950.66975E;58.2;0.7235;0.6574;0.5630;0.87;0.97
2024-06-18;10:33:39;+39;0844;2532;2814;2152;01616;4648.80115N;00950.66733E;64.9;0.7365;0.6678;0.5678;0.91;0.97
2024-06-18;10:34:27;+39;0844;2492;2769;2124;01615;4648.80106N;00950.66925E;64.9;0.7514;0.6827;0.5800;0.90;0.97
2024-06-18;11:01:42;+40;0844;2343;2589;1953;01616;4648.80192N;00950.66932E;66.3;0.8181;0.7531;0.6641;0.73;0.98
2024-06-18;11:02:13;+40;0844;2461;2718;2066;01614;4648.80108N;00950.66978E;66.4;0.7732;0.7086;0.6126;0.81;0.97
2024-06-19;07:07:03;+22;0843;1611;1863;1437;01615;4648.80110N;00950.66733E;34.9;0.6655;0.6215;0.5657;0.57;0.99
2024-06-19;07:07:20;+22;0843;1607;1856;1433;01613;4648.80082N;00950.66862E;35.0;0.6679;0.6245;0.5680;0.56;0.98
2024-06-19;07:07:49;+22;0843;1633;1886;1462;01615;4648.80104N;00950.66940E;35.1;0.6604;0.6168;0.5578;0.59;0.98
2024-06-19;07:32:08;+33;0843;1753;1997;1537;01615;4648.80070N;00950.66832E;39.2;0.6983;0.6529;0.5891;0.59;0.98
2024-06-19;07:32:23;+33;0843;1755;2000;1538;01617;4648.80098N;00950.66814E;39.3;0.6984;0.6526;0.5893;0.59;0.98
2024-06-19;08:01:27;+33;0842;1913;2155;1649;01611;4648.80090N;00950.66959E;44.2;0.7254;0.6768;0.6071;0.62;0.98
2024-06-19;14:9.:00;+33;0842;1914;2161;1657;01617;4648.80165N;00950.66869E;35.6;0.5779;0.5462;0.4924;0.56;0.96
2024-06-19;08:02:15;+33;0842;1912;2155;1661;01617;4648.80182N;00950.66933E;44.3;0.7278;0.6787;0.6037;0.65;0.97
2024-06-19;08:33:08;+34;0843;2040;2282;1742;01621;4648.80075N;00950.67052E;49.4;0.7555;0.7026;0.6256;0.66;0.97
2024-06-19;08:33:33;+34;0843;2033;2275;1739;01620;4648.80221N;00950.67283E;49.5;0.7590;0.7058;0.6276;0.66;0.97
2024-06-19;09:26:54;+37;0843;2250;2508;1906;01621;4648.80129N;00950.66977E;57.5;0.7748;0.7123;0.6267;0.74;0.98
2024-06-19;09:27:33;+36;0843;2267;2521;1915;01620;4648.80135N;00950.66990E;57.6;0.7693;0.7087;0.6234;0.73;0.98
2024-06-19;09:27:54;+36;0843;2251;2506;1912;01620;4648.80144N;00950.66981E;57.6;0.7758;0.7142;0.6251;0.75;0.97
2024-06-19;10:00:25;+37;0843;2363;2623;1995;01612;4648.80034N;00950.67134E;61.7;0.7731;0.7088;0.6172;0.78;0.98
2024-06-19;10:00:50;+37;0843;2363;2623;1993;01613;4648.80278N;00950.67054E;61.8;0.7735;0.7092;0.6184;0.78;0.98
2024-06-19;10:01:14;+37;0843;2353;2615;1992;01615;4648.80241N;00950.66992E;61.8;0.7776;0.7122;0.6192;0.79;0.98
2024-06-19;10:31:38;+38;0843;2449;2717;2059;01620;4648.80282N;00950.66830E;64.7;0.7656;0.6985;0.6069;0.81;0.98
2024-06-19;10:32:04;+38;0843;2434;2695;2050;01619;4648.80269N;00950.66924E;64.8;0.7714;0.7061;0.6110;0.81;0.97
2024-06-19;10:32:27;+38;0843;2437;2690;2055;01619;4648.80273N;00950.66952E;64.8;0.7705;0.7079;0.6090;0.82;0.97
2024-06-19;11:02:35;+39;0843;2417;2684;2039;01617;4648.80301N;00950.67245E;66.4;0.7899;0.7202;0.6247;0.82;0.98
2024-06-19;11:02:49;+39;0843;2408;2663;2036;01620;4648.80437N;00950.67247E;66.4;0.7934;0.7275;0.6261;0.82;0.97
2024-06-19;11:03:10;+39;0843;2412;2667;2037;01620;4648.80192N;00950.67097E;66.4;0.7919;0.7262;0.6257;0.82;0.97
2024-06-19;13:58:38;+28;0844;2115;2370;1790;01617;4648.80124N;00950.66878E;50.5;0.7422;0.6862;0.6157;0.65;0.99
2024-06-19;14:15:04;+25;0844;2004;2258;1720;01620;4648.79927N;00950.66840E;47.8;0.7467;0.6913;0.6185;0.66;0.98
2024-06-19;14:29:37;+25;0844;1977;2222;1697;01621;4648.80056N;00950.67042E;45.4;0.7212;0.6720;0.6015;0.63;0.98
2024-06-19;14:47:15;+24;0844;1872;2119;1603;01623;4648.80096N;00950.67175E;42.5;0.7121;0.6639;0.6052;0.57;0.99
2024-06-19;14:57:48;+25;0844;1604;1817;1377;01618;4648.80054N;00950.66951E;40.7;0.7827;0.7378;0.6811;0.48;0.99
2024-07-05;07:02:44;+24;0843;2345;2710;2079;01608;4648.79399N;00950.67766E;33.2;0.4232;0.3842;0.3353;0.81;0.98
2024-07-05;07:03:13;+24;0843;2344;2698;2060;01598;4648.79282N;00950.67687E;33.3;0.4248;0.3877;0.3412;0.76;0.99
2024-07-05;07:03:26;+24;0843;2350;2699;2064;01598;4648.79247N;00950.67610E;33.3;0.4240;0.3880;0.3405;0.76;0.98
2024-07-05;07:44:43;+26;0843;2497;2817;2157;01604;4648.79501N;00950.66681E;40.4;0.4895;0.4478;0.3850;0.84;0.97
2024-07-05;07:44:53;+26;0843;2488;2807;2152;01605;4648.79429N;00950.66894E;40.4;0.4922;0.4504;0.3868;0.84;0.97
2024-07-05;07:45:02;+26;0843;2499;2823;2150;01604;4648.79378N;00950.67047E;40.4;0.4897;0.4470;0.3876;0.81;0.98
2024-07-05;08:05:26;+27;0843;2481;2787;2106;01601;4648.78948N;00950.68985E;43.9;0.5392;0.4934;0.4330;0.76;0.98
2024-07-05;08:05:35;+27;0843;2468;2757;2106;01601;4648.78975N;00950.68917E;43.9;0.5432;0.5011;0.4333;0.79;0.96
2024-07-05;08:38:23;+27;0843;2604;2905;2197;01616;4648.79106N;00950.68536E;49.2;0.5679;0.5173;0.4476;0.83;0.98
2024-07-05;08:38:53;+27;0843;2605;2900;2207;01615;4648.79637N;00950.67178E;49.3;0.5685;0.5194;0.4448;0.85;0.97
2024-07-05;09:06:46;+28;0843;2633;2924;2201;01613;4648.79215N;00950.68017E;53.6;0.6049;0.5511;0.4786;0.82;0.98
2024-07-05;09:06:57;+28;0843;2648;2934;2225;01606;4648.79372N;00950.67534E;53.6;0.6006;0.5485;0.4701;0.85;0.97
2024-07-05;09:07:10;+28;0843;2645;2931;2226;0000M;4648.79613N;00950.66625E;53.7;0.6019;0.5496;0.4699;0.86;0.97
2024-07-05;09:07:26;+28;0843;2638;2913;2222;01606;4648.79470N;00950.67638E;53.7;0.6044;0.5549;0.4717;0.86;0.96
2024-07-05;09:28:21;+26;0843;2685;2973;2231;01604;4648.79531N;00950.66870E;56.7;0.6181;0.5622;0.4883;0.82;0.98
2024-07-05;09:28:40;+26;0843;2669;2948;2229;01610;4648.79603N;00950.67196E;56.8;0.6235;0.5696;0.4893;0.84;0.97
2024-07-05;09:28:54;+26;0842;2687;2976;2236;01603;4648.79755N;00950.66545E;56.8;0.6183;0.5621;0.4870;0.83;0.98
2024-07-05;09:29:16;+26;0843;2666;2946;2227;01607;4648.79594N;00950.66556E;56.8;0.6251;0.5708;0.4906;0.84;0.97
2024-07-09;07:35:58;+23;0846;2306;2667;2058;01604;4648.79232N;00950.67611E;38.5;0.5130;0.4601;0.3964;0.90;0.99
2024-07-09;07:36:20;+23;0846;2312;2661;2064;0000M;4648.79126N;00950.67905E;38.6;0.5123;0.4623;0.3953;0.90;0.98
2024-07-09;08:03:12;+23;0846;2369;2704;2078;01607;4648.78925N;00950.69041E;43.1;0.5604;0.5054;0.4350;0.88;0.98
2024-07-09;08:03:21;+23;0846;2365;2700;2076;01606;4648.79059N;00950.68574E;43.1;0.5619;0.5067;0.4359;0.88;0.98
2024-07-09;08:03:32;+23;0846;2366;2687;2101;01607;4648.79164N;00950.68250E;43.1;0.5620;0.5103;0.4280;0.95;0.96
2024-07-09;10:10:14;+31;0846;2532;2841;2154;01603;4648.79307N;00950.67032E;61.4;0.7083;0.6352;0.5470;0.90;0.99
2024-07-09;10:10:22;+31;0846;2525;2825;2163;01605;4648.79300N;00950.67368E;61.4;0.7108;0.6403;0.5434;0.94;0.98
2024-07-09;10:10:31;+31;0846;2518;2820;2155;01606;4648.79301N;00950.67686E;61.4;0.7134;0.6419;0.5467;0.93;0.98
2024-07-10;07:14:43;+23;0847;2059;2438;1920;01608;4648.79326N;00950.67591E;34.8;0.5207;0.4641;0.3970;0.95;0.99
2024-07-10;07:14:55;+24;0847;2054;2439;1914;01606;4648.79342N;00950.67435E;34.8;0.5227;0.4643;0.3992;0.94;0.99
2024-07-10;07:15:05;+24;0847;2053;2429;1920;01608;4648.79343N;00950.67321E;34.8;0.5235;0.4671;0.3977;0.96;0.98
2024-07-10;07:39:50;+25;0846;2152;2521;1962;01610;4648.79377N;00950.67111E;39.0;0.5647;0.5024;0.4321;0.93;0.99
2024-07-10;07:40:02;+25;0846;2141;2492;1978;01609;4648.79246N;00950.67541E;39.1;0.5684;0.5101;0.4274;0.99;0.97
2024-07-10;07:40:16;+25;0846;2144;2486;1967;01609;4648.79235N;00950.67586E;39.1;0.5682;0.5121;0.4313;0.96;0.97
2024-07-10;07:40:30;+25;0846;2141;2494;1973;01610;4648.79252N;00950.67507E;39.2;0.5697;0.5106;0.4298;0.98;0.98
2024-07-10;08:40:28;+25;0846;2336;2669;2057;01612;4648.79517N;00950.67746E;49.0;0.6473;0.5794;0.4958;0.93;0.98
2024-07-10;08:40:37;+25;0846;2324;2659;2057;01615;4648.79401N;00950.68059E;49.1;0.6515;0.5825;0.4960;0.95;0.98
2024-07-10;08:40:48;+25;0846;2323;2655;2051;01618;4648.79444N;00950.68149E;49.1;0.6522;0.5839;0.4985;0.94;0.98
2024-07-10;09:09:09;+24;0846;2300;2601;1998;01608;4648.79281N;00950.67384E;53.4;0.7113;0.6434;0.5550;0.86;0.98
2024-07-10;09:09:22;+24;0846;1996;2245;1741;01603;4648.79309N;00950.66802E;53.5;0.8255;0.7619;0.6659;0.75;0.97
2024-07-10;09:09:39;+25;0846;2295;2630;2008;01605;4648.79361N;00950.67009E;53.5;0.7139;0.6352;0.5516;0.90;0.99
2024-07-10;09:09:54;+25;0846;2211;2521;1952;01605;4648.79356N;00950.67138E;53.5;0.7443;0.6696;0.5747;0.90;0.98
2024-07-11;07:10:34;+23;0847;2063;2449;1928;01605;4648.79296N;00950.67641E;33.9;0.5055;0.4499;0.3851;0.95;0.99
2024-07-11;07:10:47;+23;0847;2067;2449;1928;01612;4648.79343N;00950.67098E;34.0;0.5051;0.4504;0.3855;0.94;0.99
2024-07-11;07:11:00;+23;0847;2055;2423;1926;01613;4648.79293N;00950.67087E;34.0;0.5090;0.4569;0.3866;0.96;0.98
2024-07-11;07:28:45;+24;0846;2136;2502;1966;01615;4648.79552N;00950.66543E;37.0;0.5376;0.4807;0.4092;0.95;0.98
2024-07-11;07:29:00;+24;0846;2145;2510;1974;01614;4648.79397N;00950.67132E;37.1;0.5357;0.4793;0.4072;0.96;0.98
2024-07-11;07:55:50;+24;0846;2232;2592;2013;01608;4648.80038N;00950.65215E;41.6;0.5802;0.5169;0.4424;0.94;0.99
2024-07-11;07:56:09;+24;0846;2231;2587;2011;01609;4648.79821N;00950.66028E;41.7;0.5813;0.5189;0.4436;0.94;0.99
