AERONET Version 3
Laegeren
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Alexander_Damm-Reiser; PI Email=alexander.damm@geo.uzh.ch
Daily Averages,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
11:08:2024,12:00:00,224,0.031289,0.040909,0.049873,-999.,-999.,0.066944,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.108751,-999.,-999.,0.130410,-999.,-999.,0.162564,0.180300,2.314692,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.495028,1.475313,1.612064,1.480836,1.276103,-999.,70,70,70,0,0,70,0,0,0,0,0,0,0,0,70,0,0,70,0,0,70,70,70,0,0,0,0,0,0,0,70,70,70,70,70,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
12:08:2024,12:00:00,225,0.025664,0.051953,0.071065,-999.,-999.,0.112093,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.194909,-999.,-999.,0.236733,-999.,-999.,0.293196,0.327334,2.728290,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.791963,1.489951,1.773407,1.831888,1.275368,-999.,69,69,69,0,0,69,0,0,0,0,0,0,0,0,69,0,0,69,0,0,69,69,69,0,0,0,0,0,0,0,69,69,69,69,69,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
13:08:2024,12:00:00,226,0.013190,0.027151,0.037188,-999.,-999.,0.057473,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.102518,-999.,-999.,0.125827,-999.,-999.,0.158399,0.176720,2.122462,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.806636,1.572173,1.844538,1.828359,1.324165,-999.,131,131,131,0,0,131,0,0,0,0,0,0,0,0,131,0,0,131,0,0,131,131,131,0,0,0,0,0,0,0,131,131,131,131,131,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
14:08:2024,12:00:00,227,0.024555,0.040998,0.050931,-999.,-999.,0.072333,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.117225,-999.,-999.,0.139774,-999.,-999.,0.170826,0.189587,2.329567,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.503231,1.370848,1.555949,1.510750,1.193924,-999.,79,79,79,0,0,79,0,0,0,0,0,0,0,0,79,0,0,79,0,0,79,79,79,0,0,0,0,0,0,0,79,79,79,79,79,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
15:08:2024,12:00:00,228,0.036018,0.056161,0.067677,-999.,-999.,0.091134,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.139344,-999.,-999.,0.163184,-999.,-999.,0.196985,0.216346,2.471463,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.307317,1.266886,1.374188,1.304559,1.112742,-999.,121,121,121,0,0,121,0,0,0,0,0,0,0,0,121,0,0,121,0,0,121,121,121,0,0,0,0,0,0,0,121,121,121,121,121,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
16:08:2024,12:00:00,229,0.046178,0.073270,0.087927,-999.,-999.,0.118007,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.177250,-999.,-999.,0.206035,-999.,-999.,0.244716,0.267490,2.803693,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.247205,1.180305,1.302009,1.247055,1.034465,-999.,136,136,136,0,0,136,0,0,0,0,0,0,0,0,136,0,0,136,0,0,136,136,136,0,0,0,0,0,0,0,136,136,136,136,136,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
19:08:2024,12:00:00,232,0.034126,0.044631,0.050813,-999.,-999.,0.066026,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.097104,-999.,-999.,0.110536,-999.,-999.,0.130180,0.140769,2.566195,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.390812,1.177831,1.404969,1.432382,1.061661,-999.,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
20:08:2024,12:00:00,233,0.011311,0.026678,0.036751,-999.,-999.,0.055648,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.092325,-999.,-999.,0.108692,-999.,-999.,0.130903,0.140239,2.318166,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.608768,1.280905,1.599169,1.655594,1.003245,-999.,52,52,52,0,0,52,0,0,0,0,0,0,0,0,52,0,0,52,0,0,51,51,52,0,0,0,0,0,0,0,52,52,52,52,51,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
21:08:2024,12:00:00,234,0.039516,0.060584,0.072757,-999.,-999.,0.097630,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.135457,-999.,-999.,0.150570,-999.,-999.,0.167412,0.173400,1.373609,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.139537,0.833319,1.075556,1.188442,0.638694,-999.,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
22:08:2024,12:00:00,235,0.037245,0.054456,0.065162,-999.,-999.,0.086491,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.121357,-999.,-999.,0.136142,-999.,-999.,0.153082,0.159102,1.352339,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.152206,0.865921,1.113793,1.190990,0.629683,-999.,113,113,113,0,0,113,0,0,0,0,0,0,0,0,113,0,0,113,0,0,113,113,113,0,0,0,0,0,0,0,113,113,113,113,113,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
