Date,p
2024-09-01, 10.4
2024-09-02, 0.2
2024-09-03, 1.4
2024-09-04, 0
2024-09-05, 5.4
2024-09-06, 0
2024-09-07, 0
2024-09-08, 8.9
2024-09-09, 17.5
2024-09-10, 1.3
2024-09-11, 26.8
2024-09-12, 2.1
2024-09-13, 1.5
2024-09-14, 0.7
2024-09-15, 0
2024-09-16, 3.0
2024-09-17, 5.3
2024-09-18, 0
2024-09-19, 0
2024-09-20, 0
2024-09-21, 0
2024-09-22, 4.0
2024-09-23, 5.8
2024-09-24, 2.1
2024-09-25, 1.2
2024-09-26, 41.4
2024-09-27, 2.6
2024-09-28, 13.9
2024-09-29, 0
2024-09-30, 0.7
2024-10-01, 26.2
2024-10-02, 12.5
2024-10-03, 0
2024-10-04, 5.7
2024-10-05, 0
2024-10-06, 2.6
2024-10-07, 0.6
2024-10-08, 9.1
2024-10-09, 0.1
2024-10-10, 4.4
2024-10-11, 5.9
2024-10-12, 12.9
2024-10-13, 5.9
2024-10-14, 0
2024-10-15, 3.3
2024-10-16, 0.1
2024-10-17, 0
2024-10-18, 0
2024-10-19, 0
2024-10-20, 0
2024-10-21, 0.1
2024-10-22, 4.8
2024-10-23, 14.4
2024-10-24, 0
2024-10-25, 0.1
2024-10-26, 0
2024-10-27, 0
2024-10-28, 0
2024-10-29, 0.1
2024-10-30, 0.3
2024-10-31, 0
2024-11-01, 0
2024-11-02, 0
2024-11-03, 0
2024-11-04, 0
2024-11-05, 0
2024-11-06, 0.1
2024-11-07, 0
2024-11-08, 0
2024-11-09, 0
2024-11-10, 0.1
2024-11-11, 9.4
2024-11-12, 1.0
2024-11-13, 0.3
2024-11-14, 0
2024-11-15, 0
2024-11-16, 0
2024-11-17, 0
2024-11-18, 0
2024-11-19, 10.7
2024-11-20, 12.9
2024-11-21, 17.1
2024-11-22, 6.8
2024-11-23, 0
2024-11-24, 0
2024-11-25, 0
2024-11-26, 9.4
2024-11-27, 0.1
2024-11-28, 11.3
2024-11-29, 0
2024-11-30, 0

