date,N
2023-09-01,10.4
2023-09-02,0.2
2023-09-03,1.4
2023-09-04,0
2023-09-05,0
2023-09-06,5.4
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,8.9
2023-09-12,17.5
2023-09-13,1.3
2023-09-14,26.8
2023-09-15,2.1
2023-09-16,1.5
2023-09-17,0.7
2023-09-18,0
2023-09-19,3.0
2023-09-20,5.3
2023-09-21,0
2023-09-22,0
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,4.0
2023-09-28,5.8
2023-09-29,2.1
2023-09-30,1.2
2023-10-01,26.2
2023-10-02,12.5
2023-10-03,0
2023-10-04,0
2023-10-05,5.7
2023-10-06,0
2023-10-07,0
2023-10-08,2.6
2023-10-09,0.6
2023-10-10,9.1
2023-10-11,0.1
2023-10-12,4.4
2023-10-13,5.9
2023-10-14,12.9
2023-10-15,5.9
2023-10-16,0
2023-10-17,0
2023-10-18,3.3
2023-10-19,0.1
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0.1
2023-10-27,4.8
2023-10-28,14.4
2023-10-29,0
2023-10-30,0
2023-10-31,0.1
2023-11-01,0
2023-11-02,0
2023-11-03,0
2023-11-04,0
2023-11-05,0
2023-11-06,0
2023-11-07,0
2023-11-08,0
2023-11-09,0
2023-11-10,0.1
2023-11-11,0
2023-11-12,0
2023-11-13,0
2023-11-14,0
2023-11-15,0
2023-11-16,0
2023-11-17,0.1
2023-11-18,9.4
2023-11-19,1.0
2023-11-20,0.3
2023-11-21,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,10.7
