Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Dark Target) daily (daily)"
User Start Date:,2024-08-01T00:00:00Z
User End Date:,2024-11-30T23:59:59Z
User Bounding Box:,"7,47,8,48"
Data Bounding Box:,"7.5,47.5,7.5,47.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2024-08-01T00:00:00Z&endtime=2024-11-30T23:59:59Z&bbox=7,47,8,48&data=OMAEROe_003_AerosolOpticalThicknessMW_483_5%2CMOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2CMOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2COMAERUVd_003_FinalAerosolOpticalDepth500%2COMAERUVd_003_FinalAerosolAbsOpticalDepth500&portal=GIOVANNI&format=json"
Fill Value (MOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean):, -9999

time, MOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean
2024-08-01,0.374000018
2024-08-02,0.153000007
2024-08-03,-9999
2024-08-04,-9999
2024-08-05,0.0110000005
2024-08-06,0.0880000042
2024-08-07,-9999
2024-08-08,-9999
2024-08-09,0.0240000011
2024-08-10,0.0700000033
2024-08-11,0.0830000039
2024-08-12,0.196000009
2024-08-13,0.112000005
2024-08-14,0.111000005
2024-08-15,0.130000006
2024-08-16,0.162000008
2024-08-17,0.0770000037
2024-08-18,-9999
2024-08-19,0.161000008
2024-08-20,0.132000006
2024-08-21,-9999
2024-08-22,0.0570000027
2024-08-23,0.132000006
2024-08-24,0.101000005
2024-08-25,0.229000011
2024-08-26,0.121000006
2024-08-27,0.0950000045
2024-08-28,0.129000006
2024-08-29,0.163000008
2024-08-30,0.285000014
2024-08-31,0.319000015
2024-09-01,0.235000011
2024-09-02,0.230000011
2024-09-03,0.136000006
2024-09-04,-9999
2024-09-05,-9999
2024-09-06,0.0800000038
2024-09-07,0.0280000013
2024-09-08,-9999
2024-09-09,-9999
2024-09-10,-9999
2024-09-11,-9999
2024-09-12,-9999
2024-09-13,-9999
2024-09-14,-9999
2024-09-15,0.0440000021
2024-09-16,-9999
2024-09-17,-9999
2024-09-18,-9999
2024-09-19,0.156000007
2024-09-20,0.105000005
2024-09-21,0.119000006
2024-09-22,0.171000008
2024-09-23,-9999
2024-09-24,0.20900001
2024-09-25,-9999
2024-09-26,-9999
2024-09-27,-9999
2024-09-28,-9999
2024-09-29,-9999
2024-09-30,-9999
2024-10-01,-9999
2024-10-02,-9999
2024-10-03,-9999
2024-10-04,-9999
2024-10-05,-9999
2024-10-06,-9999
2024-10-07,0.0560000027
2024-10-08,-9999
2024-10-09,-9999
2024-10-10,-9999
2024-10-11,-9999
2024-10-12,-9999
2024-10-13,-9999
2024-10-14,0.103000005
2024-10-15,-9999
2024-10-16,-9999
2024-10-17,-9999
2024-10-18,-9999
2024-10-19,-9999
2024-10-20,-9999
2024-10-21,0.0600000028
2024-10-22,-9999
2024-10-23,-9999
2024-10-24,0.126000006
2024-10-25,0.0720000034
2024-10-26,-9999
2024-10-27,-9999
2024-10-28,0.0480000023
2024-10-29,0.0890000042
2024-10-30,0.141000007
2024-10-31,0.113000005
2024-11-01,-9999
2024-11-02,-9999
2024-11-03,-9999
2024-11-04,-9999
2024-11-05,-9999
2024-11-06,-9999
2024-11-07,-9999
2024-11-08,-9999
2024-11-09,-9999
2024-11-10,-9999
2024-11-11,-9999
2024-11-12,-9999
2024-11-13,-9999
2024-11-14,-9999
2024-11-15,-9999
2024-11-16,-9999
2024-11-17,-9999
2024-11-18,-9999
2024-11-19,-9999
2024-11-20,-9999
2024-11-21,-9999
2024-11-22,-9999
2024-11-23,-9999
2024-11-24,-9999
2024-11-25,-9999
2024-11-26,-9999
2024-11-27,-9999
2024-11-28,-9999
2024-11-29,-9999
2024-11-30,-9999
