Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 483.5 nm daily 0.25 (daily)"
User Start Date:,2024-08-01T00:00:00Z
User End Date:,2024-11-30T23:59:59Z
User Bounding Box:,"7,47,8,48"
Data Bounding Box:,"7.125,47.125,7.875,47.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2024-08-01T00:00:00Z&endtime=2024-11-30T23:59:59Z&bbox=7,47,8,48&data=OMAEROe_003_AerosolOpticalThicknessMW_483_5%2CMOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2CMOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2COMAERUVd_003_FinalAerosolOpticalDepth500%2COMAERUVd_003_FinalAerosolAbsOpticalDepth500&portal=GIOVANNI&format=json"
Fill Value (mean_OMAEROe_003_AerosolOpticalThicknessMW_483_5):, -32767

time, mean_OMAEROe_003_AerosolOpticalThicknessMW_483_5
2024-08-01,-32767
2024-08-02,-32767
2024-08-03,0.738694949
2024-08-04,-32767
2024-08-05,-32767
2024-08-06,0.0610426684
2024-08-07,-32767
2024-08-08,0.56
2024-08-09,-32767
2024-08-10,0.137908338
2024-08-11,-32767
2024-08-12,-32767
2024-08-13,0.011
2024-08-14,-32767
2024-08-15,0.661893726
2024-08-16,-32767
2024-08-17,-32767
2024-08-18,-32767
2024-08-19,-32767
2024-08-20,1.465
2024-08-21,-32767
2024-08-22,0.0946244873
2024-08-23,-32767
2024-08-24,-32767
2024-08-25,-32767
2024-08-26,-32767
2024-08-27,0.41263248
2024-08-28,-32767
2024-08-29,0.265487519
2024-08-30,-32767
2024-08-31,-32767
2024-09-01,0.218
2024-09-02,-32767
2024-09-03,-32767
2024-09-04,-32767
2024-09-05,-32767
2024-09-06,-32767
2024-09-07,-32767
2024-09-08,-32767
2024-09-09,-32767
2024-09-10,-32767
2024-09-11,-32767
2024-09-12,-32767
2024-09-13,-32767
2024-09-14,-32767
2024-09-15,0.060458067
2024-09-16,-32767
2024-09-17,-32767
2024-09-18,-32767
2024-09-19,-32767
2024-09-20,0.24
2024-09-21,-32767
2024-09-22,-32767
2024-09-23,-32767
2024-09-24,-32767
2024-09-25,-32767
2024-09-26,-32767
2024-09-27,-32767
2024-09-28,-32767
2024-09-29,-32767
2024-09-30,-32767
2024-10-01,-32767
2024-10-02,-32767
2024-10-03,-32767
2024-10-04,-32767
2024-10-05,-32767
2024-10-06,-32767
2024-10-07,-32767
2024-10-08,-32767
2024-10-09,-32767
2024-10-10,-32767
2024-10-11,-32767
2024-10-12,-32767
2024-10-13,-32767
2024-10-14,-32767
2024-10-15,-32767
2024-10-16,-32767
2024-10-17,-32767
2024-10-18,-32767
2024-10-19,-32767
2024-10-20,-32767
2024-10-21,0.02525
2024-10-22,-32767
2024-10-23,-32767
2024-10-24,-32767
2024-10-25,-32767
2024-10-26,-32767
2024-10-27,-32767
2024-10-28,-32767
2024-10-29,-32767
2024-10-30,-32767
2024-10-31,-32767
2024-11-01,-32767
2024-11-02,-32767
2024-11-03,-32767
2024-11-04,-32767
2024-11-05,-32767
2024-11-06,-32767
2024-11-07,-32767
2024-11-08,-32767
2024-11-09,-32767
2024-11-10,-32767
2024-11-11,-32767
2024-11-12,-32767
2024-11-13,-32767
2024-11-14,-32767
2024-11-15,-32767
2024-11-16,-32767
2024-11-17,-32767
2024-11-18,-32767
2024-11-19,-32767
2024-11-20,-32767
2024-11-21,-32767
2024-11-22,-32767
2024-11-23,-32767
2024-11-24,-32767
2024-11-25,-32767
2024-11-26,-32767
2024-11-27,-32767
2024-11-28,-32767
2024-11-29,-32767
2024-11-30,-32767
