CALITOO #2205-0427
------------------------------------------
CN0_465=3521;RAY_465=0.19490
CN0_540=3595;RAY_540=0.10637;OZ_540=0.0128
CN0_619=2690;RAY_619=0.06281;OZ_619=0.0154
----------------------------------------------------------------------
Date;Time;Temperature;Pression;RAW465;RAW540;RAW619;Altitude;Latitude;Longitude;Elevation;AOT465;AOT540;AOT619;Alpha;R²
2024-06-04;08:27:17;+23;0841;2594;2773;2204;01567;4648.80426N;00950.64183E;48.2;0.0502;0.0363;0.0432;0.55;0.23
2024-06-04;08:27:30;+23;0841;2566;2724;2180;01568;4648.80390N;00950.64164E;48.3;0.0584;0.0497;0.0515;0.45;0.58
2024-06-04;08:27:41;+23;0841;2632;2742;2220;01567;4648.80456N;00950.63991E;48.3;0.0395;0.0448;0.0379;0.13;0.04
2024-06-04;09:01:07;+23;0841;2623;2806;2224;01621;4648.79615N;00950.67731E;53.5;0.0576;0.0374;0.0445;0.93;0.38
2024-06-04;09:01:37;+23;0841;2593;2746;2207;0000M;4648.79483N;00950.67820E;53.6;0.0671;0.0549;0.0508;0.98;0.95
2024-06-04;09:36:21;+25;0841;2676;2797;2241;01603;4648.79308N;00950.67733E;58.4;0.0537;0.0484;0.0447;0.64;1.00
2024-06-04;09:36:56;+25;0841;2603;2785;2246;01610;4648.79309N;00950.67767E;58.5;0.0774;0.0522;0.0429;2.07;0.97
2024-06-04;09:37:12;+25;0841;2669;2801;2249;01612;4648.79266N;00950.67877E;58.5;0.0562;0.0474;0.0418;1.03;1.00
2024-06-14;11:58:05;+22;0843;1821;1929;1569;01597;4648.79136N;00950.66164E;65.2;0.4147;0.3931;0.3734;0.37;1.00
2024-06-18;06:32:50;+23;0845;1866;2077;1712;0000M;4648.80063N;00950.67063E;29.1;0.1345;0.1273;0.1260;0.23;0.88
2024-06-18;06:33:22;+23;0845;1792;2000;1681;01614;4648.80067N;00950.67079E;29.2;0.1551;0.1464;0.1354;0.47;0.99
2024-06-18;06:33:42;+23;0845;1843;2060;1723;01613;4648.80069N;00950.67045E;29.3;0.1420;0.1324;0.1237;0.48;1.00
2024-06-18;06:34:09;+23;0845;1875;2063;1735;01612;4648.80078N;00950.67013E;29.3;0.1343;0.1322;0.1208;0.37;0.84
2024-06-18;07:04:08;+29;0845;2205;2515;2071;01616;4648.80075N;00950.66923E;34.5;0.0886;0.0564;0.0499;2.02;0.92
2024-06-18;07:04:22;+29;0845;2204;2503;2064;01617;4648.80039N;00950.66927E;34.5;0.0891;0.0593;0.0519;1.90;0.93
2024-06-18;07:05:14;+29;0845;2286;2480;2059;01618;4648.80002N;00950.66917E;34.7;0.0693;0.0651;0.0538;0.88;0.91
2024-06-18;07:32:59;+35;0845;2213;2569;2118;01615;4648.80146N;00950.67000E;39.4;0.1168;0.0621;0.0499;2.99;0.94
2024-06-18;07:33:16;+35;0845;2231;2551;2111;01615;4648.80067N;00950.67081E;39.5;0.1120;0.0667;0.0522;2.68;0.97
2024-06-18;08:04:57;+33;0845;2186;2479;2017;01620;4648.80112N;00950.66917E;44.8;0.1562;0.1052;0.0973;1.67;0.89
2024-06-18;08:05:13;+33;0845;2164;2468;2026;01618;4648.80097N;00950.66920E;44.8;0.1636;0.1085;0.0943;1.94;0.94
2024-06-18;08:05:58;+32;0845;2207;2491;2033;01616;4648.80096N;00950.66990E;45.0;0.1504;0.1024;0.0922;1.72;0.92
2024-06-18;08:36:41;+33;0844;2060;2270;1859;01616;4648.80126N;00950.66996E;50.0;0.2296;0.1907;0.1742;0.97;0.97
2024-06-18;08:37:20;+33;0844;2015;2282;1843;01611;4648.80014N;00950.66944E;50.1;0.2471;0.1871;0.1812;1.10;0.85
2024-06-18;09:36:30;+35;0844;2196;2434;1958;01618;4648.80101N;00950.66879E;58.8;0.2208;0.1653;0.1582;1.18;0.87
