,Unnamed: 0,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0,precalibrated_AOT465,precalibrated_AOT540,precalibrated_AOT619,tau_aerosols_465_calitoo,tau_aerosols_540_calitoo,tau_aerosols_619_calitoo,tau_aerosols_465_expected,tau_aerosols_540_expected,tau_aerosols_619_expected
0,0,2024-06-04,08:27:17,23,841,2672.457727822128,2856.871734483717,2270.6618473862645,01567,4648.80426N,00950.64183E,48.2,-0.085189290994363,-0.06923853503343053,-0.015398295363831308,0.55,0.23,2024-06-04 08:27:17,46.81340433333333,9.8440305,0.7295476273336297,1.3414248083444893,156,0.9706421070742004,0.0502,0.0363,0.0432,0.010662393159594497,0.052152881967031293,0.048125699800059235,-0.012561696669781214,0.0050770664194925205,0.019596711364563337
1,1,2024-06-04,08:27:30,23,841,2643.610844098528,2806.389687967416,2245.9359470517497,01568,4648.80390N,00950.64164E,48.3,-0.07691512455608719,-0.05584934484783952,-0.007125420860046128,0.45,0.58,2024-06-04 08:27:30,46.81339833333333,9.844027333333331,0.7278022980816354,1.3393368082771917,156,0.9706421070742004,0.0584,0.0497,0.0515,0.01908599051153384,0.06573131901368058,0.05649760697834233,-0.004174305222754665,0.018582113184157582,0.027924142404055146
2,2,2024-06-04,08:27:41,23,841,2711.6070700184428,2824.9341132183017,2287.1457809426074,01567,4648.80456N,00950.63991E,48.3,-0.09587655913525944,-0.060766847907677536,-0.02070103453005177,0.13,0.04,2024-06-04 08:27:41,46.81340933333333,9.8439985,0.7278022980816354,1.3393368082771917,156,0.9706421070742004,0.0395,0.0448,0.0379,0.00012455593236157525,0.060813815953842575,0.042921993308336695,-0.023135739801926902,0.013664610124319567,0.014348528734049498
3,3,2024-06-04,09:01:07,23,841,2702.334857393,2890.869847443674,2291.2667643316936,01621,4648.79615N,00950.67731E,53.5,-0.08553442860774758,-0.07483802502249863,-0.01774091769351611,0.93,0.38,2024-06-04 09:01:07,46.81326916666666,9.844621833333331,0.6370451769779303,1.2440025693531809,156,0.9706421070742004,0.0576,0.0374,0.0445,0.017823739786207576,0.05605998298497502,0.050757866101041854,-0.007219110619273272,0.005297493899963026,0.019994671725771834
4,4,2024-06-04,09:01:37,23,841,2671.4274819748566,2829.0550966073874,2273.7525849280787,0000M,4648.79483N,00950.67820E,53.6,-0.07613450250923158,-0.05738332160046832,-0.011486764864626468,0.98,0.95,2024-06-04 09:01:37,46.81324716666666,9.844636666666666,0.635299847725936,1.2423999331154147,156,0.9706421070742004,0.0671,0.0549,0.0508,0.027356992957369125,0.07368353854993658,0.05710037907083779,0.0022818384777435474,0.02285556829226961,0.026297501652466176
5,5,2024-06-04,09:36:21,25,841,2756.9378872983866,2881.597634818231,2308.780943735308,01603,4648.79308N,00950.67733E,58.4,-0.09605997628119334,-0.0694618037583307,-0.020625699898372495,0.64,1.0,2024-06-04 09:36:21,46.813218,9.844622166666667,0.5515240436302081,1.1740852143018523,156,0.9706421070742004,0.0537,0.0484,0.0447,0.013453222147231936,0.06923124534998183,0.05195222034114627,-0.013080942382614646,0.015445824939873112,0.0193570625296211
6,6,2024-06-04,09:36:56,25,841,2681.729940447571,2869.234684650974,2313.9321729716653,01610,4648.79309N,00950.67767E,58.5,-0.07237123716643969,-0.06574254491990665,-0.022464203736376222,2.07,0.97,2024-06-04 09:36:56,46.813218166666665,9.844627833333334,0.5497787143782138,1.1728276966140088,156,0.9706421070742004,0.0774,0.0522,0.0429,0.03725938241811419,0.073099212274801,0.05019153528139239,0.010696767689380965,0.01925612259433903,0.017561428612840418
7,7,2024-06-04,09:37:12,25,841,2749.7261663674863,2885.718618207317,2317.0229105134795,01612,4648.79266N,00950.67877E,58.5,-0.09372070263544902,-0.0706269988897974,-0.023602322033531836,1.03,1.0,2024-06-04 09:37:12,46.813211,9.844646166666667,0.5497787143782138,1.1728276966140088,156,0.9706421070742004,0.0562,0.0474,0.0418,0.015909916949104846,0.06821475830491026,0.04905341698423679,-0.01065269777962835,0.014371668624448294,0.016423310315684805
8,8,2024-06-14,11:58:05,22,843,1879.9234700994837,1991.4181075353672,1619.7693160824217,01597,4648.79136N,00950.66164E,65.2,0.2580229952102201,0.26923124630004397,0.30491275434182635,0.37,1.0,2024-06-14 11:58:05,46.81318933333333,9.844360666666669,0.4328416544945936,1.101591550405211,166,0.968656452756364,0.4147,0.3931,0.3734,0.3747430508410232,0.41705142359226455,0.38226689073353476,0.346462722949178,0.3597264860278025,0.34752670701456007
9,9,2024-06-18,06:32:50,23,845,1927.4578971506223,2145.407316388983,1768.385809175705,0000M,4648.80063N,00950.67063E,29.1,0.035606060513788645,0.052689789982273104,0.08435313166170086,0.23,0.88,2024-06-18 06:32:50,46.81334383333333,9.8445105,1.0629055144645467,2.05619422368412,170,0.9681145319742256,0.1345,0.1273,0.126,0.09813800694409411,0.1318834072042647,0.12579506455718437,0.08298702077289119,0.1011719762892546,0.10718325619611474
