,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0
0,2024-06-04,07:55:12,21,841,2607.552239444027,2912.505010236375,2225.331030106321,0000M,4648.79679N,00950.67049E,43.0,0.5173,0.4769,0.4104,0.8,0.96,2024-06-04 07:55:12,46.81327983333333,9.844508166666667,0.8203047484373349,1.466279185639625,156,0.9706421070742003
1,2024-06-04,07:55:25,22,841,2595.1892892767696,2902.2025517636603,2221.210046717235,01608,4648.79698N,00950.66899E,43.0,0.521,0.4797,0.412,0.82,0.96,2024-06-04 07:55:25,46.813283,9.844483166666667,0.8203047484373349,1.466279185639625,156,0.9706421070742003
2,2024-06-04,09:00:01,23,841,2721.9095284911573,3004.196890643533,2278.903814164436,01608,4648.79465N,00950.67503E,53.3,0.6027,0.554,0.4757,0.82,0.96,2024-06-04 09:00:01,46.813244166666664,9.844583833333333,0.640535835481919,1.2472317002634994,156,0.9706421070742003
3,2024-06-04,09:00:22,23,841,2713.667561712986,2980.50123615629,2290.236518484422,01614,4648.79315N,00950.67702E,53.4,0.6057,0.5608,0.4721,0.87,0.94,2024-06-04 09:00:22,46.81321916666667,9.844617,0.6387905062299246,1.2456131448333823,156,0.9706421070742003
4,2024-06-04,09:00:36,23,841,2733.2422328111434,3014.4993491162477,2277.8735683171644,01615,4648.79353N,00950.67727E,53.4,0.6003,0.552,0.4767,0.8,0.97,2024-06-04 09:00:36,46.8132255,9.844621166666666,0.6387905062299246,1.2456131448333823,156,0.9706421070742003
5,2024-06-04,09:36:22,25,841,2603.431256054941,2862.0229637200737,2173.818737742749,01613,4648.79361N,00950.67694E,58.4,0.688,0.6359,0.5495,0.78,0.96,2024-06-04 09:36:22,46.81322683333333,9.844615666666666,0.5515240436302081,1.1740852143018525,156,0.9706421070742003
6,2024-06-04,09:36:57,25,841,2756.9378872983866,3036.134511908948,2280.964305858979,01623,4648.79281N,00950.67870E,58.5,0.6398,0.5861,0.509,0.8,0.97,2024-06-04 09:36:57,46.8132135,9.844645,0.5497787143782138,1.1728276966140088,156,0.9706421070742003
7,2024-06-04,09:37:13,25,841,2771.361329160187,3050.557953770748,2293.3272560262362,01627,4648.79256N,00950.67952E,58.5,0.6357,0.5824,0.5046,0.8,0.97,2024-06-04 09:37:13,46.81320933333333,9.844658666666666,0.5497787143782138,1.1728276966140088,156,0.9706421070742003
8,2024-06-14,11:59:44,21,842,1926.3795690311017,2140.0776241165454,1614.6075273122417,01607,4648.79223N,00950.66319E,65.0,1.0154,0.9466,0.8587,0.58,0.99,2024-06-14 11:59:44,46.81320383333333,9.8443865,0.4363323129985824,1.1033779189624917,166,0.9686564527563639
9,2024-06-14,12:00:08,21,842,2514.8234888315988,2795.6247979293803,2159.692421443229,01612,4648.79181N,00950.66387E,65.0,0.7735,0.7042,0.5948,0.91,0.96,2024-06-14 12:00:08,46.813196833333336,9.844397833333334,0.4363323129985824,1.1033779189624917,166,0.9686564527563639
10,2024-06-18,06:31:39,22,845,1751.8588389964928,2058.640722948119,1603.116107383583,01614,4648.80048N,00950.66940E,28.9,0.5111,0.4759,0.4295,0.61,0.98,2024-06-18 06:31:39,46.813341333333334,9.84449,1.0663961729685354,2.0691836380726367,170,0.9681145319742257
11,2024-06-18,06:31:58,23,845,1891.3051498835957,2224.943360376442,1743.5953539068867,01613,4648.80027N,00950.66981E,29.0,0.4751,0.4392,0.3897,0.69,0.98,2024-06-18 06:31:58,46.813337833333335,9.844496833333332,1.064650843716541,2.062665339627314,170,0.9681145319742257
12,2024-06-18,06:32:28,23,845,1880.975793521588,2213.5810683782333,1735.3318688172806,01612,4648.80016N,00950.67003E,29.0,0.4795,0.4432,0.3932,0.69,0.98,2024-06-18 06:32:28,46.813336,9.8445005,1.064650843716541,2.062665339627314,170,0.9681145319742257
13,2024-06-18,07:03:09,29,844,2326.1710527241166,2702.159624301194,2105.1228265771533,01614,4648.80141N,00950.66946E,34.3,0.4632,0.4185,0.3585,0.89,0.98,2024-06-18 07:03:09,46.81335683333333,9.844491,0.9721483933608416,1.7745408608622848,170,0.9681145319742257
14,2024-06-18,07:03:26,29,844,2327.2039883603175,2702.159624301194,2103.056955304752,0000M,4648.80115N,00950.66904E,34.4,0.4638,0.4191,0.3596,0.89,0.98,2024-06-18 07:03:26,46.8133525,9.844484,0.9704030641088472,1.7700148750950215,170,0.9681145319742257
15,2024-06-18,07:03:46,29,844,2329.2698596327186,2694.929074847789,2108.221633485756,01618,4648.80052N,00950.66923E,34.4,0.4642,0.4214,0.3589,0.9,0.97,2024-06-18 07:03:46,46.813342,9.844487166666667,0.9704030641088472,1.7700148750950215,170,0.9681145319742257
16,2024-06-18,07:36:08,33,844,2433.596358888996,2780.6627326524517,2162.967222204396,01610,4648.80101N,00950.66928E,39.9,0.5213,0.4725,0.4005,0.92,0.97,2024-06-18 07:36:08,46.813350166666666,9.844488,0.8744099552491591,1.5589688586362294,170,0.9681145319742257
