,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,Location,sza_rad,air_mass
0,2024-06-04,07:55:12,21,841,2531,2827,2160,0000M,4648.79679N,00950.67049E,43.0,0.5173,0.4769,0.4104,"0,80","0,96",2024-06-04 07:55:12,46.81327983333333,9.844508166666667,"33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.8203047484373349,1.466279185639625
1,2024-06-04,07:55:25,22,841,2519,2817,2156,01608,4648.79698N,00950.66899E,43.0,0.521,0.4797,0.412,"0,82","0,96",2024-06-04 07:55:25,46.813283,9.844483166666667,"33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.8203047484373349,1.466279185639625
2,2024-06-04,09:00:01,23,841,2642,2916,2212,01608,4648.79465N,00950.67503E,53.3,0.6027,0.554,0.4757,"0,82","0,96",2024-06-04 09:00:01,46.813244166666664,9.844583833333333,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.640535835481919,1.2472317002634994
3,2024-06-04,09:00:22,23,841,2634,2893,2223,01614,4648.79315N,00950.67702E,53.4,0.6057,0.5608,0.4721,"0,87","0,94",2024-06-04 09:00:22,46.81321916666667,9.844617,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.6387905062299246,1.2456131448333823
4,2024-06-04,09:00:36,23,841,2653,2926,2211,01615,4648.79353N,00950.67727E,53.4,0.6003,0.552,0.4767,"0,80","0,97",2024-06-04 09:00:36,46.8132255,9.844621166666666,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.6387905062299246,1.2456131448333823
5,2024-06-04,09:36:22,25,841,2527,2778,2110,01613,4648.79361N,00950.67694E,58.4,0.688,0.6359,0.5495,"0,78","0,96",2024-06-04 09:36:22,46.81322683333333,9.844615666666666,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.5515240436302081,1.1740852143018525
6,2024-06-04,09:36:57,25,841,2676,2947,2214,01623,4648.79281N,00950.67870E,58.5,0.6398,0.5861,0.509,"0,80","0,97",2024-06-04 09:36:57,46.8132135,9.844645,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.5497787143782138,1.1728276966140088
7,2024-06-04,09:37:13,25,841,2690,2961,2226,01627,4648.79256N,00950.67952E,58.5,0.6357,0.5824,0.5046,"0,80","0,97",2024-06-04 09:37:13,46.81320933333333,9.844658666666666,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.5497787143782138,1.1728276966140088
8,2024-06-14,11:59:44,21,842,1866,2073,1564,01607,4648.79223N,00950.66319E,65.0,1.0154,0.9466,0.8587,"0,58","0,99",2024-06-14 11:59:44,46.81320383333333,9.8443865,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.4363323129985824,1.1033779189624917
9,2024-06-14,12:00:08,21,842,2436,2708,2092,01612,4648.79181N,00950.66387E,65.0,0.7735,0.7042,0.5948,"0,91","0,96",2024-06-14 12:00:08,46.813196833333336,9.844397833333334,"PMOD/WRC Institut, 33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.4363323129985824,1.1033779189624917
10,2024-06-18,06:31:39,22,845,1696,1993,1552,01614,4648.80048N,00950.66940E,28.9,0.5111,0.4759,0.4295,"0,61","0,98",2024-06-18 06:31:39,46.813341333333334,9.84449,"33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",1.0663961729685354,2.0691836380726367
11,2024-06-18,06:31:58,23,845,1831,2154,1688,01613,4648.80027N,00950.66981E,29.0,0.4751,0.4392,0.3897,"0,69","0,98",2024-06-18 06:31:58,46.813337833333335,9.844496833333332,"33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",1.064650843716541,2.062665339627314
12,2024-06-18,06:32:28,23,845,1821,2143,1680,01612,4648.80016N,00950.67003E,29.0,0.4795,0.4432,0.3932,"0,69","0,98",2024-06-18 06:32:28,46.813336,9.8445005,"33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",1.064650843716541,2.062665339627314
13,2024-06-18,07:03:09,29,844,2252,2616,2038,01614,4648.80141N,00950.66946E,34.3,0.4632,0.4185,0.3585,"0,89","0,98",2024-06-18 07:03:09,46.81335683333333,9.844491,"33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.9721483933608416,1.7745408608622848
14,2024-06-18,07:03:26,29,844,2253,2616,2036,0000M,4648.80115N,00950.66904E,34.4,0.4638,0.4191,0.3596,"0,89","0,98",2024-06-18 07:03:26,46.8133525,9.844484,"33, Dorfstrasse, Davos Dorf, Davos, Prättigau/Davos, Graubünden/Grischun/Grigioni, 7260, Schweiz/Suisse/Svizzera/Svizra",0.9704030641088472,1.7700148750950215
