,Unnamed: 0,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0,precalibrated_AOT465,precalibrated_AOT540,precalibrated_AOT619,tau_aerosols_465_calitoo,tau_aerosols_540_calitoo,tau_aerosols_619_calitoo,tau_aerosols_465_expected,tau_aerosols_540_expected,tau_aerosols_619_expected
0,0,2024-06-04,07:55:12,21,841,2607.552239444027,2912.505010236375,2225.331030106321,0000M,4648.79679N,00950.67049E,43.0,-0.02866749173417127,-0.0036999240892447386,0.00707799418901239,0.8,0.96,2024-06-04 07:55:12,46.81327983333333,9.844508166666667,0.8203047484373349,1.466279185639625,156,0.9706421070742004,0.5173,0.4769,0.4104,0.012053998746586275,0.022511704918828056,0.029484904300218284,0.0038955616327427944,0.01601279244434086,0.019466967048704428
1,1,2024-06-04,07:55:25,22,841,2595.1892892767696,2902.2025517636603,2221.210046717235,01608,4648.79698N,00950.66899E,43.0,-0.025426305308654112,-0.0012832016451680226,0.008342124968113842,0.82,0.96,2024-06-04 07:55:25,46.813283,9.844483166666668,0.8203047484373349,1.466279185639625,156,0.9706421070742004,0.521,0.4797,0.412,0.015295185172103432,0.024928427362904758,0.030749035079319722,0.007136748058259951,0.018429514888417563,0.02073109782780588
2,2,2024-06-04,09:00:01,23,841,2721.9095284911573,3004.196890643533,2278.903814164436,01608,4648.79465N,00950.67503E,53.3,-0.033886178536612604,-0.008272695667542568,0.00298353338990116,0.82,0.96,2024-06-04 09:00:01,46.81324416666666,9.844583833333331,0.640535835481919,1.2472317002634994,156,0.9706421070742004,0.6027,0.554,0.4757,0.013987102656883604,0.022542401501752567,0.02932570052983041,0.004395824208098836,0.014902104924443734,0.01754834362667018
3,3,2024-06-04,09:00:22,23,841,2713.667561712986,2980.50123615629,2290.236518484422,01614,4648.79315N,00950.67702E,53.4,-0.031242329932607588,-0.0017712536908608637,-0.0008933806484932201,0.87,0.94,2024-06-04 09:00:22,46.81321916666667,9.844617,0.6387905062299246,1.2456131448333825,156,0.9706421070742004,0.6057,0.5608,0.4721,0.016693158021916038,0.02908388475694825,0.025483015624166546,0.0070894166219497845,0.021433660343244808,0.013690355169460568
4,4,2024-06-04,09:00:36,23,841,2733.242232811144,3014.499349116248,2277.8735683171644,01615,4648.79353N,00950.67727E,53.4,-0.03701255792379915,-0.010877031556950712,0.003452056078152018,0.8,0.97,2024-06-04 09:00:36,46.8132255,9.844621166666666,0.6387905062299246,1.2456131448333825,156,0.9706421070742004,0.6003,0.552,0.4767,0.010922930030724476,0.019978106890858403,0.029828452350811784,0.0013191886307582223,0.012327882477154958,0.018035791896105807
5,5,2024-06-04,09:36:22,25,841,2603.431256054941,2862.0229637200737,2173.818737742749,01613,4648.79361N,00950.67694E,58.4,0.014049841983708705,0.039929357504935474,0.04825125090731974,0.78,0.96,2024-06-04 09:36:22,46.81322683333333,9.844615666666666,0.5515240436302081,1.1740852143018523,156,0.9706421070742004,0.688,0.6359,0.5495,0.06490566843721005,0.07266426087317072,0.07623455698284659,0.054716845358902366,0.06454796746060044,0.06372346094313266
6,6,2024-06-04,09:36:57,25,841,2756.9378872983866,3036.134511908948,2280.964305858979,01623,4648.79281N,00950.67870E,58.5,-0.03457414251324556,-0.010253963827889798,0.007363864228891636,0.8,0.97,2024-06-04 09:36:57,46.8132135,9.844645,0.5497787143782138,1.1728276966140088,156,0.9706421070742004,0.6398,0.5861,0.509,0.016336212070414857,0.022516038233967937,0.03537717428748939,0.006136464433217387,0.014391042449723215,0.022852663724389235
7,7,2024-06-04,09:37:13,25,841,2771.361329160187,3050.557953770748,2293.327256026236,01627,4648.79256N,00950.67952E,58.5,-0.03902326267201303,-0.014294920037893242,0.0027549872536006235,0.8,0.97,2024-06-04 09:37:13,46.81320933333333,9.844658666666666,0.5497787143782138,1.1728276966140088,156,0.9706421070742004,0.6357,0.5824,0.5046,0.011887091911647385,0.018475082023964494,0.030768297312198375,0.0016873442744499145,0.010350086239719744,0.01824378674909821
8,8,2024-06-14,11:59:44,21,842,1926.3795690311017,2140.0776241165454,1614.6075273122417,01607,4648.79223N,00950.66319E,65.0,0.3004088412865512,0.31357638587724146,0.32588525615149205,0.58,0.99,2024-06-14 11:59:44,46.81320383333333,9.8443865,0.4363323129985824,1.1033779189624917,166,0.968656452756364,1.0154,0.9466,0.8587,0.35452363991901026,0.34840902605947754,0.355661804463654,0.3436818908484589,0.3397726196869496,0.3423489652065926
9,9,2024-06-14,12:00:08,21,842,2514.8234888315988,2795.6247979293803,2159.692421443229,01612,4648.79181N,00950.66387E,65.0,0.05882321333312465,0.07139869045295118,0.06226397183843768,0.91,0.96,2024-06-14 12:00:08,46.813196833333336,9.844397833333334,0.4363323129985824,1.1033779189624917,166,0.968656452756364,0.7735,0.7042,0.5948,0.11293801196558365,0.10623133063518726,0.09204052015059952,0.10209626289503229,0.09759492426265932,0.07872768089353813
10,10,2024-06-18,06:31:39,22,845,1751.8588389964928,2058.640722948119,1603.116107383583,01614,4648.80048N,00950.66940E,28.9,0.11511491560214901,0.13033853889225913,0.14072290771602133,0.61,0.98,2024-06-18 06:31:39,46.81334133333333,9.84449,1.0663961729685354,2.0691836380726367,170,0.9681145319742256,0.5111,0.4759,0.4295,0.14397125913856587,0.14891280428324408,0.15660104695220928,0.13818997114301554,0.1443075000872809,0.1495020671397549
11,11,2024-06-18,06:31:58,23,845,1891.305149883596,2224.943360376442,1743.5953539068869,01613,4648.80027N,00950.66981E,29.0,0.0789631671106856,0.09346432332216308,0.10069076930055618,0.69,0.98,2024-06-18 06:31:58,46.813337833333335,9.844496833333332,1.064650843716541,2.062665339627314,170,0.9681145319742256,0.4751,0.4392,0.3897,0.10791070055348115,0.1120972858769075,0.1166190855811291,0.10211114291436366,0.10747742830352332,0.10949767204266697
12,12,2024-06-18,06:32:28,23,845,1880.975793521588,2213.5810683782333,1735.3318688172806,01612,4648.80016N,00950.67003E,29.0,0.0816182100018856,0.09594648179178757,0.10299390721989338,0.69,0.98,2024-06-18 06:32:28,46.813336,9.8445005,1.064650843716541,2.062665339627314,170,0.9681145319742256,0.4795,0.4432,0.3932,0.11056574344468115,0.11457944434653197,0.1189222235004663,0.10476618580556366,0.10995958677314784,0.11180080996200414
13,13,2024-06-18,07:03:09,29,844,2326.1710527241166,2702.159624301194,2105.1228265771533,01614,4648.80141N,00950.66946E,34.3,0.006803790489657763,0.018484533213893144,0.023555973060998225,0.89,0.98,2024-06-18 07:03:09,46.81335683333333,9.844491,0.9721483933608416,1.7745408608622848,170,0.9681145319742256,0.4632,0.4185,0.3585,0.04045140899033464,0.04014284882887947,0.04207050075386547,0.03371020241052916,0.03477288508174783,0.03379281428357429
14,14,2024-06-18,07:03:26,29,844,2327.203988360317,2702.159624301194,2103.056955304752,0000M,4648.80115N,00950.66904E,34.4,0.007068735897119954,0.018836520345126666,0.024370896979558767,0.89,0.98,2024-06-18 07:03:26,46.8133525,9.844484,0.9704030641088472,1.7700148750950215,170,0.9681145319742256,0.4638,0.4191,0.3596,0.04080239245576975,0.04055021697955843,0.04293276692361529,0.03404394839086533,0.03516652205997605,0.034633914139030636
15,15,2024-06-18,07:03:46,29,844,2329.269859632718,2694.929074847789,2108.221633485756,01618,4648.80052N,00950.66923E,34.4,0.006567434175299008,0.02035030843700194,0.022985154309288876,0.9,0.97,2024-06-18 07:03:46,46.813342,9.844487166666667,0.9704030641088472,1.7700148750950215,170,0.9681145319742256,0.4642,0.4214,0.3589,0.04030109073394883,0.0420640050714337,0.0415470242533454,0.033542646669044385,0.03668031015185135,0.033248171468760745
16,16,2024-06-18,07:36:08,33,844,2433.596358888996,2780.662732652452,2162.967222204396,01610,4648.80101N,00950.66928E,39.9,0.005735863102761751,0.019149386233336833,0.020240138336055837,0.92,0.97,2024-06-18 07:36:08,46.813350166666666,9.844488,0.8744099552491591,1.5589688586362294,170,0.9681145319742256,0.5213,0.4725,0.4005,0.04403622655735301,0.04380258300717504,0.04131482865366763,0.03636285549473717,0.037690068290896266,0.03189251544095313
17,17,2024-06-18,07:36:25,33,844,2435.662230161397,2781.6956682886525,2166.0660291129984,01610,4648.80088N,00950.66934E,40.0,0.005608934035216423,0.019199169334438347,0.019525252040042667,0.92,0.97,2024-06-18 07:36:25,46.813348,9.844489,0.8726646259971648,1.5557238268604123,170,0.9681145319742256,0.5215,0.4728,0.4,0.04398918692409523,0.043903789378606,0.04064390134225403,0.0362998102359976,0.037778524774370235,0.031201934444708684
18,18,2024-06-18,07:36:40,33,844,2432.563423252795,2783.761539561054,2151.604930206188,01609,4648.80093N,00950.66920E,40.0,0.006427250644383931,0.018721969899242512,0.023831022463618467,0.89,0.98,2024-06-18 07:36:40,46.813348833333336,9.844486666666668,0.8726646259971648,1.5557238268604123,170,0.9681145319742256,0.5229,0.4728,0.4047,0.04480750353326271,0.043426589943410164,0.04494967176582983,0.03711812684516508,0.0373013253391744,0.03550770486828449
