Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"120,-76,123,-73"
Data Bounding Box:,"120.125,-75.875,122.875,-73.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=120,-76,123,-73&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2004-10-01,191.343689
2004-10-02,254.036804
2004-10-03,244.159485
2004-10-04,222.008911
2004-10-05,274.729584
2004-10-06,294.347534
2004-10-07,331.019379
2004-10-08,356.276245
2004-10-09,385.547516
2004-10-10,376.267517
2004-10-11,353.950378
2004-10-12,338.910248
2004-10-13,279.957306
2004-10-14,234.557495
2004-10-15,298.438171
2004-10-16,347.020416
2004-10-17,-1.267651e+30
2004-10-18,312.688477
2004-10-19,314.147247
2004-10-20,297.556427
2004-10-21,262.447052
2004-10-22,219.704849
2004-10-23,196.681595
2004-10-24,186.317764
2004-10-25,192.354706
2004-10-26,183.736588
2004-10-27,190.311813
2004-10-28,206.008133
2004-10-29,199.431793
2004-10-30,185.50856
2004-10-31,178.963867
2004-11-01,180.408539
2004-11-02,173.602142
2004-11-03,180.067703
2004-11-04,188.674545
2004-11-05,204.700531
2004-11-06,233.365204
2004-11-07,263.760376
2004-11-08,338.573212
2004-11-09,328.451782
2004-11-10,310.891663
2004-11-11,245.408066
2004-11-12,318.196869
2004-11-13,332.616577
2004-11-14,342.876434
2004-11-15,347.597015
2004-11-16,345.105988
2004-11-17,333.091095
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-11-20,-1.267651e+30
2004-11-21,-1.267651e+30
2004-11-22,-1.267651e+30
2004-11-23,-1.267651e+30
2004-11-24,-1.267651e+30
2004-12-02,328.044739
2004-12-03,338.573608
2004-12-04,335.481873
2004-12-05,335.913361
2004-12-06,321.114746
2004-12-07,316.786041
2004-12-08,328.226593
2004-12-09,323.242462
2004-12-10,309.61734
2004-12-11,297.968018
2004-12-12,284.309631
2004-12-13,271.261688
2004-12-14,293.930573
2004-12-15,287.855072
2004-12-16,299.768524
2004-12-17,308.08551
2004-12-18,310.773254
2004-12-19,311.930389
2004-12-20,-1.267651e+30
2004-12-21,301.583435
2004-12-22,283.292664
2004-12-23,293.47168
2004-12-24,284.621582
2004-12-25,281.431702
2004-12-26,286.064301
2004-12-27,284.997406
2004-12-28,293.6828
2004-12-29,292.457703
2004-12-30,294.98291
2004-12-31,283.942078
2005-01-01,278.016418
2005-01-02,284.21109
2005-01-03,281.49234
2005-01-04,285.186249
2005-01-05,285.055603
2005-01-06,288.244293
2005-01-07,285.865845
2005-01-08,285.670898
2005-01-09,279.587067
2005-01-10,273.280029
2005-01-11,277.861206
2005-01-12,275.327789
2005-01-13,274.352722
2005-01-14,276.006592
2005-01-15,281.505707
2005-01-16,284.913971
2005-01-17,268.259613
2005-01-18,273.639648
2005-01-19,274.929871
2005-01-20,278.19754
2005-01-21,-1.267651e+30
2005-01-22,290.998383
2005-01-23,298.150848
2005-01-24,298.205658
2005-01-25,295.758423
2005-01-26,296.078339
2005-01-27,298.268005
2005-01-28,294.299561
2005-01-29,294.029541
2005-01-30,291.31485
2005-01-31,302.312073
2005-02-01,304.255615
2005-02-02,306.677704
2005-02-03,310.959351
2005-02-04,301.790466
2005-02-05,291.6987
2005-02-06,269.364014
2005-02-07,268.583893
2005-02-08,274.402283
2005-02-09,260.279205
2005-02-10,244.189941
2005-02-11,252.092682
2005-02-12,267.221954
2005-02-13,278.155426
2005-02-14,280.568848
2005-02-15,279.382019
2005-02-16,280.503815
2005-02-17,290.403778
2005-02-18,287.362122
2005-02-19,292.995483
2005-02-20,295.01062
2005-02-21,296.9086
2005-02-22,-1.267651e+30
2005-02-23,292.509125
2005-02-24,289.073364
2005-02-25,286.701935
2005-02-26,286.05661
2005-02-27,286.765137
2005-02-28,297.628082
2005-03-01,291.041199
2005-03-02,304.176941
2005-03-03,302.601257
2005-03-04,306.132233
2005-03-05,287.18811
2005-03-06,291.427979
2005-03-07,287.225769
2005-03-08,282.262482
2005-03-09,280.47052
2005-03-10,286.265839
2005-03-11,291.684814
2005-03-12,265.700897
2005-03-13,274.046112
2005-03-14,279.655304
2005-03-15,290.779694
2005-03-16,286.801971
2005-03-17,297.374207
2005-03-18,290.461456
2005-03-19,263.892517
2005-03-20,266.449921
2005-03-21,273.598907
2005-03-22,247.148117
2005-03-23,233.309723
2005-03-24,258.642303
2005-03-25,262.041809
2005-03-26,-1.267651e+30
2005-03-27,276.288971
2005-03-28,268.615479
2005-03-29,278.971893
2005-03-30,285.067657
2005-03-31,291.355865
2005-04-01,288.563873
2005-04-02,277.982147
2005-04-03,275.573212
2005-04-04,292.434784
2005-04-05,306.40979
2005-04-06,303.737549
2005-04-07,280.010925
2005-04-08,285.036377
2005-04-09,273.757019
2005-04-10,277.778809
2005-04-11,273.683319
2005-04-12,271.562408
2005-04-13,282.603882
2005-04-14,290.190338
2005-04-15,281.62558
2005-04-16,279.276123
2005-04-17,301.796509
2005-04-18,291.824921
2005-04-19,301.221924
2005-04-20,297.404114
2005-04-21,337.422424
2005-04-22,306.373962
2005-04-23,314.233887
2005-04-24,287.226013
2005-04-25,279.759644
2005-04-26,287.157318
2005-04-27,-1.267651e+30
2005-04-28,277.951111
2005-04-29,262.01947
2005-04-30,256.841339
2005-05-01,-1.267651e+30
2005-05-02,-1.267651e+30
2005-05-03,-1.267651e+30
2005-05-04,-1.267651e+30
2005-05-05,-1.267651e+30
2005-05-06,-1.267651e+30
2005-05-07,-1.267651e+30
2005-05-08,-1.267651e+30
2005-05-09,-1.267651e+30
2005-05-10,-1.267651e+30
2005-05-11,-1.267651e+30
2005-05-12,-1.267651e+30
2005-05-13,-1.267651e+30
2005-05-14,-1.267651e+30
2005-05-15,-1.267651e+30
2005-05-16,-1.267651e+30
2005-05-17,-1.267651e+30
2005-05-18,-1.267651e+30
2005-05-19,-1.267651e+30
2005-05-20,-1.267651e+30
2005-05-21,-1.267651e+30
2005-05-22,-1.267651e+30
2005-05-23,-1.267651e+30
2005-05-24,-1.267651e+30
2005-05-25,-1.267651e+30
2005-05-26,-1.267651e+30
2005-05-27,-1.267651e+30
2005-05-28,-1.267651e+30
2005-05-29,-1.267651e+30
2005-05-30,-1.267651e+30
2005-05-31,-1.267651e+30
2005-06-01,-1.267651e+30
2005-06-02,-1.267651e+30
2005-06-03,-1.267651e+30
2005-06-04,-1.267651e+30
2005-06-05,-1.267651e+30
2005-06-06,-1.267651e+30
2005-06-07,-1.267651e+30
2005-06-08,-1.267651e+30
2005-06-09,-1.267651e+30
2005-06-10,-1.267651e+30
2005-06-11,-1.267651e+30
2005-06-12,-1.267651e+30
2005-06-13,-1.267651e+30
2005-06-14,-1.267651e+30
2005-06-15,-1.267651e+30
2005-06-16,-1.267651e+30
2005-06-17,-1.267651e+30
2005-06-18,-1.267651e+30
2005-06-19,-1.267651e+30
2005-06-20,-1.267651e+30
2005-06-21,-1.267651e+30
2005-06-22,-1.267651e+30
2005-06-23,-1.267651e+30
2005-06-24,-1.267651e+30
2005-06-25,-1.267651e+30
2005-06-26,-1.267651e+30
2005-06-27,-1.267651e+30
2005-06-28,-1.267651e+30
2005-06-29,-1.267651e+30
2005-06-30,-1.267651e+30
2005-07-01,-1.267651e+30
2005-07-02,-1.267651e+30
2005-07-03,-1.267651e+30
2005-07-04,-1.267651e+30
2005-07-05,-1.267651e+30
2005-07-06,-1.267651e+30
2005-07-07,-1.267651e+30
2005-07-08,-1.267651e+30
2005-07-09,-1.267651e+30
2005-07-10,-1.267651e+30
2005-07-11,-1.267651e+30
2005-07-12,-1.267651e+30
2005-07-13,-1.267651e+30
2005-07-14,-1.267651e+30
2005-07-15,-1.267651e+30
2005-07-16,-1.267651e+30
2005-07-17,-1.267651e+30
2005-07-18,-1.267651e+30
2005-07-19,-1.267651e+30
2005-07-20,-1.267651e+30
2005-07-21,-1.267651e+30
2005-07-22,-1.267651e+30
2005-07-23,-1.267651e+30
2005-07-24,-1.267651e+30
2005-07-25,-1.267651e+30
2005-07-26,-1.267651e+30
2005-07-27,-1.267651e+30
2005-07-28,-1.267651e+30
2005-07-29,-1.267651e+30
2005-07-30,-1.267651e+30
2005-07-31,-1.267651e+30
2005-08-01,-1.267651e+30
2005-08-02,-1.267651e+30
2005-08-03,-1.267651e+30
2005-08-04,-1.267651e+30
2005-08-05,-1.267651e+30
2005-08-06,-1.267651e+30
2005-08-07,-1.267651e+30
2005-08-08,-1.267651e+30
2005-08-09,-1.267651e+30
2005-08-10,-1.267651e+30
2005-08-11,247.100006
2005-08-12,-1.267651e+30
2005-08-13,258.594727
2005-08-14,235.555237
2005-08-15,226.199997
2005-08-16,221.084824
2005-08-17,239.718979
2005-08-18,242.931076
2005-08-19,250.617554
2005-08-20,265.39859
2005-08-21,257.536835
2005-08-22,253.875137
2005-08-23,266.306946
2005-08-24,261.721985
2005-08-25,268.506927
2005-08-26,264.414154
2005-08-27,246.184845
2005-08-28,266.991394
2005-08-29,257.10025
2005-08-30,205.595612
2005-08-31,213.665176
2005-09-01,223.575348
2005-09-02,-1.267651e+30
2005-09-03,237.148148
2005-09-04,220.352859
2005-09-05,229.575439
2005-09-06,248.859116
2005-09-07,256.383881
2005-09-08,277.475342
2005-09-09,221.969193
2005-09-10,226.58374
2005-09-11,221.164856
2005-09-12,274.948853
2005-09-13,293.607513
2005-09-14,350.959839
2005-09-15,209.26088
2005-09-16,186.721725
2005-09-17,154.55072
2005-09-18,159.106613
2005-09-19,150.582672
2005-09-20,193.725784
2005-09-21,247.419662
2005-09-22,288.976959
2005-09-23,250.583221
2005-09-24,220.027527
2005-09-25,227.710953
2005-09-26,208.780991
2005-09-27,202.647217
2005-09-28,191.54541
2005-09-29,173.286011
2005-09-30,184.055161
2005-10-01,189.49913
2005-10-02,186.673248
2005-10-03,203.816193
2005-10-04,-1.267651e+30
2005-10-05,183.258286
2005-10-06,336.109009
2005-10-07,324.580231
2005-10-08,304.802307
2005-10-09,320.056244
2005-10-10,243.407104
2005-10-11,178.030182
2005-10-12,169.828491
2005-10-13,250.54277
2005-10-14,251.421783
2005-10-15,241.073608
2005-10-16,272.385468
2005-10-17,272.284912
2005-10-18,234.544144
2005-10-19,193.327362
2005-10-20,168.888702
2005-10-21,171.395523
2005-10-22,212.039581
2005-10-23,235.891968
2005-10-24,274.362976
2005-10-25,340.201416
2005-10-26,386.823578
2005-10-27,379.893036
2005-10-28,295.891266
2005-10-29,266.987854
2005-10-30,280.564301
2005-10-31,251.386703
2005-11-01,280.477905
2005-11-02,310.421173
2005-11-03,327.147644
2005-11-04,250.346527
2005-11-05,-1.267651e+30
2005-11-06,375.291412
2005-11-07,351.671204
2005-11-08,317.148193
2005-11-09,282.663696
2005-11-10,292.124329
2005-11-11,319.194977
2005-11-12,347.440338
2005-11-13,358.176239
2005-11-14,341.031891
2005-11-15,344.058289
2005-11-16,337.221283
2005-11-17,320.4375
2005-11-18,286.204926
2005-11-19,267.987915
2005-11-20,262.170563
2005-11-21,319.616516
