Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"17,77,20,80"
Data Bounding Box:,"17.125,77.125,19.875,79.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=17,77,20,80&data=OMDOAO3e_003_ColumnAmountO3&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2004-10-01,252.24884
2004-10-02,261.102203
2004-10-03,265.97522
2004-10-04,272.791107
2004-10-05,307.923157
2004-10-06,311.800018
2004-10-07,299.026489
2004-10-08,285.984863
2004-10-09,277.36026
2004-10-10,268.918488
2004-10-11,253.246216
2004-10-12,266.701202
2004-10-13,266.365204
2004-10-14,250.758011
2004-10-15,254.09375
2004-10-16,252.057907
2004-10-17,-1.267651e+30
2004-10-18,240.516235
2004-10-19,243.771332
2004-10-20,254.041885
2004-10-21,248.677292
2004-10-22,248.600006
2004-10-23,-1.267651e+30
2004-10-24,-1.267651e+30
2004-10-25,-1.267651e+30
2004-10-26,-1.267651e+30
2004-10-27,-1.267651e+30
2004-10-28,-1.267651e+30
2004-10-29,-1.267651e+30
2004-10-30,-1.267651e+30
2004-10-31,-1.267651e+30
2004-11-01,-1.267651e+30
2004-11-02,-1.267651e+30
2004-11-03,-1.267651e+30
2004-11-04,-1.267651e+30
2004-11-05,-1.267651e+30
2004-11-06,-1.267651e+30
2004-11-07,-1.267651e+30
2004-11-08,-1.267651e+30
2004-11-09,-1.267651e+30
2004-11-10,-1.267651e+30
2004-11-11,-1.267651e+30
2004-11-12,-1.267651e+30
2004-11-13,-1.267651e+30
2004-11-14,-1.267651e+30
2004-11-15,-1.267651e+30
2004-11-16,-1.267651e+30
2004-11-17,-1.267651e+30
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-11-20,-1.267651e+30
2004-11-21,-1.267651e+30
2004-11-22,-1.267651e+30
2004-11-23,-1.267651e+30
2004-11-24,-1.267651e+30
2004-12-02,-1.267651e+30
2004-12-03,-1.267651e+30
2004-12-04,-1.267651e+30
2004-12-05,-1.267651e+30
2004-12-06,-1.267651e+30
2004-12-07,-1.267651e+30
2004-12-08,-1.267651e+30
2004-12-09,-1.267651e+30
2004-12-10,-1.267651e+30
2004-12-11,-1.267651e+30
2004-12-12,-1.267651e+30
2004-12-13,-1.267651e+30
2004-12-14,-1.267651e+30
2004-12-15,-1.267651e+30
2004-12-16,-1.267651e+30
2004-12-17,-1.267651e+30
2004-12-18,-1.267651e+30
2004-12-19,-1.267651e+30
2004-12-20,-1.267651e+30
2004-12-21,-1.267651e+30
2004-12-22,-1.267651e+30
2004-12-23,-1.267651e+30
2004-12-24,-1.267651e+30
2004-12-25,-1.267651e+30
2004-12-26,-1.267651e+30
2004-12-27,-1.267651e+30
2004-12-28,-1.267651e+30
2004-12-29,-1.267651e+30
2004-12-30,-1.267651e+30
2004-12-31,-1.267651e+30
2005-01-01,-1.267651e+30
2005-01-02,-1.267651e+30
2005-01-03,-1.267651e+30
2005-01-04,-1.267651e+30
2005-01-05,-1.267651e+30
2005-01-06,-1.267651e+30
2005-01-07,-1.267651e+30
2005-01-08,-1.267651e+30
2005-01-09,-1.267651e+30
2005-01-10,-1.267651e+30
2005-01-11,-1.267651e+30
2005-01-12,-1.267651e+30
2005-01-13,-1.267651e+30
2005-01-14,-1.267651e+30
2005-01-15,-1.267651e+30
2005-01-16,-1.267651e+30
2005-01-17,-1.267651e+30
2005-01-18,-1.267651e+30
2005-01-19,-1.267651e+30
2005-01-20,-1.267651e+30
2005-01-21,-1.267651e+30
2005-01-22,-1.267651e+30
2005-01-23,-1.267651e+30
2005-01-24,-1.267651e+30
2005-01-25,-1.267651e+30
2005-01-26,-1.267651e+30
2005-01-27,-1.267651e+30
2005-01-28,-1.267651e+30
2005-01-29,-1.267651e+30
2005-01-30,-1.267651e+30
2005-01-31,-1.267651e+30
2005-02-01,-1.267651e+30
2005-02-02,-1.267651e+30
2005-02-03,-1.267651e+30
2005-02-04,-1.267651e+30
2005-02-05,-1.267651e+30
2005-02-06,-1.267651e+30
2005-02-07,-1.267651e+30
2005-02-08,-1.267651e+30
2005-02-09,-1.267651e+30
2005-02-10,-1.267651e+30
2005-02-11,-1.267651e+30
2005-02-12,-1.267651e+30
2005-02-13,-1.267651e+30
2005-02-14,-1.267651e+30
2005-02-15,-1.267651e+30
2005-02-16,-1.267651e+30
2005-02-17,-1.267651e+30
2005-02-18,-1.267651e+30
2005-02-19,314.791321
2005-02-20,304.818329
2005-02-21,265.582642
2005-02-22,-1.267651e+30
2005-02-23,293.944275
2005-02-24,323.83725
2005-02-25,298.94397
2005-02-26,307.435852
2005-02-27,297.619781
2005-02-28,312.421722
2005-03-01,311.794373
2005-03-02,314.528381
2005-03-03,307.912506
2005-03-04,292.139313
2005-03-05,305.825989
2005-03-06,331.816193
2005-03-07,321.068451
2005-03-08,295.179047
2005-03-09,306.133087
2005-03-10,314.635834
2005-03-11,347.892548
2005-03-12,363.138641
2005-03-13,391.387115
2005-03-14,393.560303
2005-03-15,400.410309
2005-03-16,380.444458
2005-03-17,362.767731
2005-03-18,409.399963
2005-03-19,447.471954
2005-03-20,457.314209
2005-03-21,404.205688
2005-03-22,423.188477
2005-03-23,403.491669
2005-03-24,394.403961
2005-03-25,369.971558
2005-03-26,-1.267651e+30
2005-03-27,416.635254
2005-03-28,403.812775
2005-03-29,385.27948
2005-03-30,390.431976
2005-03-31,451.880493
2005-04-01,458.632019
2005-04-02,460.470581
2005-04-03,424.396667
2005-04-04,408.118896
2005-04-05,414.179779
2005-04-06,423.368622
2005-04-07,433.393677
2005-04-08,443.157104
2005-04-09,443.37793
2005-04-10,438.472748
2005-04-11,434.699402
2005-04-12,429.990906
2005-04-13,444.072296
2005-04-14,449.220215
2005-04-15,438.769592
2005-04-16,417.990417
2005-04-17,371.60141
2005-04-18,370.654236
2005-04-19,371.185699
2005-04-20,380.556885
2005-04-21,388.422607
2005-04-22,405.159546
2005-04-23,413.703094
2005-04-24,421.665924
2005-04-25,436.503418
2005-04-26,444.142975
2005-04-27,-1.267651e+30
2005-04-28,413.351257
2005-04-29,432.962463
2005-04-30,407.245239
2005-05-01,384.842194
2005-05-02,387.423645
2005-05-03,378.92038
2005-05-04,389.750854
2005-05-05,390.180695
2005-05-06,398.993134
2005-05-07,397.020874
2005-05-08,388.98996
2005-05-09,389.571442
2005-05-10,363.706879
2005-05-11,374.21167
2005-05-12,372.997406
2005-05-13,379.658112
2005-05-14,395.548737
2005-05-15,380.534393
2005-05-16,370.323914
2005-05-17,381.82959
2005-05-18,378.348602
2005-05-19,387.62265
2005-05-20,399.641846
2005-05-21,406.943665
2005-05-22,390.197815
2005-05-23,393.252869
2005-05-24,368.432129
2005-05-25,359.26709
2005-05-26,374.609619
2005-05-27,383.073334
2005-05-28,374.821472
2005-05-29,-1.267651e+30
2005-05-30,388.627197
2005-05-31,367.566071
2005-06-01,339.512543
2005-06-02,346.448853
2005-06-03,365.350128
2005-06-04,372.992676
2005-06-05,373.921417
2005-06-06,353.487061
2005-06-07,350.943878
2005-06-08,343.24176
2005-06-09,349.426392
2005-06-10,362.034912
2005-06-11,358.413971
2005-06-12,341.661377
2005-06-13,343.895813
2005-06-14,314.062744
2005-06-15,325.959076
2005-06-16,332.973785
2005-06-17,322.525116
2005-06-18,314.728149
2005-06-19,322.11795
2005-06-20,334.141815
2005-06-21,327.876068
2005-06-22,322.59549
2005-06-23,330.119232
2005-06-24,341.424133
2005-06-25,348.116058
2005-06-26,332.763092
2005-06-27,319.093506
2005-06-28,328.299011
2005-06-29,318.058136
2005-06-30,-1.267651e+30
2005-07-01,308.601654
2005-07-02,306.329712
2005-07-03,297.911407
2005-07-04,295.086151
2005-07-05,293.651489
2005-07-06,290.526123
2005-07-07,288.313538
2005-07-08,291.553986
2005-07-09,288.970581
2005-07-10,294.922882
2005-07-11,327.754639
2005-07-12,333.033356
2005-07-13,325.037659
2005-07-14,335.90271
2005-07-15,316.307007
2005-07-16,329.315887
2005-07-17,309.775085
2005-07-18,316.845551
2005-07-19,324.572968
2005-07-20,314.627991
2005-07-21,317.210663
2005-07-22,319.544708
2005-07-23,297.539948
2005-07-24,280.921844
2005-07-25,288.447113
2005-07-26,296.525452
2005-07-27,292.968781
2005-07-28,285.819092
2005-07-29,273.24118
2005-07-30,276.731049
2005-07-31,267.515289
2005-08-01,-1.267651e+30
2005-08-02,304.752777
2005-08-03,311.385742
2005-08-04,288.928833
2005-08-05,284.371246
2005-08-06,300.337463
2005-08-07,286.532806
2005-08-08,292.183594
2005-08-09,293.163452
2005-08-10,279.429108
2005-08-11,262.845642
2005-08-12,269.632874
2005-08-13,266.312439
2005-08-14,268.902161
2005-08-15,267.164825
2005-08-16,271.036469
2005-08-17,276.97934
2005-08-18,273.568359
2005-08-19,276.852112
2005-08-20,285.464813
2005-08-21,277.51825
2005-08-22,294.909485
2005-08-23,295.199921
2005-08-24,289.110748
2005-08-25,271.162018
2005-08-26,275.433777
2005-08-27,258.077423
2005-08-28,284.591217
2005-08-29,289.971619
2005-08-30,294.60553
2005-08-31,292.49472
2005-09-01,283.868408
2005-09-02,-1.267651e+30
2005-09-03,296.140015
2005-09-04,302.21463
2005-09-05,278.797028
2005-09-06,284.695679
2005-09-07,282.675903
2005-09-08,278.154816
2005-09-09,288.443817
2005-09-10,285.407349
2005-09-11,281.482178
2005-09-12,287.810547
2005-09-13,294.677734
2005-09-14,290.883942
2005-09-15,273.208771
2005-09-16,264.773743
2005-09-17,267.391449
2005-09-18,275.70285
2005-09-19,262.231171
2005-09-20,241.943085
2005-09-21,274.773895
2005-09-22,284.240112
2005-09-23,293.170715
2005-09-24,277.281158
2005-09-25,274.377289
2005-09-26,291.660034
2005-09-27,286.213287
2005-09-28,278.490265
2005-09-29,294.69986
2005-09-30,307.570129
2005-10-01,273.986481
2005-10-02,278.995789
2005-10-03,271.208282
2005-10-04,-1.267651e+30
2005-10-05,277.602142
2005-10-06,267.12793
2005-10-07,253.749908
2005-10-08,271.195038
2005-10-09,288.317963
2005-10-10,302.346527
2005-10-11,306.42276
2005-10-12,288.355743
2005-10-13,282.710388
2005-10-14,265.397186
2005-10-15,259.01828
2005-10-16,247.674255
2005-10-17,255.101151
2005-10-18,253.866959
2005-10-19,273.653229
2005-10-20,262.290955
2005-10-21,251.000504
2005-10-22,244.268326
2005-10-23,246.600006
2005-10-24,-1.267651e+30
2005-10-25,-1.267651e+30
2005-10-26,-1.267651e+30
2005-10-27,-1.267651e+30
2005-10-28,-1.267651e+30
2005-10-29,-1.267651e+30
2005-10-30,-1.267651e+30
2005-10-31,-1.267651e+30
2005-11-01,-1.267651e+30
2005-11-02,-1.267651e+30
2005-11-03,-1.267651e+30
2005-11-04,-1.267651e+30
2005-11-05,-1.267651e+30
2005-11-06,-1.267651e+30
2005-11-07,-1.267651e+30
2005-11-08,-1.267651e+30
2005-11-09,-1.267651e+30
2005-11-10,-1.267651e+30
2005-11-11,-1.267651e+30
2005-11-12,-1.267651e+30
2005-11-13,-1.267651e+30
2005-11-14,-1.267651e+30
2005-11-15,-1.267651e+30
2005-11-16,-1.267651e+30
2005-11-17,-1.267651e+30
