Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"28,19,31,22"
Data Bounding Box:,"28.125,19.125,30.875,21.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=28,19,31,22&data=OMDOAO3e_003_ColumnAmountO3&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2004-10-01,276.372314
2004-10-02,270.753265
2004-10-03,269.113037
2004-10-04,270.514435
2004-10-05,273.968109
2004-10-06,-1.267651e+30
2004-10-07,270.331696
2004-10-08,267.253784
2004-10-09,263.676727
2004-10-10,271.766724
2004-10-11,272.992798
2004-10-12,275.022797
2004-10-13,268.926147
2004-10-14,264.360596
2004-10-15,263.86557
2004-10-16,259.831848
2004-10-17,-1.267651e+30
2004-10-18,268.348877
2004-10-19,267.703247
2004-10-20,263.680115
2004-10-21,264.154358
2004-10-22,264.903137
2004-10-23,260.023468
2004-10-24,259.291473
2004-10-25,261.778931
2004-10-26,266.268982
2004-10-27,262.236755
2004-10-28,258.367462
2004-10-29,259.219604
2004-10-30,261.124176
2004-10-31,266.07431
2004-11-01,264.518311
2004-11-02,274.71286
2004-11-03,267.452576
2004-11-04,266.440979
2004-11-05,260.391663
2004-11-06,256.544373
2004-11-07,255.735184
2004-11-08,251.95874
2004-11-09,250.906967
2004-11-10,248.032745
2004-11-11,249.848312
2004-11-12,248.999634
2004-11-13,255.538666
2004-11-14,257.187927
2004-11-15,259.036652
2004-11-16,260.925446
2004-11-17,257.724518
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-11-20,-1.267651e+30
2004-11-21,-1.267651e+30
2004-11-22,-1.267651e+30
2004-11-23,-1.267651e+30
2004-11-24,-1.267651e+30
2004-12-02,253.846939
2004-12-03,254.388687
2004-12-04,253.916901
2004-12-05,252.776901
2004-12-06,258.990936
2004-12-07,256.74823
2004-12-08,252.772858
2004-12-09,248.777069
2004-12-10,251.446259
2004-12-11,253.20668
2004-12-12,247.214233
2004-12-13,250.636429
2004-12-14,249.071976
2004-12-15,251.517227
2004-12-16,255.526398
2004-12-17,249.538452
2004-12-18,246.245407
2004-12-19,242.677658
2004-12-20,-1.267651e+30
2004-12-21,239.64682
2004-12-22,246.108261
2004-12-23,245.523178
2004-12-24,251.043213
2004-12-25,253.10614
2004-12-26,249.478668
2004-12-27,254.38118
2004-12-28,250.723404
2004-12-29,266.421539
2004-12-30,261.687836
2004-12-31,263.925385
2005-01-01,260.280518
2005-01-02,260.98703
2005-01-03,260.862732
2005-01-04,260.040405
2005-01-05,263.622253
2005-01-06,267.70224
2005-01-07,261.086884
2005-01-08,255.707764
2005-01-09,248.643188
2005-01-10,250.39386
2005-01-11,257.840637
2005-01-12,258.518036
2005-01-13,253.007523
2005-01-14,259.603149
2005-01-15,254.131546
2005-01-16,256.412018
2005-01-17,257.377838
2005-01-18,265.788788
2005-01-19,261.204773
2005-01-20,253.671555
2005-01-21,-1.267651e+30
2005-01-22,260.351532
2005-01-23,270.889069
2005-01-24,271.779205
2005-01-25,271.399384
2005-01-26,266.899689
2005-01-27,256.008667
2005-01-28,252.954239
2005-01-29,252.117859
2005-01-30,255.487244
2005-01-31,249.439255
2005-02-01,244.936142
2005-02-02,253.138321
2005-02-03,257.417328
2005-02-04,257.465454
2005-02-05,253.667404
2005-02-06,252.836472
2005-02-07,250.592422
2005-02-08,255.113403
2005-02-09,252.584305
2005-02-10,255.47525
2005-02-11,255.319702
2005-02-12,255.294601
2005-02-13,258.989319
2005-02-14,260.756348
2005-02-15,251.125412
2005-02-16,239.951996
2005-02-17,242.294144
2005-02-18,243.630829
2005-02-19,244.450531
2005-02-20,248.993408
2005-02-21,243.992126
2005-02-22,-1.267651e+30
2005-02-23,243.410706
2005-02-24,247.699432
2005-02-25,242.422592
2005-02-26,247.315491
2005-02-27,252.539612
2005-02-28,251.529465
2005-03-01,253.393219
2005-03-02,247.735336
2005-03-03,245.472946
2005-03-04,236.480377
2005-03-05,243.994247
2005-03-06,247.617859
2005-03-07,245.780884
2005-03-08,251.284653
2005-03-09,250.130234
2005-03-10,246.681839
2005-03-11,238.195602
2005-03-12,253.28508
2005-03-13,250.65242
2005-03-14,247.124039
2005-03-15,250.298798
2005-03-16,254.890106
2005-03-17,263.684357
2005-03-18,263.274994
2005-03-19,271.893372
2005-03-20,271.707703
2005-03-21,272.552216
2005-03-22,262.367523
2005-03-23,252.781509
2005-03-24,255.405899
2005-03-25,250.551117
2005-03-26,-1.267651e+30
2005-03-27,275.457489
2005-03-28,269.14267
2005-03-29,266.747437
2005-03-30,274.604156
2005-03-31,272.309662
2005-04-01,275.252655
2005-04-02,270.703552
2005-04-03,262.381073
2005-04-04,269.788818
2005-04-05,265.316132
2005-04-06,266.35614
2005-04-07,269.049988
2005-04-08,271.645905
2005-04-09,274.54248
2005-04-10,267.883484
2005-04-11,275.631409
2005-04-12,277.190308
2005-04-13,275.96524
2005-04-14,269.629272
2005-04-15,272.296265
2005-04-16,273.7995
2005-04-17,271.853851
2005-04-18,275.5979
2005-04-19,259.533356
2005-04-20,266.563934
2005-04-21,259.944733
2005-04-22,270.235809
2005-04-23,280.197479
2005-04-24,276.88501
2005-04-25,291.137451
2005-04-26,279.606445
2005-04-27,-1.267651e+30
2005-04-28,271.834961
2005-04-29,276.074249
2005-04-30,273.412231
2005-05-01,276.123383
2005-05-02,275.355896
2005-05-03,275.494141
2005-05-04,284.948486
2005-05-05,280.231476
2005-05-06,283.043823
2005-05-07,272.781403
2005-05-08,281.361084
2005-05-09,284.091919
2005-05-10,287.811432
2005-05-11,293.848541
2005-05-12,297.6521
2005-05-13,290.506744
2005-05-14,281.170715
2005-05-15,280.126282
2005-05-16,279.527405
2005-05-17,279.019287
2005-05-18,283.213348
2005-05-19,297.063049
2005-05-20,283.79776
2005-05-21,271.325867
2005-05-22,271.857117
2005-05-23,268.357422
2005-05-24,271.661041
2005-05-25,270.309235
2005-05-26,269.571259
2005-05-27,268.645905
2005-05-28,266.802979
2005-05-29,-1.267651e+30
2005-05-30,270.671814
2005-05-31,283.097443
2005-06-01,269.941284
2005-06-02,281.066132
2005-06-03,281.70636
2005-06-04,285.018402
2005-06-05,283.511444
2005-06-06,272.795715
2005-06-07,273.18869
2005-06-08,267.422241
2005-06-09,274.485413
2005-06-10,279.170807
2005-06-11,279.84964
2005-06-12,280.240753
2005-06-13,275.97937
2005-06-14,282.710907
2005-06-15,282.455719
2005-06-16,278.826721
2005-06-17,275.365906
2005-06-18,275.989624
2005-06-19,274.468842
2005-06-20,275.443787
2005-06-21,278.652039
2005-06-22,268.521881
2005-06-23,277.60321
2005-06-24,273.877106
2005-06-25,276.097351
2005-06-26,278.412537
2005-06-27,279.510681
2005-06-28,281.303955
2005-06-29,275.010895
2005-06-30,-1.267651e+30
2005-07-01,276.480438
2005-07-02,279.843628
2005-07-03,277.420746
2005-07-04,278.371826
2005-07-05,273.777985
2005-07-06,275.105225
2005-07-07,281.360016
2005-07-08,278.341888
2005-07-09,284.243469
2005-07-10,277.108978
2005-07-11,278.710114
2005-07-12,275.09848
2005-07-13,273.044281
2005-07-14,274.240875
2005-07-15,268.535217
2005-07-16,272.552429
2005-07-17,274.830078
2005-07-18,277.885773
2005-07-19,278.590302
2005-07-20,273.577057
2005-07-21,274.970917
2005-07-22,273.047028
2005-07-23,276.881775
2005-07-24,273.585266
2005-07-25,282.174438
2005-07-26,282.872528
2005-07-27,274.923065
2005-07-28,274.502045
2005-07-29,271.368317
2005-07-30,273.047028
2005-07-31,270.604584
2005-08-01,-1.267651e+30
2005-08-02,271.79657
2005-08-03,274.549072
2005-08-04,271.858398
2005-08-05,271.825226
2005-08-06,269.355804
2005-08-07,267.998413
2005-08-08,270.32016
2005-08-09,268.716034
2005-08-10,273.876556
2005-08-11,270.473389
2005-08-12,272.38504
2005-08-13,276.326355
2005-08-14,275.978882
2005-08-15,276.012329
2005-08-16,269.578461
2005-08-17,272.865753
2005-08-18,272.085266
2005-08-19,274.009644
2005-08-20,270.18811
2005-08-21,266.927032
2005-08-22,273.533417
2005-08-23,277.068237
2005-08-24,273.234131
2005-08-25,266.974976
2005-08-26,273.318512
2005-08-27,267.457703
2005-08-28,274.144348
2005-08-29,273.136139
2005-08-30,274.844666
2005-08-31,273.120514
2005-09-01,270.088409
2005-09-02,-1.267651e+30
2005-09-03,266.627777
2005-09-04,269.941681
2005-09-05,264.90274
2005-09-06,270.320282
2005-09-07,273.174438
2005-09-08,271.793182
2005-09-09,272.301086
2005-09-10,265.260712
2005-09-11,269.343933
2005-09-12,265.280914
2005-09-13,270.753265
2005-09-14,277.22934
2005-09-15,272.225494
2005-09-16,267.949646
2005-09-17,262.2164
2005-09-18,269.151062
2005-09-19,267.897247
2005-09-20,270.687195
2005-09-21,270.515259
2005-09-22,267.825317
2005-09-23,266.175537
2005-09-24,269.411499
2005-09-25,270.279022
2005-09-26,267.552246
2005-09-27,267.229095
2005-09-28,267.153259
2005-09-29,271.354401
2005-09-30,274.323639
2005-10-01,274.78894
2005-10-02,276.233307
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,268.383301
2005-10-06,271.061188
2005-10-07,268.978485
2005-10-08,269.250366
2005-10-09,270.167053
2005-10-10,272.485321
2005-10-11,270.30368
2005-10-12,264.26123
2005-10-13,265.530701
2005-10-14,261.840546
2005-10-15,262.311981
2005-10-16,262.994263
2005-10-17,267.396667
2005-10-18,269.559845
2005-10-19,266.740356
2005-10-20,268.977814
2005-10-21,266.214264
2005-10-22,262.16214
2005-10-23,255.087723
2005-10-24,257.873016
2005-10-25,256.811951
2005-10-26,255.944458
2005-10-27,256.193878
2005-10-28,255.780243
2005-10-29,256.43866
2005-10-30,254.897858
2005-10-31,250.342316
2005-11-01,248.586639
2005-11-02,254.732941
2005-11-03,263.767151
2005-11-04,268.535797
2005-11-05,-1.267651e+30
2005-11-06,258.714355
2005-11-07,256.96524
2005-11-08,255.64415
2005-11-09,255.60878
2005-11-10,253.833725
2005-11-11,255.482559
2005-11-12,255.042603
2005-11-13,249.721313
2005-11-14,252.370071
2005-11-15,246.781174
2005-11-16,248.49913
2005-11-17,250.114517
2005-11-18,251.440048
2005-11-19,247.596527
2005-11-20,241.993256
2005-11-21,242.079727
2005-11-22,239.356049
2005-11-23,239.796463
2005-11-24,234.453156
2005-11-25,233.633163
2005-11-26,237.203445
2005-11-27,236.228104
2005-11-28,243.217407
2005-11-29,246.633743
2005-11-30,251.523376
2005-12-01,246.442337
2005-12-02,247.462921
2005-12-03,247.777893
2005-12-04,248.601562
2005-12-05,253.878342
2005-12-06,247.367035
2005-12-07,-1.267651e+30
2005-12-08,239.001831
2005-12-09,235.60733
2005-12-10,233.627808
2005-12-11,234.921417
2005-12-12,238.632736
2005-12-13,240.939819
2005-12-14,239.762863
2005-12-15,237.536224
2005-12-16,243.525375
2005-12-17,244.491608
2005-12-18,245.381042
2005-12-19,248.322388
2005-12-20,248.728485
2005-12-21,238.455963
2005-12-22,231.625534
2005-12-23,235.557205
2005-12-24,234.765198
2005-12-25,238.823563
2005-12-26,237.372192
2005-12-27,238.515106
2005-12-28,239.057907
