Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"29,-28,32,-25"
Data Bounding Box:,"29.125,-27.875,31.875,-25.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=29,-28,32,-25&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2004-10-01,267.217682
2004-10-02,275.393188
2004-10-03,272.824768
2004-10-04,273.813904
2004-10-05,269.145325
2004-10-06,-1.267651e+30
2004-10-07,273.56189
2004-10-08,274.939941
2004-10-09,270.239075
2004-10-10,273.619965
2004-10-11,281.745728
2004-10-12,293.527679
2004-10-13,299.233459
2004-10-14,288.484314
2004-10-15,284.995911
2004-10-16,288.556213
2004-10-17,-1.267651e+30
2004-10-18,279.86618
2004-10-19,272.660065
2004-10-20,273.779907
2004-10-21,267.6091
2004-10-22,274.223236
2004-10-23,275.275665
2004-10-24,278.99884
2004-10-25,278.147583
2004-10-26,275.569733
2004-10-27,286.805817
2004-10-28,281.0849
2004-10-29,288.077606
2004-10-30,283.31543
2004-10-31,286.928833
2004-11-01,284.425751
2004-11-02,278.329834
2004-11-03,286.943634
2004-11-04,277.097656
2004-11-05,280.424866
2004-11-06,275.263306
2004-11-07,277.77655
2004-11-08,282.131989
2004-11-09,279.934357
2004-11-10,282.526886
2004-11-11,283.251495
2004-11-12,280.758789
2004-11-13,273.963379
2004-11-14,278.217072
2004-11-15,283.756073
2004-11-16,269.359955
2004-11-17,268.722748
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-11-20,-1.267651e+30
2004-11-21,-1.267651e+30
2004-11-22,-1.267651e+30
2004-11-23,-1.267651e+30
2004-11-24,-1.267651e+30
2004-12-02,270.234009
2004-12-03,271.358551
2004-12-04,256.40271
2004-12-05,265.935699
2004-12-06,259.239441
2004-12-07,265.132812
2004-12-08,264.724976
2004-12-09,262.451996
2004-12-10,272.470398
2004-12-11,273.273407
2004-12-12,274.409607
2004-12-13,269.808075
2004-12-14,270.913055
2004-12-15,268.259033
2004-12-16,265.600098
2004-12-17,264.337799
2004-12-18,268.810425
2004-12-19,272.572052
2004-12-20,-1.267651e+30
2004-12-21,274.366699
2004-12-22,270.414978
2004-12-23,272.856628
2004-12-24,262.670319
2004-12-25,272.832489
2004-12-26,269.981934
2004-12-27,262.055176
2004-12-28,269.582855
2004-12-29,263.928131
2004-12-30,270.045532
2004-12-31,262.775757
2005-01-01,267.304901
2005-01-02,266.819305
2005-01-03,267.961975
2005-01-04,265.844635
2005-01-05,264.649139
2005-01-06,264.802063
2005-01-07,260.6427
2005-01-08,269.157257
2005-01-09,264.722626
2005-01-10,263.338348
2005-01-11,264.501038
2005-01-12,266.62204
2005-01-13,268.688385
2005-01-14,258.654327
2005-01-15,257.908966
2005-01-16,257.529968
2005-01-17,260.309998
2005-01-18,253.38443
2005-01-19,261.516663
2005-01-20,261.867493
2005-01-21,-1.267651e+30
2005-01-22,255.044128
2005-01-23,256.458588
2005-01-24,254.640808
2005-01-25,254.050812
2005-01-26,265.075623
2005-01-27,263.557068
2005-01-28,259.716858
2005-01-29,261.383057
2005-01-30,258.329865
2005-01-31,259.058441
2005-02-01,253.997589
2005-02-02,257.615448
2005-02-03,251.99498
2005-02-04,257.066986
2005-02-05,259.696075
2005-02-06,258.235748
2005-02-07,259.969635
2005-02-08,260.0495
2005-02-09,264.522705
2005-02-10,257.249512
2005-02-11,268.050171
2005-02-12,260.872375
2005-02-13,267.032471
2005-02-14,262.992828
2005-02-15,258.96048
2005-02-16,258.398285
2005-02-17,257.973145
2005-02-18,261.589264
2005-02-19,257.362915
2005-02-20,251.423492
2005-02-21,251.298019
2005-02-22,-1.267651e+30
2005-02-23,259.913391
2005-02-24,253.407043
2005-02-25,259.746307
2005-02-26,250.399796
2005-02-27,252.366501
2005-02-28,253.471985
2005-03-01,259.835846
2005-03-02,265.33075
2005-03-03,262.753357
2005-03-04,257.817627
2005-03-05,254.468781
2005-03-06,256.661804
2005-03-07,251.657928
2005-03-08,254.754089
2005-03-09,252.053909
2005-03-10,256.77124
2005-03-11,256.904785
2005-03-12,252.667175
2005-03-13,254.023315
2005-03-14,251.952576
2005-03-15,254.832809
2005-03-16,258.934113
2005-03-17,251.471268
2005-03-18,248.262085
2005-03-19,249.738953
2005-03-20,255.918549
2005-03-21,249.929901
2005-03-22,255.933868
2005-03-23,251.689346
2005-03-24,250.558182
2005-03-25,252.279297
2005-03-26,-1.267651e+30
2005-03-27,266.804993
2005-03-28,250.570221
2005-03-29,256.099182
2005-03-30,252.724869
2005-03-31,256.105011
2005-04-01,255.839554
2005-04-02,254.452789
2005-04-03,252.423676
2005-04-04,248.984711
2005-04-05,252.346207
2005-04-06,251.305237
2005-04-07,258.268433
2005-04-08,257.655457
2005-04-09,253.524872
2005-04-10,245.363403
2005-04-11,242.974655
2005-04-12,246.689682
2005-04-13,245.912186
2005-04-14,256.829315
2005-04-15,257.098694
2005-04-16,256.374023
2005-04-17,254.610687
2005-04-18,252.228806
2005-04-19,249.038162
2005-04-20,245.047623
2005-04-21,243.007736
2005-04-22,247.679657
2005-04-23,254.30336
2005-04-24,244.400558
2005-04-25,259.781464
2005-04-26,261.145325
2005-04-27,-1.267651e+30
2005-04-28,255.350754
2005-04-29,244.593658
2005-04-30,254.97142
2005-05-01,252.43956
2005-05-02,249.179306
2005-05-03,255.34819
2005-05-04,249.07399
2005-05-05,252.609543
2005-05-06,244.269211
2005-05-07,242.782074
2005-05-08,238.774643
2005-05-09,244.986755
2005-05-10,236.89473
2005-05-11,240.91655
2005-05-12,239.625427
2005-05-13,228.68483
2005-05-14,235.044144
2005-05-15,261.862122
2005-05-16,247.477692
2005-05-17,247.89238
2005-05-18,247.966858
2005-05-19,247.286697
2005-05-20,262.546478
2005-05-21,253.80835
2005-05-22,251.723618
2005-05-23,237.405762
2005-05-24,246.096603
2005-05-25,239.847122
2005-05-26,237.094986
2005-05-27,243.088333
2005-05-28,250.219452
2005-05-29,-1.267651e+30
2005-05-30,252.134796
2005-05-31,248.656204
2005-06-01,249.084717
2005-06-02,244.691849
2005-06-03,243.538696
2005-06-04,243.09877
2005-06-05,242.948257
2005-06-06,241.71373
2005-06-07,258.267181
2005-06-08,252.02356
2005-06-09,253.888412
2005-06-10,261.185211
2005-06-11,257.63623
2005-06-12,255.026932
2005-06-13,254.13002
2005-06-14,257.328094
2005-06-15,255.486389
2005-06-16,266.855286
2005-06-17,263.151825
2005-06-18,250.955582
2005-06-19,263.901703
2005-06-20,270.45993
2005-06-21,270.324188
2005-06-22,273.322479
2005-06-23,266.523163
2005-06-24,259.093109
2005-06-25,257.045929
2005-06-26,259.198975
2005-06-27,254.073166
2005-06-28,258.497375
2005-06-29,254.203598
2005-06-30,-1.267651e+30
2005-07-01,256.778809
2005-07-02,251.058319
2005-07-03,261.601074
2005-07-04,268.317596
2005-07-05,268.660278
2005-07-06,282.776703
2005-07-07,287.019318
2005-07-08,274.26413
2005-07-09,260.768616
2005-07-10,257.97464
2005-07-11,247.835495
2005-07-12,253.63472
2005-07-13,248.997375
2005-07-14,253.570129
2005-07-15,263.790192
2005-07-16,254.106461
2005-07-17,254.512756
2005-07-18,253.81044
2005-07-19,263.065643
2005-07-20,263.234894
2005-07-21,262.118683
2005-07-22,260.391235
2005-07-23,261.655212
2005-07-24,265.58963
2005-07-25,263.752136
2005-07-26,265.399689
2005-07-27,259.434296
2005-07-28,267.587921
2005-07-29,265.135162
2005-07-30,261.660614
2005-07-31,259.701324
2005-08-01,-1.267651e+30
2005-08-02,252.884125
2005-08-03,250.308365
2005-08-04,252.280975
2005-08-05,247.866638
2005-08-06,250.163391
2005-08-07,251.107254
2005-08-08,267.777161
2005-08-09,270.836395
2005-08-10,268.644287
2005-08-11,267.666443
2005-08-12,270.931549
2005-08-13,274.606079
2005-08-14,268.6987
2005-08-15,273.350311
2005-08-16,271.782135
2005-08-17,269.292358
2005-08-18,270.281036
2005-08-19,274.079193
2005-08-20,286.450348
2005-08-21,283.456451
2005-08-22,292.063324
2005-08-23,288.72229
2005-08-24,286.059723
2005-08-25,287.445923
2005-08-26,294.810791
2005-08-27,290.646057
2005-08-28,287.025696
2005-08-29,293.306763
2005-08-30,285.79718
2005-08-31,279.085876
2005-09-01,295.03244
2005-09-02,-1.267651e+30
2005-09-03,284.421204
2005-09-04,275.690948
2005-09-05,275.75708
2005-09-06,270.327332
2005-09-07,275.906372
2005-09-08,291.946808
2005-09-09,281.92099
2005-09-10,279.266205
2005-09-11,275.205292
2005-09-12,274.905243
2005-09-13,271.724152
2005-09-14,279.827118
2005-09-15,288.951172
2005-09-16,291.591187
2005-09-17,288.297577
2005-09-18,283.505463
2005-09-19,289.33197
2005-09-20,285.692841
2005-09-21,293.107178
2005-09-22,285.0047
2005-09-23,287.039154
2005-09-24,292.934601
2005-09-25,283.695435
2005-09-26,290.09906
2005-09-27,288.995483
2005-09-28,310.557831
2005-09-29,295.623322
2005-09-30,293.748993
2005-10-01,287.665924
2005-10-02,286.537903
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,289.12262
2005-10-06,286.661743
2005-10-07,286.312195
2005-10-08,289.40329
2005-10-09,292.391174
2005-10-10,291.241669
2005-10-11,286.018097
2005-10-12,286.230316
2005-10-13,285.844849
2005-10-14,290.587982
2005-10-15,283.375397
2005-10-16,287.763397
2005-10-17,288.181366
2005-10-18,289.454559
2005-10-19,301.384216
2005-10-20,297.946777
2005-10-21,292.197235
2005-10-22,283.589844
2005-10-23,292.06723
2005-10-24,293.30072
2005-10-25,292.467804
2005-10-26,292.703156
2005-10-27,291.652985
2005-10-28,295.605499
2005-10-29,297.224915
2005-10-30,292.302673
2005-10-31,290.779938
2005-11-01,288.693848
2005-11-02,280.712128
2005-11-03,282.126862
2005-11-04,284.2435
2005-11-05,-1.267651e+30
2005-11-06,284.846375
2005-11-07,287.067932
2005-11-08,286.539246
2005-11-09,288.174225
2005-11-10,282.752045
2005-11-11,279.476471
2005-11-12,280.814117
2005-11-13,285.989777
2005-11-14,288.765503
2005-11-15,277.323853
2005-11-16,274.172913
2005-11-17,284.641388
2005-11-18,274.71109
2005-11-19,270.934631
2005-11-20,269.76297
2005-11-21,265.467499
2005-11-22,268.867828
2005-11-23,270.395844
2005-11-24,284.518677
2005-11-25,276.360962
2005-11-26,280.399536
2005-11-27,277.65976
2005-11-28,279.03067
2005-11-29,277.856842
2005-11-30,267.907013
2005-12-01,271.307251
2005-12-02,272.601318
2005-12-03,270.956543
2005-12-04,267.423523
2005-12-05,273.127533
2005-12-06,283.706268
2005-12-07,-1.267651e+30
2005-12-08,269.958527
2005-12-09,269.049347
2005-12-10,273.546936
2005-12-11,272.832092
2005-12-12,284.806152
2005-12-13,275.567963
2005-12-14,275.891174
2005-12-15,278.523895
2005-12-16,266.786987
2005-12-17,272.091553
2005-12-18,263.636658
2005-12-19,270.888977
2005-12-20,269.045135
2005-12-21,274.054443
2005-12-22,268.722778
2005-12-23,264.870178
2005-12-24,270.496521
