Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"29,-2,32,1"
Data Bounding Box:,"29.125,-1.875,31.875,0.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=29,-2,32,1&data=OMDOAO3e_003_ColumnAmountO3&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2004-10-01,276.153503
2004-10-02,269.709778
2004-10-03,268.779205
2004-10-04,271.837708
2004-10-05,268.737427
2004-10-06,-1.267651e+30
2004-10-07,271.790985
2004-10-08,278.813995
2004-10-09,267.571625
2004-10-10,273.707092
2004-10-11,274.377686
2004-10-12,272.320099
2004-10-13,271.782501
2004-10-14,267.855713
2004-10-15,271.515869
2004-10-16,265.647125
2004-10-17,-1.267651e+30
2004-10-18,267.687378
2004-10-19,266.185852
2004-10-20,267.330536
2004-10-21,266.357758
2004-10-22,266.893219
2004-10-23,262.518127
2004-10-24,270.077972
2004-10-25,261.458466
2004-10-26,263.103607
2004-10-27,258.011169
2004-10-28,256.942413
2004-10-29,261.177856
2004-10-30,256.689514
2004-10-31,260.983337
2004-11-01,255.447479
2004-11-02,260.017365
2004-11-03,253.022903
2004-11-04,258.432007
2004-11-05,262.571594
2004-11-06,255.421402
2004-11-07,259.252502
2004-11-08,257.887695
2004-11-09,265.01535
2004-11-10,258.892731
2004-11-11,258.855499
2004-11-12,259.976532
2004-11-13,261.551208
2004-11-14,263.287262
2004-11-15,261.25708
2004-11-16,264.151306
2004-11-17,256.413879
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-11-20,-1.267651e+30
2004-11-21,-1.267651e+30
2004-11-22,-1.267651e+30
2004-11-23,-1.267651e+30
2004-11-24,-1.267651e+30
2004-12-02,252.586502
2004-12-03,249.318146
2004-12-04,253.596542
2004-12-05,251.407104
2004-12-06,255.156128
2004-12-07,254.549103
2004-12-08,250.784103
2004-12-09,251.281952
2004-12-10,248.468689
2004-12-11,253.436111
2004-12-12,246.035629
2004-12-13,252.922226
2004-12-14,253.769608
2004-12-15,250.022156
2004-12-16,250.385544
2004-12-17,245.418564
2004-12-18,248.929901
2004-12-19,244.49231
2004-12-20,-1.267651e+30
2004-12-21,246.817215
2004-12-22,247.11264
2004-12-23,250.42926
2004-12-24,247.195312
2004-12-25,249.694336
2004-12-26,246.636078
2004-12-27,251.406998
2004-12-28,246.760208
2004-12-29,252.05278
2004-12-30,253.322021
2004-12-31,251.677643
2005-01-01,247.854797
2005-01-02,243.439072
2005-01-03,251.430481
2005-01-04,245.854645
2005-01-05,251.551987
2005-01-06,246.442215
2005-01-07,250.993271
2005-01-08,250.703583
2005-01-09,249.074448
2005-01-10,251.211853
2005-01-11,244.81105
2005-01-12,254.808929
2005-01-13,243.597107
2005-01-14,246.61763
2005-01-15,244.2211
2005-01-16,245.459839
2005-01-17,251.792557
2005-01-18,247.663864
2005-01-19,252.221222
2005-01-20,247.544662
2005-01-21,-1.267651e+30
2005-01-22,249.60965
2005-01-23,253.672714
2005-01-24,256.229156
2005-01-25,249.070068
2005-01-26,252.023651
2005-01-27,248.102051
2005-01-28,251.802048
2005-01-29,247.887344
2005-01-30,253.050827
2005-01-31,254.98085
2005-02-01,251.731964
2005-02-02,254.350555
2005-02-03,250.754181
2005-02-04,253.415207
2005-02-05,245.062607
2005-02-06,249.414734
2005-02-07,247.671463
2005-02-08,250.997406
2005-02-09,250.309097
2005-02-10,251.042465
2005-02-11,252.922943
2005-02-12,249.935455
2005-02-13,257.353455
2005-02-14,248.679779
2005-02-15,251.548172
2005-02-16,251.654083
2005-02-17,250.224915
2005-02-18,252.572784
2005-02-19,248.94519
2005-02-20,253.04512
2005-02-21,251.372238
2005-02-22,-1.267651e+30
2005-02-23,252.49733
2005-02-24,255.133469
2005-02-25,261.721924
2005-02-26,258.644653
2005-02-27,256.76178
2005-02-28,248.47226
2005-03-01,257.015808
2005-03-02,252.619492
2005-03-03,250.203156
2005-03-04,248.061035
2005-03-05,252.437546
2005-03-06,259.136902
2005-03-07,250.816742
2005-03-08,255.200638
2005-03-09,250.64444
2005-03-10,260.067322
2005-03-11,254.008438
2005-03-12,259.327759
2005-03-13,264.281342
2005-03-14,256.804443
2005-03-15,259.69455
2005-03-16,256.856293
2005-03-17,257.722992
2005-03-18,251.222061
2005-03-19,255.748291
2005-03-20,252.997284
2005-03-21,258.312592
2005-03-22,257.377625
2005-03-23,248.866684
2005-03-24,256.310242
2005-03-25,250.7771
2005-03-26,-1.267651e+30
2005-03-27,250.496643
2005-03-28,252.129288
2005-03-29,254.143677
2005-03-30,251.519241
2005-03-31,252.413879
2005-04-01,247.965988
2005-04-02,254.514725
2005-04-03,250.100662
2005-04-04,254.42955
2005-04-05,244.775787
2005-04-06,245.132172
2005-04-07,248.494568
2005-04-08,245.40892
2005-04-09,250.355515
2005-04-10,243.123611
2005-04-11,253.727905
2005-04-12,250.61525
2005-04-13,251.748108
2005-04-14,251.262909
2005-04-15,252.628677
2005-04-16,254.119568
2005-04-17,251.7314
2005-04-18,258.902008
2005-04-19,252.179169
2005-04-20,255.204086
2005-04-21,252.010223
2005-04-22,252.628418
2005-04-23,253.673386
2005-04-24,251.361343
2005-04-25,254.477722
2005-04-26,252.783432
2005-04-27,-1.267651e+30
2005-04-28,249.823517
2005-04-29,252.039841
2005-04-30,257.006897
2005-05-01,249.778442
2005-05-02,252.130768
2005-05-03,249.51947
2005-05-04,253.892273
2005-05-05,242.211212
2005-05-06,249.504349
2005-05-07,249.141022
2005-05-08,247.867172
2005-05-09,251.073135
2005-05-10,249.182816
2005-05-11,255.764664
2005-05-12,248.52771
2005-05-13,250.739075
2005-05-14,248.794418
2005-05-15,248.174698
2005-05-16,251.00972
2005-05-17,246.571075
2005-05-18,251.98613
2005-05-19,245.690964
2005-05-20,252.175049
2005-05-21,248.446671
2005-05-22,248.751709
2005-05-23,244.529419
2005-05-24,246.816833
2005-05-25,251.09169
2005-05-26,249.168533
2005-05-27,252.297882
2005-05-28,250.302246
2005-05-29,-1.267651e+30
2005-05-30,247.741882
2005-05-31,248.903137
2005-06-01,251.039688
2005-06-02,247.864807
2005-06-03,251.247375
2005-06-04,249.709244
2005-06-05,258.118134
2005-06-06,254.421448
2005-06-07,253.959717
2005-06-08,251.584183
2005-06-09,252.780289
2005-06-10,253.377853
2005-06-11,244.21405
2005-06-12,246.352829
2005-06-13,243.547226
2005-06-14,250.039734
2005-06-15,248.803757
2005-06-16,245.951385
2005-06-17,248.464554
2005-06-18,245.952087
2005-06-19,243.100693
2005-06-20,248.777054
2005-06-21,251.097977
2005-06-22,250.915909
2005-06-23,250.530579
2005-06-24,257.986755
2005-06-25,254.656357
2005-06-26,255.556305
2005-06-27,250.452942
2005-06-28,256.151459
2005-06-29,254.407028
2005-06-30,-1.267651e+30
2005-07-01,249.120193
2005-07-02,252.447769
2005-07-03,255.687439
2005-07-04,250.986206
2005-07-05,253.464081
2005-07-06,251.277786
2005-07-07,251.109314
2005-07-08,250.770935
2005-07-09,256.136627
2005-07-10,251.89653
2005-07-11,254.587631
2005-07-12,258.340149
2005-07-13,253.273056
2005-07-14,260.956177
2005-07-15,257.593903
2005-07-16,256.609833
2005-07-17,253.177139
2005-07-18,253.87561
2005-07-19,256.594482
2005-07-20,258.986359
2005-07-21,257.498627
2005-07-22,254.391113
2005-07-23,260.35553
2005-07-24,249.485535
2005-07-25,256.515564
2005-07-26,254.725113
2005-07-27,252.776062
2005-07-28,252.032181
2005-07-29,251.61879
2005-07-30,254.431992
2005-07-31,252.489014
2005-08-01,-1.267651e+30
2005-08-02,257.375183
2005-08-03,257.996216
2005-08-04,259.691833
2005-08-05,256.210876
2005-08-06,255.720917
2005-08-07,248.170227
2005-08-08,255.681335
2005-08-09,252.877274
2005-08-10,260.012604
2005-08-11,255.661758
2005-08-12,261.396027
2005-08-13,257.32309
2005-08-14,254.480957
2005-08-15,264.302795
2005-08-16,257.912415
2005-08-17,261.948944
2005-08-18,256.17514
2005-08-19,254.099289
2005-08-20,255.614639
2005-08-21,252.757996
2005-08-22,262.087646
2005-08-23,262.931915
2005-08-24,266.914734
2005-08-25,258.115845
2005-08-26,261.948456
2005-08-27,259.121246
2005-08-28,264.243225
2005-08-29,267.619476
2005-08-30,264.419678
2005-08-31,267.226868
2005-09-01,260.972076
2005-09-02,-1.267651e+30
2005-09-03,254.761856
2005-09-04,257.77063
2005-09-05,252.782776
2005-09-06,253.29454
2005-09-07,254.556931
2005-09-08,253.819901
2005-09-09,263.457001
2005-09-10,251.017242
2005-09-11,262.263123
2005-09-12,258.082153
2005-09-13,261.883484
2005-09-14,264.7099
2005-09-15,259.861847
2005-09-16,263.006927
2005-09-17,256.177734
2005-09-18,259.674316
2005-09-19,253.403961
2005-09-20,255.002686
2005-09-21,264.379486
2005-09-22,263.944611
2005-09-23,267.959656
2005-09-24,263.28833
2005-09-25,258.16687
2005-09-26,261.66394
2005-09-27,261.742188
2005-09-28,263.659546
2005-09-29,265.919617
2005-09-30,267.887878
2005-10-01,263.64859
2005-10-02,264.150818
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,262.616425
2005-10-06,258.990784
2005-10-07,258.131805
2005-10-08,257.289581
2005-10-09,259.896332
2005-10-10,257.594696
2005-10-11,264.553406
2005-10-12,254.261642
2005-10-13,254.146072
2005-10-14,255.433838
2005-10-15,256.117126
2005-10-16,258.955017
2005-10-17,254.410919
2005-10-18,262.500702
2005-10-19,257.151917
2005-10-20,259.837402
2005-10-21,251.955185
2005-10-22,258.345612
2005-10-23,258.898346
2005-10-24,256.836761
2005-10-25,258.062225
2005-10-26,248.92572
2005-10-27,258.054962
2005-10-28,250.008331
2005-10-29,255.734924
2005-10-30,253.806702
2005-10-31,249.134674
2005-11-01,250.037888
2005-11-02,246.312439
2005-11-03,254.752518
2005-11-04,248.665817
2005-11-05,-1.267651e+30
2005-11-06,245.92421
2005-11-07,247.521042
2005-11-08,256.421967
2005-11-09,253.287979
2005-11-10,251.778717
2005-11-11,250.017044
2005-11-12,256.232513
2005-11-13,252.326126
2005-11-14,251.352829
2005-11-15,252.596695
2005-11-16,248.234787
2005-11-17,253.043884
2005-11-18,249.515732
2005-11-19,255.358078
2005-11-20,248.073563
2005-11-21,252.304932
2005-11-22,248.574356
2005-11-23,249.183502
2005-11-24,253.022949
2005-11-25,251.066437
2005-11-26,253.67511
2005-11-27,248.153198
2005-11-28,253.488922
2005-11-29,252.60701
2005-11-30,256.355286
2005-12-01,256.25766
2005-12-02,252.984558
2005-12-03,253.992126
2005-12-04,250.597488
2005-12-05,261.56427
2005-12-06,260.174805
2005-12-07,-1.267651e+30
2005-12-08,254.103455
2005-12-09,253.971481
2005-12-10,260.463013
2005-12-11,257.994446
2005-12-12,261.998688
2005-12-13,248.959122
2005-12-14,258.127899
2005-12-15,258.24292
2005-12-16,259.943054
2005-12-17,263.872009
2005-12-18,255.981735
2005-12-19,260.05838
2005-12-20,259.09848
2005-12-21,258.470703
2005-12-22,254.463654
2005-12-23,253.479965
2005-12-24,255.094376
2005-12-25,255.488815
2005-12-26,256.330841
2005-12-27,255.859604
2005-12-28,255.424149
