Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"50,-48,53,-45"
Data Bounding Box:,"50.125,-47.875,52.875,-45.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=50,-48,53,-45&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2004-10-01,348.262939
2004-10-02,339.77829
2004-10-03,303.137939
2004-10-04,305.763763
2004-10-05,342.129242
2004-10-06,-1.267651e+30
2004-10-07,346.392853
2004-10-08,327.190704
2004-10-09,334.075653
2004-10-10,341.705566
2004-10-11,366.258942
2004-10-12,329.203827
2004-10-13,328.651123
2004-10-14,321.349365
2004-10-15,317.829803
2004-10-16,322.723389
2004-10-17,-1.267651e+30
2004-10-18,328.866943
2004-10-19,321.502563
2004-10-20,265.520355
2004-10-21,294.543427
2004-10-22,302.31076
2004-10-23,285.688141
2004-10-24,314.039978
2004-10-25,318.515747
2004-10-26,315.201294
2004-10-27,342.391754
2004-10-28,326.026642
2004-10-29,308.003143
2004-10-30,352.042206
2004-10-31,328.331177
2004-11-01,344.393951
2004-11-02,317.70462
2004-11-03,322.781708
2004-11-04,317.965607
2004-11-05,304.678802
2004-11-06,318.115417
2004-11-07,325.116516
2004-11-08,333.384064
2004-11-09,335.771118
2004-11-10,391.775665
2004-11-11,346.638245
2004-11-12,342.397949
2004-11-13,339.238586
2004-11-14,317.586975
2004-11-15,311.449158
2004-11-16,343.342377
2004-11-17,319.533478
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-11-20,-1.267651e+30
2004-11-21,-1.267651e+30
2004-11-22,-1.267651e+30
2004-11-23,-1.267651e+30
2004-11-24,-1.267651e+30
2004-12-02,293.896667
2004-12-03,308.965637
2004-12-04,295.018951
2004-12-05,301.953888
2004-12-06,274.204285
2004-12-07,282.977631
2004-12-08,271.040161
2004-12-09,304.920807
2004-12-10,292.785706
2004-12-11,317.1698
2004-12-12,281.33783
2004-12-13,279.743225
2004-12-14,271.911285
2004-12-15,284.823029
2004-12-16,331.591064
2004-12-17,286.292725
2004-12-18,288.130249
2004-12-19,299.634918
2004-12-20,-1.267651e+30
2004-12-21,317.045654
2004-12-22,315.121552
2004-12-23,301.295227
2004-12-24,318.296326
2004-12-25,274.709045
2004-12-26,268.062164
2004-12-27,266.426971
2004-12-28,285.852692
2004-12-29,293.539825
2004-12-30,268.587738
2004-12-31,274.681458
2005-01-01,313.035187
2005-01-02,302.405304
2005-01-03,298.549622
2005-01-04,289.986053
2005-01-05,276.993011
2005-01-06,274.157471
2005-01-07,271.870392
2005-01-08,258.497864
2005-01-09,266.761902
2005-01-10,301.768402
2005-01-11,296.654083
2005-01-12,315.525055
2005-01-13,337.786438
2005-01-14,306.406799
2005-01-15,293.890961
2005-01-16,323.955872
2005-01-17,295.367523
2005-01-18,304.26062
2005-01-19,294.834778
2005-01-20,290.077026
2005-01-21,-1.267651e+30
2005-01-22,274.543213
2005-01-23,285.267029
2005-01-24,314.793701
2005-01-25,319.654999
2005-01-26,334.738251
2005-01-27,334.499176
2005-01-28,319.771332
2005-01-29,331.840149
2005-01-30,284.180084
2005-01-31,270.58371
2005-02-01,270.563477
2005-02-02,280.889893
2005-02-03,283.227539
2005-02-04,261.068115
2005-02-05,295.396637
2005-02-06,299.7742
2005-02-07,277.283203
2005-02-08,270.676147
2005-02-09,291.140045
2005-02-10,278.424835
2005-02-11,271.501038
2005-02-12,302.472748
2005-02-13,276.413483
2005-02-14,279.539246
2005-02-15,269.30481
2005-02-16,325.418823
2005-02-17,287.544464
2005-02-18,260.350342
2005-02-19,262.02536
2005-02-20,257.890167
2005-02-21,278.292603
2005-02-22,-1.267651e+30
2005-02-23,268.684021
2005-02-24,266.326935
2005-02-25,261.261597
2005-02-26,272.231323
2005-02-27,278.938141
2005-02-28,283.650269
2005-03-01,272.351074
2005-03-02,302.565826
2005-03-03,299.919952
2005-03-04,270.258972
2005-03-05,295.384521
2005-03-06,262.62085
2005-03-07,259.015717
2005-03-08,267.736328
2005-03-09,265.911224
2005-03-10,256.897858
2005-03-11,267.239044
2005-03-12,277.521423
2005-03-13,275.768372
2005-03-14,289.046082
2005-03-15,286.32019
2005-03-16,263.727081
2005-03-17,256.458038
2005-03-18,244.728256
2005-03-19,248.261841
2005-03-20,251.181122
2005-03-21,250.404022
2005-03-22,257.700531
2005-03-23,262.52066
2005-03-24,255.380524
2005-03-25,268.804932
2005-03-26,-1.267651e+30
2005-03-27,245.943954
2005-03-28,238.750259
2005-03-29,258.845886
2005-03-30,275.272552
2005-03-31,274.248657
2005-04-01,304.067749
2005-04-02,321.592194
2005-04-03,292.624664
2005-04-04,298.627625
2005-04-05,278.016205
2005-04-06,269.249634
2005-04-07,253.900604
2005-04-08,253.599289
2005-04-09,258.884369
2005-04-10,280.52179
2005-04-11,283.704254
2005-04-12,253.617966
2005-04-13,259.759308
2005-04-14,265.116211
2005-04-15,237.919617
2005-04-16,223.844543
2005-04-17,227.747971
2005-04-18,231.149124
2005-04-19,244.557251
2005-04-20,240.084503
2005-04-21,219.642303
2005-04-22,242.767883
2005-04-23,272.341003
2005-04-24,258.55484
2005-04-25,267.263
2005-04-26,286.286774
2005-04-27,-1.267651e+30
2005-04-28,314.912354
2005-04-29,281.355438
2005-04-30,254.601349
2005-05-01,246.608994
2005-05-02,232.623672
2005-05-03,268.904205
2005-05-04,295.743195
2005-05-05,282.609802
2005-05-06,262.181427
2005-05-07,284.287262
2005-05-08,298.814789
2005-05-09,324.293457
2005-05-10,334.686737
2005-05-11,283.291382
2005-05-12,293.40097
2005-05-13,287.163391
2005-05-14,328.456848
2005-05-15,319.907715
2005-05-16,289.612427
2005-05-17,278.495392
2005-05-18,288.531677
2005-05-19,297.236847
2005-05-20,347.50354
2005-05-21,277.276398
2005-05-22,284.51413
2005-05-23,267.689117
2005-05-24,276.576477
2005-05-25,322.016357
2005-05-26,323.322571
2005-05-27,295.281189
2005-05-28,327.28064
2005-05-29,-1.267651e+30
2005-05-30,265.631348
2005-05-31,268.072479
2005-06-01,282.758698
2005-06-02,303.289917
2005-06-03,296.178314
2005-06-04,312.119232
2005-06-05,272.947998
2005-06-06,243.383957
2005-06-07,250.757416
2005-06-08,296.3992
2005-06-09,330.106689
2005-06-10,382.375732
2005-06-11,371.638367
2005-06-12,341.553223
2005-06-13,336.923767
2005-06-14,337.345001
2005-06-15,322.52301
2005-06-16,400.514221
2005-06-17,345.159729
2005-06-18,385.513763
2005-06-19,324.660828
2005-06-20,342.796967
2005-06-21,372.070129
2005-06-22,351.73822
2005-06-23,315.779877
2005-06-24,314.532532
2005-06-25,323.738373
2005-06-26,333.981506
2005-06-27,329.236115
2005-06-28,337.875977
2005-06-29,378.862793
2005-06-30,-1.267651e+30
2005-07-01,352.638336
2005-07-02,373.473145
2005-07-03,390.382294
2005-07-04,355.731171
2005-07-05,333.889801
2005-07-06,325.606415
2005-07-07,301.180267
2005-07-08,326.163574
2005-07-09,337.48642
2005-07-10,336.25
2005-07-11,349.639008
2005-07-12,285.905853
2005-07-13,277.629395
2005-07-14,301.165344
2005-07-15,364.619354
2005-07-16,388.058746
2005-07-17,349.807007
2005-07-18,308.95108
2005-07-19,302.578949
2005-07-20,320.312469
2005-07-21,319.043213
2005-07-22,323.468719
2005-07-23,346.823547
2005-07-24,353.717621
2005-07-25,367.857727
2005-07-26,383.053986
2005-07-27,400.505066
2005-07-28,377.597137
2005-07-29,314.512756
2005-07-30,329.09494
2005-07-31,374.363983
2005-08-01,-1.267651e+30
2005-08-02,362.268524
2005-08-03,353.444794
2005-08-04,383.687683
2005-08-05,358.172272
2005-08-06,324.952423
2005-08-07,317.095184
2005-08-08,360.541473
2005-08-09,308.507904
2005-08-10,301.236511
2005-08-11,344.057037
2005-08-12,359.111694
2005-08-13,351.959778
2005-08-14,315.042908
2005-08-15,337.948364
2005-08-16,387.149078
2005-08-17,345.12204
2005-08-18,350.381226
2005-08-19,406.098022
2005-08-20,388.722931
2005-08-21,407.226074
2005-08-22,382.195374
2005-08-23,344.450134
2005-08-24,334.162292
2005-08-25,354.722839
2005-08-26,361.422577
2005-08-27,342.843353
2005-08-28,408.030426
2005-08-29,393.06488
2005-08-30,358.793976
2005-08-31,397.397247
2005-09-01,356.969635
2005-09-02,-1.267651e+30
2005-09-03,323.255981
2005-09-04,319.692596
2005-09-05,319.753174
2005-09-06,340.081787
2005-09-07,387.099182
2005-09-08,358.517883
2005-09-09,360.923248
2005-09-10,364.097229
2005-09-11,393.344055
2005-09-12,380.607819
2005-09-13,418.745819
2005-09-14,346.091431
2005-09-15,332.024719
2005-09-16,349.242615
2005-09-17,335.470093
2005-09-18,366.138062
2005-09-19,398.261353
2005-09-20,367.789856
2005-09-21,351.152863
2005-09-22,363.970856
2005-09-23,349.006866
2005-09-24,355.989899
2005-09-25,329.635864
2005-09-26,342.35434
2005-09-27,347.036591
2005-09-28,358.402466
2005-09-29,329.753448
2005-09-30,308.876709
2005-10-01,323.124481
2005-10-02,307.8237
2005-10-03,334.60791
2005-10-04,-1.267651e+30
2005-10-05,356.188538
2005-10-06,379.632965
2005-10-07,347.932953
2005-10-08,334.137024
2005-10-09,327.109192
2005-10-10,347.365051
2005-10-11,337.819427
2005-10-12,326.41806
2005-10-13,333.396942
2005-10-14,372.731567
2005-10-15,391.073669
2005-10-16,349.64978
2005-10-17,340.473907
2005-10-18,306.224243
2005-10-19,312.667053
2005-10-20,342.011597
2005-10-21,330.440552
2005-10-22,345.306763
2005-10-23,353.185272
2005-10-24,332.032623
2005-10-25,336.855438
2005-10-26,381.954224
2005-10-27,340.073212
2005-10-28,336.796631
2005-10-29,396.541046
2005-10-30,356.256653
2005-10-31,354.156281
2005-11-01,330.252869
2005-11-02,338.492096
2005-11-03,324.786774
2005-11-04,365.465179
2005-11-05,-1.267651e+30
2005-11-06,357.489868
2005-11-07,351.24057
2005-11-08,318.209167
2005-11-09,324.610748
2005-11-10,338.417114
2005-11-11,316.144806
2005-11-12,345.126007
2005-11-13,304.949982
2005-11-14,294.93335
2005-11-15,314.988342
2005-11-16,333.903748
2005-11-17,329.182281
2005-11-18,322.435089
2005-11-19,311.733673
2005-11-20,300.368927
2005-11-21,304.846039
2005-11-22,301.004303
2005-11-23,322.149536
2005-11-24,298.32724
2005-11-25,299.812988
2005-11-26,284.747162
2005-11-27,311.263397
2005-11-28,341.008148
2005-11-29,301.329773
2005-11-30,281.777496
2005-12-01,284.308136
2005-12-02,305.617279
2005-12-03,343.774261
2005-12-04,332.793884
2005-12-05,339.668945
2005-12-06,332.148468
2005-12-07,-1.267651e+30
2005-12-08,322.347626
2005-12-09,353.236938
2005-12-10,292.469391
2005-12-11,329.346527
2005-12-12,329.98465
2005-12-13,332.576202
2005-12-14,348.933258
2005-12-15,318.581757
2005-12-16,290.844513
2005-12-17,278.224335
2005-12-18,320.792938
2005-12-19,305.002167
2005-12-20,299.710907
2005-12-21,340.475342
2005-12-22,317.469513
2005-12-23,308.139679
2005-12-24,314.307953
