Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"7,45,10,48"
Data Bounding Box:,"7.125,45.125,9.875,47.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=7,45,10,48&data=OMDOAO3e_003_ColumnAmountO3&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2004-10-01,274.854095
2004-10-02,258.504425
2004-10-03,250.037674
2004-10-04,249.827759
2004-10-05,253.660828
2004-10-06,-1.267651e+30
2004-10-07,259.3992
2004-10-08,254.76004
2004-10-09,254.267868
2004-10-10,269.324127
2004-10-11,283.520905
2004-10-12,284.006348
2004-10-13,293.47168
2004-10-14,321.411316
2004-10-15,311.412109
2004-10-16,332.905914
2004-10-17,-1.267651e+30
2004-10-18,291.845306
2004-10-19,275.189941
2004-10-20,268.211334
2004-10-21,269.503479
2004-10-22,269.884186
2004-10-23,274.593475
2004-10-24,275.779999
2004-10-25,275.225464
2004-10-26,284.248505
2004-10-27,293.884338
2004-10-28,291.348053
2004-10-29,292.120056
2004-10-30,294.789154
2004-10-31,285.227875
2004-11-01,267.03302
2004-11-02,273.4263
2004-11-03,275.355072
2004-11-04,256.278931
2004-11-05,259.662231
2004-11-06,259.955841
2004-11-07,296.240509
2004-11-08,303.133667
2004-11-09,314.074127
2004-11-10,304.880768
2004-11-11,306.436554
2004-11-12,290.230133
2004-11-13,300.851471
2004-11-14,316.962769
2004-11-15,296.361664
2004-11-16,261.521301
2004-11-17,261.805817
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-11-20,-1.267651e+30
2004-11-21,-1.267651e+30
2004-11-22,-1.267651e+30
2004-11-23,-1.267651e+30
2004-11-24,-1.267651e+30
2004-12-02,309.421173
2004-12-03,306.418243
2004-12-04,309.155731
2004-12-05,298.995361
2004-12-06,306.954834
2004-12-07,292.756836
2004-12-08,281.796631
2004-12-09,301.833374
2004-12-10,308.720245
2004-12-11,302.675812
2004-12-12,299.199493
2004-12-13,295.878357
2004-12-14,287.905823
2004-12-15,301.087891
2004-12-16,272.890045
2004-12-17,272.231842
2004-12-18,266.635803
2004-12-19,262.092438
2004-12-20,-1.267651e+30
2004-12-21,289.125824
2004-12-22,324.929504
2004-12-23,270.072906
2004-12-24,250.574493
2004-12-25,265.820892
2004-12-26,325.488556
2004-12-27,337.245514
2004-12-28,342.560852
2004-12-29,405.089722
2004-12-30,296.114807
2004-12-31,256.506744
2005-01-01,265.128143
2005-01-02,275.945465
2005-01-03,278.748779
2005-01-04,255.540451
2005-01-05,251.919312
2005-01-06,273.057831
2005-01-07,244.756393
2005-01-08,264.943695
2005-01-09,271.036987
2005-01-10,267.087067
2005-01-11,294.673676
2005-01-12,300.968964
2005-01-13,315.794678
2005-01-14,313.41275
2005-01-15,292.32254
2005-01-16,297.965576
2005-01-17,350.983459
2005-01-18,324.979736
2005-01-19,398.667053
2005-01-20,317.082245
2005-01-21,-1.267651e+30
2005-01-22,357.725037
2005-01-23,374.741211
2005-01-24,410.124878
2005-01-25,441.59491
2005-01-26,448.226837
2005-01-27,431.314423
2005-01-28,349.050323
2005-01-29,335.009338
2005-01-30,321.045013
2005-01-31,282.58844
2005-02-01,301.750946
2005-02-02,309.243286
2005-02-03,265.175171
2005-02-04,285.48587
2005-02-05,313.098877
2005-02-06,317.627319
2005-02-07,348.489532
2005-02-08,358.087158
2005-02-09,385.567932
2005-02-10,353.064148
2005-02-11,321.817017
2005-02-12,308.963409
2005-02-13,367.222931
2005-02-14,423.6745
2005-02-15,441.121368
2005-02-16,415.203156
2005-02-17,409.388733
2005-02-18,349.324005
2005-02-19,380.936432
2005-02-20,391.959625
2005-02-21,409.688507
2005-02-22,-1.267651e+30
2005-02-23,422.83493
2005-02-24,390.940948
2005-02-25,377.714172
2005-02-26,379.718567
2005-02-27,359.191315
2005-02-28,345.739288
2005-03-01,316.585785
2005-03-02,356.124664
2005-03-03,418.277466
2005-03-04,445.638275
2005-03-05,433.540405
2005-03-06,425.884705
2005-03-07,412.274597
2005-03-08,395.016907
2005-03-09,378.907654
2005-03-10,386.246796
2005-03-11,357.689209
2005-03-12,356.523865
2005-03-13,356.340332
2005-03-14,318.786255
2005-03-15,330.789642
2005-03-16,307.17395
2005-03-17,322.535461
2005-03-18,291.464905
2005-03-19,261.692719
2005-03-20,253.596893
2005-03-21,286.630066
2005-03-22,278.386566
2005-03-23,308.306335
2005-03-24,317.04718
2005-03-25,348.036407
2005-03-26,-1.267651e+30
2005-03-27,369.673279
2005-03-28,372.165924
2005-03-29,354.869171
2005-03-30,354.837555
2005-03-31,374.734009
2005-04-01,383.393066
2005-04-02,359.712891
2005-04-03,375.666382
2005-04-04,369.897217
2005-04-05,350.818329
2005-04-06,328.325012
2005-04-07,347.254028
2005-04-08,366.125916
2005-04-09,407.90332
2005-04-10,365.316833
2005-04-11,336.176849
2005-04-12,336.339447
2005-04-13,339.598297
2005-04-14,343.283905
2005-04-15,390.92569
2005-04-16,410.572235
2005-04-17,437.547913
2005-04-18,383.415619
2005-04-19,401.546875
2005-04-20,404.437134
2005-04-21,410.935883
2005-04-22,379.982941
2005-04-23,352.342804
2005-04-24,345.807251
2005-04-25,386.541199
2005-04-26,358.623138
2005-04-27,-1.267651e+30
2005-04-28,325.697968
2005-04-29,324.198669
2005-04-30,308.006256
2005-05-01,302.578094
2005-05-02,292.013275
2005-05-03,317.345215
2005-05-04,343.623169
2005-05-05,386.78656
2005-05-06,361.64505
2005-05-07,358.874573
2005-05-08,355.405457
2005-05-09,359.376556
2005-05-10,353.658447
2005-05-11,355.134827
2005-05-12,346.827728
2005-05-13,347.676666
2005-05-14,350.848816
2005-05-15,338.194244
2005-05-16,358.851746
2005-05-17,367.017822
2005-05-18,377.062042
2005-05-19,353.907654
2005-05-20,330.154755
2005-05-21,323.178009
2005-05-22,333.883728
2005-05-23,352.424377
2005-05-24,325.604004
2005-05-25,319.364716
2005-05-26,311.512238
2005-05-27,302.887299
2005-05-28,314.641754
2005-05-29,-1.267651e+30
2005-05-30,309.654236
2005-05-31,329.109467
2005-06-01,335.795166
2005-06-02,337.371185
2005-06-03,320.343872
2005-06-04,342.629669
2005-06-05,319.012939
2005-06-06,355.38736
2005-06-07,364.624969
2005-06-08,371.078552
2005-06-09,383.722626
2005-06-10,351.505219
2005-06-11,346.401245
2005-06-12,355.646545
2005-06-13,343.47995
2005-06-14,338.897888
2005-06-15,332.018158
2005-06-16,321.778595
2005-06-17,311.110565
2005-06-18,310.604492
2005-06-19,310.678955
2005-06-20,311.235138
2005-06-21,306.30368
2005-06-22,313.604492
2005-06-23,309.28656
2005-06-24,308.017426
2005-06-25,314.168457
2005-06-26,305.670898
2005-06-27,293.714386
2005-06-28,281.237579
2005-06-29,297.148956
2005-06-30,-1.267651e+30
2005-07-01,341.187805
2005-07-02,302.687134
2005-07-03,314.792633
2005-07-04,312.905273
2005-07-05,331.939789
2005-07-06,334.272797
2005-07-07,339.911285
2005-07-08,350.090363
2005-07-09,354.19635
2005-07-10,348.998108
2005-07-11,340.029572
2005-07-12,339.858185
2005-07-13,333.308929
2005-07-14,313.478119
2005-07-15,307.872986
2005-07-16,305.152191
2005-07-17,307.338959
2005-07-18,289.043854
2005-07-19,313.874634
2005-07-20,310.950958
2005-07-21,321.381866
2005-07-22,334.074219
2005-07-23,318.910278
2005-07-24,317.8862
2005-07-25,315.429657
2005-07-26,310.657562
2005-07-27,301.903229
2005-07-28,296.161896
2005-07-29,282.193024
2005-07-30,294.418671
2005-07-31,315.069763
2005-08-01,-1.267651e+30
2005-08-02,317.530396
2005-08-03,312.356018
2005-08-04,326.431519
2005-08-05,295.371033
2005-08-06,304.360596
2005-08-07,317.044434
2005-08-08,314.126068
2005-08-09,324.929138
2005-08-10,309.791016
2005-08-11,303.828125
2005-08-12,306.550873
2005-08-13,318.784515
2005-08-14,328.184845
2005-08-15,337.402649
2005-08-16,318.313843
2005-08-17,304.633942
2005-08-18,311.039917
2005-08-19,301.473419
2005-08-20,326.647522
2005-08-21,315.030945
2005-08-22,317.004761
2005-08-23,309.394745
2005-08-24,307.17395
2005-08-25,294.204041
2005-08-26,300.217133
2005-08-27,306.963867
2005-08-28,309.134766
2005-08-29,288.705597
2005-08-30,286.268799
2005-08-31,278.906219
2005-09-01,280.324615
2005-09-02,-1.267651e+30
2005-09-03,300.924255
2005-09-04,299.923615
2005-09-05,307.553955
2005-09-06,304.317627
2005-09-07,302.527771
2005-09-08,301.425018
2005-09-09,296.881958
2005-09-10,294.389954
2005-09-11,297.535645
2005-09-12,304.370239
2005-09-13,292.709015
2005-09-14,284.623413
2005-09-15,277.256866
2005-09-16,274.782623
2005-09-17,289.729797
2005-09-18,296.730377
2005-09-19,294.524078
2005-09-20,288.471069
2005-09-21,271.044403
2005-09-22,273.909912
2005-09-23,269.91391
2005-09-24,266.603882
2005-09-25,270.933105
2005-09-26,287.348724
2005-09-27,260.553223
2005-09-28,276.323456
2005-09-29,283.229004
2005-09-30,267.432983
2005-10-01,268.84903
2005-10-02,306.312744
2005-10-03,307.247345
2005-10-04,-1.267651e+30
2005-10-05,303.388763
2005-10-06,295.903839
2005-10-07,309.764893
2005-10-08,300.713379
2005-10-09,276.297852
2005-10-10,282.09903
2005-10-11,288.314026
2005-10-12,294.668884
2005-10-13,272.812164
2005-10-14,272.502472
2005-10-15,269.976807
2005-10-16,274.601501
2005-10-17,278.41452
2005-10-18,265.684174
2005-10-19,262.198975
2005-10-20,266.797607
2005-10-21,254.148697
2005-10-22,262.296417
2005-10-23,276.91568
2005-10-24,259.998322
2005-10-25,256.617767
2005-10-26,271.069427
2005-10-27,262.523804
2005-10-28,262.490967
2005-10-29,264.686127
2005-10-30,258.509064
2005-10-31,239.340683
2005-11-01,269.75705
2005-11-02,247.833527
2005-11-03,256.996368
2005-11-04,259.733002
2005-11-05,-1.267651e+30
2005-11-06,272.540924
2005-11-07,264.574677
2005-11-08,245.765533
2005-11-09,240.603897
2005-11-10,268.747131
2005-11-11,271.080414
2005-11-12,296.664276
2005-11-13,288.867157
2005-11-14,287.833466
2005-11-15,308.240295
2005-11-16,292.708649
2005-11-17,289.92807
2005-11-18,301.121735
2005-11-19,304.14267
2005-11-20,311.457214
2005-11-21,315.762421
2005-11-22,340.733276
2005-11-23,325.37915
2005-11-24,308.636047
2005-11-25,302.166931
2005-11-26,315.903839
2005-11-27,344.655182
2005-11-28,315.79776
2005-11-29,315.451508
2005-11-30,307.346771
2005-12-01,290.579315
2005-12-02,301.017822
2005-12-03,346.05246
2005-12-04,319.357147
2005-12-05,319.50119
2005-12-06,315.765656
2005-12-07,-1.267651e+30
2005-12-08,310.105957
2005-12-09,306.91333
2005-12-10,292.804596
2005-12-11,292.483337
2005-12-12,302.314941
2005-12-13,303.18335
2005-12-14,291.2742
2005-12-15,278.451202
2005-12-16,275.596558
2005-12-17,336.948395
2005-12-18,306.697418
2005-12-19,282.730499
2005-12-20,278.372406
2005-12-21,292.673859
2005-12-22,337.547699
2005-12-23,346.070953
2005-12-24,332.936249
2005-12-25,326.015045
2005-12-26,355.998291
2005-12-27,372.760284
2005-12-28,355.633514
2005-12-29,401.31073
