Title:,"Time Series, Area-Averaged of UV Index (Local Noon) daily 1 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"120,-76,123,-73"
Data Bounding Box:,"120.5,-75.5,122.5,-73.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=120,-76,123,-73&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (OMUVBd_003_UVindex):, -1.267651e+30

time, OMUVBd_003_UVindex
2004-10-01,2.00217199
2004-10-02,1.55822134
2004-10-03,1.7331804
2004-10-04,2.08129501
2004-10-05,1.63971138
2004-10-06,1.62587678
2004-10-07,1.46909797
2004-10-08,1.37342298
2004-10-09,1.32314897
2004-10-10,1.40571117
2004-10-11,1.55204332
2004-10-12,1.68032169
2004-10-13,2.35367012
2004-10-14,2.80916572
2004-10-15,2.15549827
2004-10-16,1.89663982
2004-10-17,-1.267651e+30
2004-10-18,2.22526312
2004-10-19,2.3032949
2004-10-20,2.60658598
2004-10-21,3.1096077
2004-10-22,4.08262777
2004-10-23,4.87674856
2004-10-24,5.35891151
2004-10-25,5.54077053
2004-10-26,5.95466709
2004-10-27,5.76553774
2004-10-28,5.38695049
2004-10-29,5.82080936
2004-10-30,6.60427284
2004-10-31,6.9858098
2004-11-01,7.17139387
2004-11-02,7.58831406
2004-11-03,7.53753328
2004-11-04,7.27458096
2004-11-05,6.75531816
2004-11-06,5.66211987
2004-11-07,4.83647776
2004-11-08,3.62805629
2004-11-09,3.90694952
2004-11-10,4.49260139
2004-11-11,5.77087927
2004-11-12,4.26418543
2004-11-13,4.11192417
2004-11-14,4.02074385
2004-11-15,4.01061773
2004-11-16,4.17269516
2004-11-17,4.29890156
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-12-01,-1.267651e+30
2004-12-02,5.37037277
2004-12-03,5.25855732
2004-12-04,5.33193064
2004-12-05,5.41250801
2004-12-06,5.71356821
2004-12-07,5.86382389
2004-12-08,5.65058422
2004-12-09,5.75751162
2004-12-10,6.14843178
2004-12-11,6.41800499
2004-12-12,6.85813522
2004-12-13,7.21819305
2004-12-14,6.70134401
2004-12-15,6.84597445
2004-12-16,6.54253149
2004-12-17,6.36982632
2004-12-18,6.2654748
2004-12-19,6.34078455
2004-12-20,-1.267651e+30
2004-12-21,6.58870077
2004-12-22,7.04721689
2004-12-23,6.7791152
2004-12-24,6.98683214
2004-12-25,7.04100943
2004-12-26,6.96669006
2004-12-27,6.95316124
2004-12-28,6.76240635
2004-12-29,6.70716476
2004-12-30,6.68693495
2004-12-31,6.91094398
2005-01-01,7.07957506
2005-01-02,6.90135908
2005-01-03,6.90168142
2005-01-04,6.86874437
2005-01-05,6.73680115
2005-01-06,6.68295431
2005-01-07,6.67499447
2005-01-08,6.63868713
2005-01-09,6.71998405
2005-01-10,6.85146809
2005-01-11,6.70499611
2005-01-12,6.71724796
2005-01-13,6.71772432
2005-01-14,6.50713253
2005-01-15,6.35289669
2005-01-16,6.21144152
2005-01-17,6.5697341
2005-01-18,6.37202692
2005-01-19,6.20555305
2005-01-20,6.12015295
2005-01-21,-1.267651e+30
2005-01-22,5.5868454
2005-01-23,5.32583475
2005-01-24,5.25163746
2005-01-25,5.19369602
2005-01-26,5.09171772
2005-01-27,5.03083086
2005-01-28,4.97171926
2005-01-29,4.95661497
2005-01-30,4.86123514
2005-01-31,4.60678816
2005-02-01,4.45308971
2005-02-02,4.32392168
2005-02-03,4.1829257
2005-02-04,4.22184467
2005-02-05,4.4025588
2005-02-06,4.72034359
2005-02-07,4.73402309
2005-02-08,4.5182972
2005-02-09,4.71449804
2005-02-10,4.87925959
2005-02-11,4.55755043
2005-02-12,4.16637039
2005-02-13,3.84071493
2005-02-14,3.76674843
2005-02-15,3.62114429
2005-02-16,3.53184032
2005-02-17,3.31301498
2005-02-18,3.20766258
2005-02-19,3.05443025
2005-02-20,2.92133546
2005-02-21,2.84330535
2005-02-22,-1.267651e+30
2005-02-23,2.74461365
2005-02-24,2.65323615
2005-02-25,2.60670137
2005-02-26,2.52201128
2005-02-27,2.42692661
2005-02-28,2.25631142
2005-03-01,2.19282603
2005-03-02,2.04851556
2005-03-03,1.98510027
2005-03-04,1.90233541
2005-03-05,1.94381118
2005-03-06,1.85562897
2005-03-07,1.81332684
2005-03-08,1.81219506
2005-03-09,1.73086941
2005-03-10,1.59839928
2005-03-11,1.52462173
2005-03-12,1.63504398
2005-03-13,1.51131189
2005-03-14,1.37154567
2005-03-15,1.28074217
2005-03-16,1.21633041
2005-03-17,1.13178039
2005-03-18,1.11494529
2005-03-19,1.1741184
2005-03-20,1.10126996
2005-03-21,1.0069499
2005-03-22,1.08500743
2005-03-23,1.07750404
2005-03-24,0.951016247
2005-03-25,0.866520107
2005-03-26,-1.267651e+30
2005-03-27,0.741580367
2005-03-28,0.70461005
2005-03-29,0.633096039
2005-03-30,0.587352037
2005-03-31,0.534395695
2005-04-01,0.515196145
2005-04-02,0.5048877
2005-04-03,0.476465553
2005-04-04,0.423094988
2005-04-05,0.387383103
2005-04-06,0.357661903
2005-04-07,0.364577353
2005-04-08,0.341988593
2005-04-09,0.339873016
2005-04-10,0.311160684
2005-04-11,0.303683013
2005-04-12,0.286355823
2005-04-13,0.298339069
2005-04-14,0.234467655
2005-04-15,0.28027752
2005-04-16,-1.267651e+30
2005-04-17,0.200000018
2005-04-18,-1.267651e+30
2005-04-19,-1.267651e+30
2005-04-20,-1.267651e+30
2005-04-21,-1.267651e+30
2005-04-22,-1.267651e+30
2005-04-23,-1.267651e+30
2005-04-24,-1.267651e+30
2005-04-25,-1.267651e+30
2005-04-26,-1.267651e+30
2005-04-27,-1.267651e+30
2005-04-28,-1.267651e+30
2005-04-29,-1.267651e+30
2005-04-30,-1.267651e+30
2005-05-01,-1.267651e+30
2005-05-02,-1.267651e+30
2005-05-03,-1.267651e+30
2005-05-04,-1.267651e+30
2005-05-05,-1.267651e+30
2005-05-06,-1.267651e+30
2005-05-07,-1.267651e+30
2005-05-08,-1.267651e+30
2005-05-09,-1.267651e+30
2005-05-10,-1.267651e+30
2005-05-11,-1.267651e+30
2005-05-12,-1.267651e+30
2005-05-13,-1.267651e+30
2005-05-14,-1.267651e+30
2005-05-15,-1.267651e+30
2005-05-16,-1.267651e+30
2005-05-17,-1.267651e+30
2005-05-18,-1.267651e+30
2005-05-19,-1.267651e+30
2005-05-20,-1.267651e+30
2005-05-21,-1.267651e+30
2005-05-22,-1.267651e+30
2005-05-23,-1.267651e+30
2005-05-24,-1.267651e+30
2005-05-25,-1.267651e+30
2005-05-26,-1.267651e+30
2005-05-27,-1.267651e+30
2005-05-28,-1.267651e+30
2005-05-29,-1.267651e+30
2005-05-30,-1.267651e+30
2005-05-31,-1.267651e+30
2005-06-01,-1.267651e+30
2005-06-02,-1.267651e+30
2005-06-03,-1.267651e+30
2005-06-04,-1.267651e+30
2005-06-05,-1.267651e+30
2005-06-06,-1.267651e+30
2005-06-07,-1.267651e+30
2005-06-08,-1.267651e+30
2005-06-09,-1.267651e+30
2005-06-10,-1.267651e+30
2005-06-11,-1.267651e+30
2005-06-12,-1.267651e+30
2005-06-13,-1.267651e+30
2005-06-14,-1.267651e+30
2005-06-15,-1.267651e+30
2005-06-16,-1.267651e+30
2005-06-17,-1.267651e+30
2005-06-18,-1.267651e+30
2005-06-19,-1.267651e+30
2005-06-20,-1.267651e+30
2005-06-21,-1.267651e+30
2005-06-22,-1.267651e+30
2005-06-23,-1.267651e+30
2005-06-24,-1.267651e+30
2005-06-25,-1.267651e+30
2005-06-26,-1.267651e+30
2005-06-27,-1.267651e+30
2005-06-28,-1.267651e+30
2005-06-29,-1.267651e+30
2005-06-30,-1.267651e+30
2005-07-01,-1.267651e+30
2005-07-02,-1.267651e+30
2005-07-03,-1.267651e+30
2005-07-04,-1.267651e+30
2005-07-05,-1.267651e+30
2005-07-06,-1.267651e+30
2005-07-07,-1.267651e+30
2005-07-08,-1.267651e+30
2005-07-09,-1.267651e+30
2005-07-10,-1.267651e+30
2005-07-11,-1.267651e+30
2005-07-12,-1.267651e+30
2005-07-13,-1.267651e+30
2005-07-14,-1.267651e+30
2005-07-15,-1.267651e+30
2005-07-16,-1.267651e+30
2005-07-17,-1.267651e+30
2005-07-18,-1.267651e+30
2005-07-19,-1.267651e+30
2005-07-20,-1.267651e+30
2005-07-21,-1.267651e+30
2005-07-22,-1.267651e+30
2005-07-23,-1.267651e+30
2005-07-24,-1.267651e+30
2005-07-25,-1.267651e+30
2005-07-26,-1.267651e+30
2005-07-27,-1.267651e+30
2005-07-28,-1.267651e+30
2005-07-29,-1.267651e+30
2005-07-30,-1.267651e+30
2005-07-31,-1.267651e+30
2005-08-01,-1.267651e+30
2005-08-02,-1.267651e+30
2005-08-03,-1.267651e+30
2005-08-04,-1.267651e+30
2005-08-05,-1.267651e+30
2005-08-06,-1.267651e+30
2005-08-07,-1.267651e+30
2005-08-08,-1.267651e+30
2005-08-09,-1.267651e+30
2005-08-10,-1.267651e+30
2005-08-11,-1.267651e+30
2005-08-12,-1.267651e+30
2005-08-13,-1.267651e+30
2005-08-14,-1.267651e+30
2005-08-15,-1.267651e+30
2005-08-16,-1.267651e+30
2005-08-17,-1.267651e+30
2005-08-18,-1.267651e+30
2005-08-19,-1.267651e+30
2005-08-20,-1.267651e+30
2005-08-21,-1.267651e+30
2005-08-22,-1.267651e+30
2005-08-23,-1.267651e+30
2005-08-24,-1.267651e+30
2005-08-25,0.199999988
2005-08-26,-1.267651e+30
2005-08-27,0.238372266
2005-08-28,0.226773232
2005-08-29,0.199999988
2005-08-30,0.316191465
2005-08-31,0.369773924
2005-09-01,0.29792285
2005-09-02,-1.267651e+30
2005-09-03,0.350449592
2005-09-04,0.383501798
2005-09-05,0.406722724
2005-09-06,0.403922707
2005-09-07,0.430235595
2005-09-08,0.427245528
2005-09-09,0.578680634
2005-09-10,0.549872994
2005-09-11,0.617842436
2005-09-12,0.509127676
2005-09-13,0.506451905
2005-09-14,0.455459207
2005-09-15,0.815059304
2005-09-16,0.9843027
2005-09-17,1.29427218
2005-09-18,1.36044681
2005-09-19,1.49115491
2005-09-20,1.14697516
2005-09-21,0.943998814
2005-09-22,0.797221839
2005-09-23,1.02760255
2005-09-24,1.25445914
2005-09-25,1.2142837
2005-09-26,1.43664038
2005-09-27,1.5969609
2005-09-28,1.80038393
2005-09-29,2.10395312
2005-09-30,2.12331247
2005-10-01,2.09393907
2005-10-02,2.18197393
2005-10-03,2.04707217
2005-10-04,-1.267651e+30
2005-10-05,2.62141705
2005-10-06,1.3239162
2005-10-07,1.41422057
2005-10-08,1.55272353
2005-10-09,1.61893451
2005-10-10,2.31181693
2005-10-11,3.54405093
2005-10-12,3.84201884
2005-10-13,2.35454202
2005-10-14,2.4916935
2005-10-15,2.74636459
2005-10-16,2.44970584
2005-10-17,2.571594
2005-10-18,3.2668643
2005-10-19,4.24219322
2005-10-20,5.26399279
2005-10-21,5.18993235
2005-10-22,4.17709541
2005-10-23,3.57478333
2005-10-24,3.07207632
2005-10-25,2.46323991
2005-10-26,2.23519135
2005-10-27,2.33067036
2005-10-28,3.46573949
2005-10-29,3.79418945
2005-10-30,3.6163826
2005-10-31,4.1832819
