Title:,"Time Series, Area-Averaged of UV Index (Local Noon) daily 1 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"17,77,20,80"
Data Bounding Box:,"17.5,77.5,19.5,79.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=17,77,20,80&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (OMUVBd_003_UVindex):, -1.267651e+30

time, OMUVBd_003_UVindex
2004-10-01,0.185798377
2004-10-02,0.20980525
2004-10-03,0.153972283
2004-10-04,0.118353404
2004-10-05,0.0996557251
2004-10-06,-1.267651e+30
2004-10-07,0.120469332
2004-10-08,0.115961805
2004-10-09,0.101317555
2004-10-10,0.0933564454
2004-10-11,-1.267651e+30
2004-10-12,-1.267651e+30
2004-10-13,-1.267651e+30
2004-10-14,-1.267651e+30
2004-10-15,-1.267651e+30
2004-10-16,-1.267651e+30
2004-10-17,-1.267651e+30
2004-10-18,-1.267651e+30
2004-10-19,-1.267651e+30
2004-10-20,-1.267651e+30
2004-10-21,-1.267651e+30
2004-10-22,-1.267651e+30
2004-10-23,-1.267651e+30
2004-10-24,-1.267651e+30
2004-10-25,-1.267651e+30
2004-10-26,-1.267651e+30
2004-10-27,-1.267651e+30
2004-10-28,-1.267651e+30
2004-10-29,-1.267651e+30
2004-10-30,-1.267651e+30
2004-10-31,-1.267651e+30
2004-11-01,-1.267651e+30
2004-11-02,-1.267651e+30
2004-11-03,-1.267651e+30
2004-11-04,-1.267651e+30
2004-11-05,-1.267651e+30
2004-11-06,-1.267651e+30
2004-11-07,-1.267651e+30
2004-11-08,-1.267651e+30
2004-11-09,-1.267651e+30
2004-11-10,-1.267651e+30
2004-11-11,-1.267651e+30
2004-11-12,-1.267651e+30
2004-11-13,-1.267651e+30
2004-11-14,-1.267651e+30
2004-11-15,-1.267651e+30
2004-11-16,-1.267651e+30
2004-11-17,-1.267651e+30
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-12-01,-1.267651e+30
2004-12-02,-1.267651e+30
2004-12-03,-1.267651e+30
2004-12-04,-1.267651e+30
2004-12-05,-1.267651e+30
2004-12-06,-1.267651e+30
2004-12-07,-1.267651e+30
2004-12-08,-1.267651e+30
2004-12-09,-1.267651e+30
2004-12-10,-1.267651e+30
2004-12-11,-1.267651e+30
2004-12-12,-1.267651e+30
2004-12-13,-1.267651e+30
2004-12-14,-1.267651e+30
2004-12-15,-1.267651e+30
2004-12-16,-1.267651e+30
2004-12-17,-1.267651e+30
2004-12-18,-1.267651e+30
2004-12-19,-1.267651e+30
2004-12-20,-1.267651e+30
2004-12-21,-1.267651e+30
2004-12-22,-1.267651e+30
2004-12-23,-1.267651e+30
2004-12-24,-1.267651e+30
2004-12-25,-1.267651e+30
2004-12-26,-1.267651e+30
2004-12-27,-1.267651e+30
2004-12-28,-1.267651e+30
2004-12-29,-1.267651e+30
2004-12-30,-1.267651e+30
2004-12-31,-1.267651e+30
2005-01-01,-1.267651e+30
2005-01-02,-1.267651e+30
2005-01-03,-1.267651e+30
2005-01-04,-1.267651e+30
2005-01-05,-1.267651e+30
2005-01-06,-1.267651e+30
2005-01-07,-1.267651e+30
2005-01-08,-1.267651e+30
2005-01-09,-1.267651e+30
2005-01-10,-1.267651e+30
2005-01-11,-1.267651e+30
2005-01-12,-1.267651e+30
2005-01-13,-1.267651e+30
2005-01-14,-1.267651e+30
2005-01-15,-1.267651e+30
2005-01-16,-1.267651e+30
2005-01-17,-1.267651e+30
2005-01-18,-1.267651e+30
2005-01-19,-1.267651e+30
2005-01-20,-1.267651e+30
2005-01-21,-1.267651e+30
2005-01-22,-1.267651e+30
2005-01-23,-1.267651e+30
2005-01-24,-1.267651e+30
2005-01-25,-1.267651e+30
2005-01-26,-1.267651e+30
2005-01-27,-1.267651e+30
2005-01-28,-1.267651e+30
2005-01-29,-1.267651e+30
2005-01-30,-1.267651e+30
2005-01-31,-1.267651e+30
2005-02-01,-1.267651e+30
2005-02-02,-1.267651e+30
2005-02-03,-1.267651e+30
2005-02-04,-1.267651e+30
2005-02-05,-1.267651e+30
2005-02-06,-1.267651e+30
2005-02-07,-1.267651e+30
2005-02-08,-1.267651e+30
2005-02-09,-1.267651e+30
2005-02-10,-1.267651e+30
2005-02-11,-1.267651e+30
2005-02-12,-1.267651e+30
2005-02-13,-1.267651e+30
2005-02-14,-1.267651e+30
2005-02-15,-1.267651e+30
2005-02-16,-1.267651e+30
2005-02-17,-1.267651e+30
2005-02-18,-1.267651e+30
2005-02-19,-1.267651e+30
2005-02-20,-1.267651e+30
2005-02-21,-1.267651e+30
2005-02-22,-1.267651e+30
2005-02-23,-1.267651e+30
2005-02-24,-1.267651e+30
2005-02-25,-1.267651e+30
2005-02-26,-1.267651e+30
2005-02-27,-1.267651e+30
2005-02-28,-1.267651e+30
2005-03-01,-1.267651e+30
2005-03-02,-1.267651e+30
2005-03-03,0.068923384
2005-03-04,0.0633634105
2005-03-05,0.200000003
2005-03-06,0.137150332
2005-03-07,0.0852273777
2005-03-08,0.200000003
2005-03-09,0.104446165
2005-03-10,0.180209413
2005-03-11,0.128162846
2005-03-12,0.157373786
2005-03-13,0.172987252
2005-03-14,0.176377833
2005-03-15,0.199955478
2005-03-16,0.209814489
2005-03-17,0.240132138
2005-03-18,0.214307904
2005-03-19,0.220867857
2005-03-20,0.192635432
2005-03-21,0.21745643
2005-03-22,0.13761048
2005-03-23,0.212366909
2005-03-24,0.240686566
2005-03-25,0.270376682
2005-03-26,-1.267651e+30
2005-03-27,0.240706503
2005-03-28,0.306821734
2005-03-29,0.32406646
2005-03-30,0.232702538
2005-03-31,0.258981317
2005-04-01,0.328792125
2005-04-02,0.322104961
2005-04-03,0.36527577
2005-04-04,0.381846577
2005-04-05,0.457130939
2005-04-06,0.362172157
2005-04-07,0.523021996
2005-04-08,0.526690662
2005-04-09,0.525767207
2005-04-10,0.530833721
2005-04-11,0.406538814
2005-04-12,0.46124649
2005-04-13,0.630499661
2005-04-14,0.67083782
2005-04-15,0.750441909
2005-04-16,0.755683124
2005-04-17,0.78449744
2005-04-18,0.928645968
2005-04-19,0.808534145
2005-04-20,0.917209923
2005-04-21,0.909104526
2005-04-22,0.928981662
2005-04-23,0.764228344
2005-04-24,0.580632389
2005-04-25,0.90330112
2005-04-26,1.02482331
2005-04-27,-1.267651e+30
2005-04-28,0.979356527
2005-04-29,1.07223296
2005-04-30,0.900157869
2005-05-01,0.821552753
2005-05-02,1.07159507
2005-05-03,1.00167036
2005-05-04,0.946352661
2005-05-05,1.04132891
2005-05-06,1.2384131
2005-05-07,1.22684383
2005-05-08,1.16492498
2005-05-09,1.19204867
2005-05-10,1.27729475
2005-05-11,1.09407055
2005-05-12,1.21432543
2005-05-13,1.09941697
2005-05-14,0.767792761
2005-05-15,0.901350141
2005-05-16,1.55170155
2005-05-17,1.46744859
2005-05-18,1.48614657
2005-05-19,1.61402869
2005-05-20,1.19898915
2005-05-21,1.31538379
2005-05-22,1.65122604
2005-05-23,1.40347433
2005-05-24,1.20849001
2005-05-25,1.22474861
2005-05-26,0.831710637
2005-05-27,1.49702728
2005-05-28,1.97853136
2005-05-29,-1.267651e+30
2005-05-30,1.93682158
2005-05-31,1.8629787
2005-06-01,1.52074099
2005-06-02,1.30070329
2005-06-03,1.37342322
2005-06-04,2.00602889
2005-06-05,1.4901576
2005-06-06,1.49102461
2005-06-07,1.57698381
2005-06-08,2.1008985
2005-06-09,2.02574754
2005-06-10,2.27750874
2005-06-11,2.27723432
2005-06-12,2.53742981
2005-06-13,2.58365226
2005-06-14,2.68706799
2005-06-15,2.21573424
2005-06-16,2.40549397
2005-06-17,2.39332962
2005-06-18,2.17996168
2005-06-19,2.07274532
2005-06-20,2.21646953
2005-06-21,1.93136191
2005-06-22,2.32544732
2005-06-23,1.65246511
2005-06-24,1.1880486
2005-06-25,1.22929573
2005-06-26,1.47298396
2005-06-27,1.47358358
2005-06-28,2.39282703
2005-06-29,2.39695787
2005-06-30,-1.267651e+30
2005-07-01,1.72109747
2005-07-02,2.56698036
2005-07-03,2.65037847
2005-07-04,2.55314827
2005-07-05,2.70462346
2005-07-06,2.80026126
2005-07-07,2.57714009
2005-07-08,2.73938107
2005-07-09,2.19274497
2005-07-10,1.79507542
2005-07-11,1.68304729
2005-07-12,1.80506229
2005-07-13,1.60696268
2005-07-14,1.75411832
2005-07-15,1.41717029
2005-07-16,1.43022335
2005-07-17,1.82117009
2005-07-18,1.94976866
2005-07-19,1.29778373
2005-07-20,1.98197532
2005-07-21,1.49740064
2005-07-22,1.25760508
2005-07-23,2.17714477
2005-07-24,2.27448368
2005-07-25,1.83823502
2005-07-26,1.04745281
2005-07-27,1.20260131
2005-07-28,1.11406028
2005-07-29,0.904385924
2005-07-30,1.62597406
2005-07-31,1.32163775
2005-08-01,-1.267651e+30
2005-08-02,1.01829827
2005-08-03,1.16111612
2005-08-04,1.18713331
2005-08-05,1.07540059
2005-08-06,0.997738779
2005-08-07,1.06917202
2005-08-08,1.21485925
2005-08-09,1.29976881
2005-08-10,1.26521814
2005-08-11,0.969603181
2005-08-12,1.08829033
2005-08-13,0.927050591
2005-08-14,1.26313639
2005-08-15,0.753086448
2005-08-16,1.00249422
2005-08-17,1.17429972
2005-08-18,0.971918046
2005-08-19,0.755910754
2005-08-20,0.854911208
2005-08-21,0.747021198
2005-08-22,0.681593835
2005-08-23,0.70403105
2005-08-24,0.805231512
2005-08-25,0.61957705
2005-08-26,0.453984946
2005-08-27,0.455157518
2005-08-28,0.665687859
2005-08-29,0.68185848
2005-08-30,0.692886114
2005-08-31,0.672457933
2005-09-01,0.384770185
2005-09-02,-1.267651e+30
2005-09-03,0.609751284
2005-09-04,0.601555228
2005-09-05,0.45061174
2005-09-06,0.440576196
2005-09-07,0.444506913
2005-09-08,0.463886261
2005-09-09,0.407564551
2005-09-10,0.40419665
2005-09-11,0.316696554
2005-09-12,0.387629598
2005-09-13,0.322879761
2005-09-14,0.332809448
2005-09-15,0.206462249
2005-09-16,0.235501587
2005-09-17,0.261750191
2005-09-18,0.432465881
2005-09-19,0.408927441
2005-09-20,0.222291052
2005-09-21,0.161288753
2005-09-22,0.221298814
2005-09-23,0.227379203
2005-09-24,0.276471049
2005-09-25,0.17883049
2005-09-26,0.1751239
2005-09-27,0.209667936
2005-09-28,0.170679018
2005-09-29,0.247570038
2005-09-30,0.150239244
2005-10-01,0.172171831
2005-10-02,0.169904292
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,0.118138008
2005-10-06,0.161550924
2005-10-07,0.071166575
2005-10-08,0.0960707664
2005-10-09,0.0910518914
2005-10-10,0.0927047282
2005-10-11,-1.267651e+30
2005-10-12,-1.267651e+30
2005-10-13,-1.267651e+30
2005-10-14,-1.267651e+30
2005-10-15,-1.267651e+30
2005-10-16,-1.267651e+30
2005-10-17,-1.267651e+30
2005-10-18,-1.267651e+30
2005-10-19,-1.267651e+30
2005-10-20,-1.267651e+30
2005-10-21,-1.267651e+30
2005-10-22,-1.267651e+30
2005-10-23,-1.267651e+30
2005-10-24,-1.267651e+30
2005-10-25,-1.267651e+30
2005-10-26,-1.267651e+30
2005-10-27,-1.267651e+30
