Title:,"Time Series, Area-Averaged of UV Index (Local Noon) daily 1 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"28,19,31,22"
Data Bounding Box:,"28.5,19.5,30.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=28E,19N,31E,22N&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (OMUVBd_003_UVindex):, -1.267651e+30

time, OMUVBd_003_UVindex
2004-10-01,9.5867691
2004-10-02,9.89364529
2004-10-03,9.97702503
2004-10-04,9.64080143
2004-10-05,9.61347866
2004-10-06,-1.267651e+30
2004-10-07,9.5880127
2004-10-08,9.49962997
2004-10-09,9.60258484
2004-10-10,9.28316784
2004-10-11,8.89307022
2004-10-12,9.05062199
2004-10-13,9.05492306
2004-10-14,9.35476398
2004-10-15,9.13011074
2004-10-16,9.28692341
2004-10-17,-1.267651e+30
2004-10-18,8.741992
2004-10-19,8.77176666
2004-10-20,8.49900341
2004-10-21,8.67529297
2004-10-22,8.40128803
2004-10-23,5.66718483
2004-10-24,8.40238476
2004-10-25,8.36447906
2004-10-26,8.11083984
2004-10-27,8.12294769
2004-10-28,8.24376869
2004-10-29,8.09274101
2004-10-30,8.11269188
2004-10-31,7.71900845
2004-11-01,8.26416779
2004-11-02,7.7405405
2004-11-03,7.91713572
2004-11-04,7.97842598
2004-11-05,7.97490358
2004-11-06,8.21633148
2004-11-07,8.14775181
2004-11-08,8.27715302
2004-11-09,8.16647625
2004-11-10,8.18516159
2004-11-11,8.04316521
2004-11-12,7.90906811
2004-11-13,7.70562649
2004-11-14,7.51603794
2004-11-15,7.47947693
2004-11-16,7.16955185
2004-11-17,7.02686357
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-12-01,-1.267651e+30
2004-12-02,6.85882473
2004-12-03,6.7780652
2004-12-04,6.68945551
2004-12-05,6.73167658
2004-12-06,6.5713973
2004-12-07,6.44745302
2004-12-08,6.73776436
2004-12-09,6.74193859
2004-12-10,6.73963785
2004-12-11,6.61239529
2004-12-12,6.76031017
2004-12-13,6.11714411
2004-12-14,6.51971674
2004-12-15,6.56015491
2004-12-16,6.40420008
2004-12-17,6.70629549
2004-12-18,6.71345282
2004-12-19,6.87802267
2004-12-20,-1.267651e+30
2004-12-21,6.7574935
2004-12-22,6.73949194
2004-12-23,6.55641937
2004-12-24,6.61653662
2004-12-25,6.5016818
2004-12-26,6.69091511
2004-12-27,6.4663043
2004-12-28,6.592803
2004-12-29,6.2132802
2004-12-30,6.24318695
2004-12-31,6.34828711
2005-01-01,6.03525543
2005-01-02,6.24000883
2005-01-03,6.17623377
2005-01-04,6.31139565
2005-01-05,6.17192221
2005-01-06,6.04195452
2005-01-07,6.36083698
2005-01-08,6.41231775
2005-01-09,6.65928364
2005-01-10,6.47714138
2005-01-11,6.64513063
2005-01-12,6.58145142
2005-01-13,6.8014369
2005-01-14,6.38836956
2005-01-15,6.35053015
2005-01-16,6.53829241
2005-01-17,6.82458735
2005-01-18,6.73134041
2005-01-19,5.93651342
2005-01-20,7.18706751
2005-01-21,-1.267651e+30
2005-01-22,7.00624466
2005-01-23,6.79580116
2005-01-24,6.67603588
2005-01-25,6.89903975
2005-01-26,7.08147144
2005-01-27,7.53061056
2005-01-28,7.65405703
2005-01-29,7.74672222
2005-01-30,7.72418404
2005-01-31,7.91653872
2005-02-01,8.04212475
2005-02-02,7.70017099
2005-02-03,7.76743984
2005-02-04,7.74366331
2005-02-05,8.0492363
2005-02-06,8.02580833
2005-02-07,8.1498909
2005-02-08,8.179883
2005-02-09,8.18578339
2005-02-10,8.35769749
2005-02-11,8.23790359
2005-02-12,8.50952721
2005-02-13,8.35165596
2005-02-14,8.38476086
2005-02-15,8.91252136
2005-02-16,8.76292038
2005-02-17,9.46486187
2005-02-18,9.37565708
2005-02-19,9.66183472
2005-02-20,9.39180374
2005-02-21,9.77542973
2005-02-22,-1.267651e+30
2005-02-23,9.80022621
2005-02-24,9.9007082
2005-02-25,10.0042057
2005-02-26,10.1077375
2005-02-27,9.76923084
2005-02-28,10.0255518
2005-03-01,10.0564356
2005-03-02,10.2547417
2005-03-03,10.5717402
2005-03-04,10.718483
2005-03-05,10.9235983
2005-03-06,10.7572908
2005-03-07,11.0573997
2005-03-08,10.6451511
2005-03-09,10.8065758
2005-03-10,9.50256538
2005-03-11,11.4903269
2005-03-12,10.9430962
2005-03-13,11.2641087
2005-03-14,11.60532
2005-03-15,11.3647881
2005-03-16,11.2463245
2005-03-17,10.8066273
2005-03-18,10.6995611
2005-03-19,10.6369743
2005-03-20,10.5473042
2005-03-21,10.6838112
2005-03-22,10.898344
2005-03-23,10.9327841
2005-03-24,11.5631142
2005-03-25,11.9508839
2005-03-26,-1.267651e+30
2005-03-27,10.7573233
2005-03-28,11.444459
2005-03-29,11.459198
2005-03-30,11.2079811
2005-03-31,10.781744
2005-04-01,10.2918024
2005-04-02,10.4846687
2005-04-03,10.854785
2005-04-04,10.7674894
2005-04-05,10.9461756
2005-04-06,11.1268578
2005-04-07,10.9015274
2005-04-08,10.6994028
2005-04-09,10.6003304
2005-04-10,10.9671574
2005-04-11,10.7374516
2005-04-12,10.5002165
2005-04-13,10.8280792
2005-04-14,10.9904137
2005-04-15,11.012126
2005-04-16,10.9814568
2005-04-17,11.1063128
2005-04-18,10.8290892
2005-04-19,9.01181221
2005-04-20,11.1385355
2005-04-21,11.6674366
2005-04-22,11.1691046
2005-04-23,10.6180601
2005-04-24,10.9582624
2005-04-25,10.4393921
2005-04-26,10.8752422
2005-04-27,-1.267651e+30
2005-04-28,11.196703
2005-04-29,11.0422449
2005-04-30,11.0663567
2005-05-01,11.9906321
2005-05-02,11.8225269
2005-05-03,11.9165821
2005-05-04,11.4731064
2005-05-05,11.5594778
2005-05-06,11.6953268
2005-05-07,12.0044985
2005-05-08,11.7901154
2005-05-09,11.4306993
2005-05-10,11.4928989
2005-05-11,11.1966505
2005-05-12,10.8839397
2005-05-13,11.1910639
2005-05-14,11.5213499
2005-05-15,11.7985744
2005-05-16,11.6493702
2005-05-17,11.8840427
2005-05-18,11.5628958
2005-05-19,11.0060797
2005-05-20,11.5901117
2005-05-21,12.0260258
2005-05-22,12.1015921
2005-05-23,12.008955
2005-05-24,11.9344053
2005-05-25,11.966856
2005-05-26,11.952116
2005-05-27,10.8338442
2005-05-28,12.334527
2005-05-29,-1.267651e+30
2005-05-30,11.0521679
2005-05-31,11.5778522
2005-06-01,9.03638554
2005-06-02,11.1445999
2005-06-03,10.2626305
2005-06-04,11.6128807
2005-06-05,11.2666311
2005-06-06,11.037406
2005-06-07,12.1022453
2005-06-08,12.12708
2005-06-09,12.0677776
2005-06-10,11.7932339
2005-06-11,11.9001589
2005-06-12,11.7935448
2005-06-13,11.6957779
2005-06-14,11.5084858
2005-06-15,11.4929075
2005-06-16,11.8873806
2005-06-17,11.9160671
2005-06-18,12.0770693
2005-06-19,11.91502
2005-06-20,11.9625292
2005-06-21,11.6891251
2005-06-22,11.9713984
2005-06-23,11.7366428
2005-06-24,11.9213686
2005-06-25,11.9984217
2005-06-26,11.6575775
2005-06-27,11.7908993
2005-06-28,11.7445574
2005-06-29,11.9319553
2005-06-30,-1.267651e+30
2005-07-01,11.4900284
2005-07-02,11.515687
2005-07-03,11.4253683
2005-07-04,11.648735
2005-07-05,11.563571
2005-07-06,11.5612507
2005-07-07,11.4247084
2005-07-08,11.2165003
2005-07-09,11.2830477
2005-07-10,11.3309679
2005-07-11,11.6378355
2005-07-12,10.3043375
2005-07-13,11.1595516
2005-07-14,11.4174385
2005-07-15,11.9678774
2005-07-16,11.8222351
2005-07-17,11.6048431
2005-07-18,11.699213
2005-07-19,11.4261122
2005-07-20,11.9299173
2005-07-21,11.4627752
2005-07-22,11.7157297
2005-07-23,11.439105
2005-07-24,11.6109629
2005-07-25,11.4504538
2005-07-26,11.3364944
2005-07-27,11.9473734
2005-07-28,11.7131319
2005-07-29,12.0974159
2005-07-30,11.9515982
2005-07-31,12.0167351
2005-08-01,-1.267651e+30
2005-08-02,10.7389803
2005-08-03,10.937726
2005-08-04,11.2575054
2005-08-05,11.2353039
2005-08-06,10.4793873
2005-08-07,11.5155287
2005-08-08,11.4216719
2005-08-09,11.375926
2005-08-10,11.4117765
2005-08-11,11.362278
2005-08-12,11.402935
2005-08-13,11.0880175
2005-08-14,11.2157488
2005-08-15,11.1243706
2005-08-16,11.3779249
2005-08-17,11.1202326
2005-08-18,11.1142826
2005-08-19,11.1978254
2005-08-20,11.1653767
2005-08-21,11.5095367
2005-08-22,10.9672022
2005-08-23,10.9994593
2005-08-24,10.6944609
2005-08-25,11.0789957
2005-08-26,10.034565
2005-08-27,11.1698322
2005-08-28,9.63038826
2005-08-29,10.8144445
2005-08-30,10.6509695
2005-08-31,10.3289118
2005-09-01,10.7002583
2005-09-02,-1.267651e+30
2005-09-03,11.0745907
2005-09-04,10.8447609
2005-09-05,10.6286459
2005-09-06,11.0034456
2005-09-07,10.7036152
2005-09-08,10.7917862
2005-09-09,10.5124836
2005-09-10,10.8743448
2005-09-11,10.6891031
2005-09-12,10.8276167
2005-09-13,10.7094412
2005-09-14,10.2886496
2005-09-15,10.5486851
2005-09-16,10.438446
2005-09-17,10.6609344
2005-09-18,10.2572842
2005-09-19,10.3737688
2005-09-20,10.2670212
2005-09-21,9.99818325
2005-09-22,10.0120373
2005-09-23,9.01555443
2005-09-24,10.0603867
2005-09-25,9.80792236
2005-09-26,9.92222404
2005-09-27,9.88196278
2005-09-28,9.75622654
2005-09-29,9.79296017
2005-09-30,9.37632751
2005-10-01,10.0173082
2005-10-02,9.69715309
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,9.84516239
2005-10-06,9.7406435
2005-10-07,9.49510288
2005-10-08,9.71165466
2005-10-09,9.33712578
2005-10-10,9.33332157
2005-10-11,9.12070084
2005-10-12,9.33384514
2005-10-13,9.38715744
2005-10-14,9.26828671
2005-10-15,9.35535717
2005-10-16,9.03736687
2005-10-17,9.09962368
2005-10-18,8.69435978
2005-10-19,8.79650307
2005-10-20,8.60762119
2005-10-21,8.69037056
2005-10-22,8.84812546
2005-10-23,8.87279701
2005-10-24,8.86505985
2005-10-25,8.7053709
2005-10-26,8.76323605
2005-10-27,8.5375843
2005-10-28,8.52775764
2005-10-29,8.44025612
2005-10-30,8.4073019
2005-10-31,8.58606243
2005-11-01,8.93426895
2005-11-02,8.69823742
2005-11-03,8.22564793
2005-11-04,7.93311214
2005-11-05,-1.267651e+30
2005-11-06,8.13384724
2005-11-07,8.16345787
2005-11-08,8.00228977
2005-11-09,8.06467152
2005-11-10,7.88936949
2005-11-11,7.87533522
2005-11-12,7.84005928
2005-11-13,7.94710588
2005-11-14,7.78338623
2005-11-15,7.80399561
2005-11-16,7.84405613
2005-11-17,7.51868296
2005-11-18,7.61039066
2005-11-19,7.69279957
2005-11-20,7.82678604
2005-11-21,7.74041033
2005-11-22,7.6240201
2005-11-23,7.72562122
2005-11-24,7.70843887
2005-11-25,7.80169153
2005-11-26,7.51305962
2005-11-27,7.59891987
2005-11-28,7.22873545
2005-11-29,7.04387093
2005-11-30,6.88581514
2005-12-01,7.10545635
