Title:,"Time Series, Area-Averaged of UV Index (Local Noon) daily 1 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"29,-28,32,-25"
Data Bounding Box:,"29.5,-27.5,31.5,-25.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=29,-28,32,-25&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (OMUVBd_003_UVindex):, -1.267651e+30

time, OMUVBd_003_UVindex
2004-10-01,9.03311539
2004-10-02,9.09163666
2004-10-03,8.31387901
2004-10-04,8.48423958
2004-10-05,7.7592802
2004-10-06,-1.267651e+30
2004-10-07,9.3002758
2004-10-08,6.602458
2004-10-09,10.3977957
2004-10-10,7.32107162
2004-10-11,6.77676296
2004-10-12,5.75027847
2004-10-13,4.07077694
2004-10-14,7.66698647
2004-10-15,8.29466534
2004-10-16,8.42723465
2004-10-17,-1.267651e+30
2004-10-18,7.91535854
2004-10-19,7.72603989
2004-10-20,9.27543163
2004-10-21,10.0383835
2004-10-22,6.43963146
2004-10-23,7.29566145
2004-10-24,9.15434933
2004-10-25,9.84488869
2004-10-26,7.08624029
2004-10-27,4.41657925
2004-10-28,9.57881832
2004-10-29,10.5401974
2004-10-30,8.55305099
2004-10-31,11.0930796
2004-11-01,12.4486132
2004-11-02,12.5501614
2004-11-03,11.8384686
2004-11-04,12.2880249
2004-11-05,9.82381058
2004-11-06,7.37006855
2004-11-07,10.9719477
2004-11-08,8.61766624
2004-11-09,11.7720852
2004-11-10,9.89487457
2004-11-11,6.72008085
2004-11-12,11.4047775
2004-11-13,11.4681597
2004-11-14,7.20712137
2004-11-15,11.4411488
2004-11-16,11.6941233
2004-11-17,12.6182127
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-12-01,-1.267651e+30
2004-12-02,9.13179493
2004-12-03,10.6422167
2004-12-04,13.5158215
2004-12-05,9.24236584
2004-12-06,9.28923798
2004-12-07,7.31486034
2004-12-08,6.9447217
2004-12-09,4.40173626
2004-12-10,13.622427
2004-12-11,13.6610308
2004-12-12,14.1555099
2004-12-13,12.500618
2004-12-14,11.8022966
2004-12-15,8.92955017
2004-12-16,9.84918118
2004-12-17,13.2813988
2004-12-18,9.25170135
2004-12-19,9.26976395
2004-12-20,-1.267651e+30
2004-12-21,10.2816782
2004-12-22,11.051157
2004-12-23,9.13607121
2004-12-24,9.38357162
2004-12-25,13.7672539
2004-12-26,12.589076
2004-12-27,12.1751003
2004-12-28,11.968236
2004-12-29,13.8049421
2004-12-30,12.963563
2004-12-31,13.6424294
2005-01-01,12.0994368
2005-01-02,12.4887295
2005-01-03,13.9111109
2005-01-04,13.1924877
2005-01-05,10.8783255
2005-01-06,14.2034006
2005-01-07,13.505765
2005-01-08,12.4206886
2005-01-09,8.53130913
2005-01-10,12.0384521
2005-01-11,14.2143784
2005-01-12,9.21728992
2005-01-13,9.90168095
2005-01-14,10.9645681
2005-01-15,9.25851345
2005-01-16,7.73590136
2005-01-17,10.724041
2005-01-18,9.53033733
2005-01-19,10.1045103
2005-01-20,11.6257277
2005-01-21,-1.267651e+30
2005-01-22,12.8193541
2005-01-23,7.89175749
2005-01-24,13.2216072
2005-01-25,12.7820511
2005-01-26,8.60495853
2005-01-27,11.7139711
2005-01-28,14.4968224
2005-01-29,12.8789959
2005-01-30,11.7490444
2005-01-31,13.1078901
2005-02-01,13.7738018
2005-02-02,14.7090473
2005-02-03,15.0823736
2005-02-04,13.961791
2005-02-05,7.96959162
2005-02-06,13.5705013
2005-02-07,14.1000223
2005-02-08,9.16068077
2005-02-09,11.1340132
2005-02-10,13.862402
2005-02-11,10.9226065
2005-02-12,11.9175882
2005-02-13,12.8242884
2005-02-14,12.071497
2005-02-15,13.5208979
2005-02-16,13.8748674
2005-02-17,13.8307915
2005-02-18,12.416995
2005-02-19,10.9530029
2005-02-20,7.22596788
2005-02-21,5.29899025
2005-02-22,-1.267651e+30
2005-02-23,11.7871428
2005-02-24,12.7091608
2005-02-25,8.95310688
2005-02-26,11.6490393
2005-02-27,12.5864515
2005-02-28,10.3754969
2005-03-01,11.8479061
2005-03-02,10.8078651
2005-03-03,9.33360577
2005-03-04,11.0606232
2005-03-05,12.2293301
2005-03-06,11.9581175
2005-03-07,10.3306999
2005-03-08,11.968255
2005-03-09,9.68187523
2005-03-10,8.3624382
2005-03-11,5.1152997
2005-03-12,10.3936548
2005-03-13,10.2486486
2005-03-14,6.2916255
2005-03-15,7.29431248
2005-03-16,8.82539654
2005-03-17,9.73317051
2005-03-18,11.1567459
2005-03-19,10.4786758
2005-03-20,10.5908146
2005-03-21,7.35215521
2005-03-22,6.18883562
2005-03-23,8.44537067
2005-03-24,10.2453594
2005-03-25,10.3531694
2005-03-26,-1.267651e+30
2005-03-27,8.7212286
2005-03-28,8.96284962
2005-03-29,8.61881733
2005-03-30,8.91492081
2005-03-31,9.25820923
2005-04-01,8.82865047
2005-04-02,3.79757094
2005-04-03,3.2248559
2005-04-04,9.41572857
2005-04-05,9.59961033
2005-04-06,7.91458273
2005-04-07,7.85029459
2005-04-08,6.46350908
2005-04-09,7.5006609
2005-04-10,8.48631382
2005-04-11,8.75747967
2005-04-12,8.84407616
2005-04-13,8.39519215
2005-04-14,5.2296958
2005-04-15,5.60194302
2005-04-16,6.48667765
2005-04-17,8.04727459
2005-04-18,8.35944939
2005-04-19,7.84225702
2005-04-20,5.12098408
2005-04-21,5.85177231
2005-04-22,5.91841793
2005-04-23,4.13126707
2005-04-24,7.55409956
2005-04-25,4.90338993
2005-04-26,3.99916291
2005-04-27,-1.267651e+30
2005-04-28,6.93115473
2005-04-29,7.32130289
2005-04-30,6.52393723
2005-05-01,6.54317808
2005-05-02,6.70040035
2005-05-03,5.75006008
2005-05-04,6.6619463
2005-05-05,6.27264786
2005-05-06,6.81654692
2005-05-07,6.13987494
2005-05-08,6.09481859
2005-05-09,6.52358198
2005-05-10,6.49393702
2005-05-11,6.5039115
2005-05-12,6.25779438
2005-05-13,6.79460478
2005-05-14,5.67580795
2005-05-15,5.05817318
2005-05-16,6.05388975
2005-05-17,5.85420656
2005-05-18,6.00749493
2005-05-19,5.52879763
2005-05-20,3.89366674
2005-05-21,5.19596815
2005-05-22,5.50170565
2005-05-23,5.76380396
2005-05-24,4.07096529
2005-05-25,5.40259886
2005-05-26,5.5784564
2005-05-27,5.62882423
2005-05-28,5.179317
2005-05-29,-1.267651e+30
2005-05-30,5.30479288
2005-05-31,5.14923716
2005-06-01,5.13094044
2005-06-02,4.87746906
2005-06-03,5.18252897
2005-06-04,4.9161911
2005-06-05,5.04644299
2005-06-06,5.13374424
2005-06-07,4.52389956
2005-06-08,4.69400215
2005-06-09,4.59722853
2005-06-10,3.33496356
2005-06-11,4.40224457
2005-06-12,4.62530947
2005-06-13,4.43800497
2005-06-14,4.62332106
2005-06-15,4.57976151
2005-06-16,4.24604607
2005-06-17,4.42647982
2005-06-18,4.36397409
2005-06-19,4.34674406
2005-06-20,4.11707258
2005-06-21,3.35646772
2005-06-22,2.8214314
2005-06-23,3.13737369
2005-06-24,4.12994385
2005-06-25,4.1198163
2005-06-26,4.45185184
2005-06-27,4.38033533
2005-06-28,3.57278872
2005-06-29,4.48027802
2005-06-30,-1.267651e+30
2005-07-01,3.99078178
2005-07-02,4.44920301
2005-07-03,4.01055574
2005-07-04,3.99553156
2005-07-05,3.87441158
2005-07-06,3.82736945
2005-07-07,3.22119236
2005-07-08,3.80281806
2005-07-09,4.42319107
2005-07-10,4.70037413
2005-07-11,4.83381653
2005-07-12,4.86589909
2005-07-13,4.8120842
2005-07-14,4.4853878
2005-07-15,4.03298235
2005-07-16,4.6281414
2005-07-17,4.60643911
2005-07-18,4.83381319
2005-07-19,4.81182003
2005-07-20,4.34184599
2005-07-21,4.96325874
2005-07-22,4.98481226
2005-07-23,5.04592466
2005-07-24,5.00275278
2005-07-25,4.98224449
2005-07-26,5.01616573
2005-07-27,4.91939354
2005-07-28,4.59698009
2005-07-29,5.08748436
2005-07-30,5.36369228
2005-07-31,5.32238054
2005-08-01,-1.267651e+30
2005-08-02,5.10355949
2005-08-03,5.09858561
2005-08-04,5.09756565
2005-08-05,5.26455259
2005-08-06,5.42310953
2005-08-07,5.45692539
2005-08-08,5.18307781
2005-08-09,4.26999092
2005-08-10,2.58154273
2005-08-11,4.84890413
2005-08-12,4.55480719
2005-08-13,5.22172022
2005-08-14,5.34486771
2005-08-15,4.39771938
2005-08-16,3.3431046
2005-08-17,5.24691439
2005-08-18,5.74295664
2005-08-19,5.41264391
2005-08-20,5.45518112
2005-08-21,4.90737104
2005-08-22,5.48445177
2005-08-23,5.38038301
2005-08-24,5.68001556
2005-08-25,5.61470795
2005-08-26,5.40497732
2005-08-27,5.70670033
2005-08-28,3.90976763
2005-08-29,5.8039999
2005-08-30,5.85068274
2005-08-31,5.93451118
2005-09-01,5.38117027
2005-09-02,-1.267651e+30
2005-09-03,5.54564905
2005-09-04,6.10861444
2005-09-05,6.13811207
2005-09-06,4.27377748
2005-09-07,4.51144505
2005-09-08,6.04956484
2005-09-09,6.62906837
2005-09-10,6.69122362
2005-09-11,6.94085932
2005-09-12,7.026577
2005-09-13,6.24499464
2005-09-14,6.99124575
2005-09-15,6.59815645
2005-09-16,6.72703314
2005-09-17,6.79348993
2005-09-18,7.15232801
2005-09-19,6.84145594
2005-09-20,6.83193445
2005-09-21,6.60692072
2005-09-22,6.49276686
2005-09-23,5.26889944
2005-09-24,6.59406948
2005-09-25,6.85764694
2005-09-26,6.39959812
2005-09-27,5.84330368
2005-09-28,6.60086918
2005-09-29,6.77737236
2005-09-30,7.67855883
2005-10-01,8.69226456
2005-10-02,8.93702507
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,6.63846445
2005-10-06,4.28952551
2005-10-07,6.45920086
2005-10-08,7.19929266
2005-10-09,6.92223835
2005-10-10,8.89731026
2005-10-11,7.51071739
2005-10-12,7.03765154
2005-10-13,5.61396694
2005-10-14,7.8535881
2005-10-15,7.63979387
2005-10-16,8.47050571
2005-10-17,8.03717518
2005-10-18,9.44273949
2005-10-19,7.13342905
2005-10-20,9.21912575
2005-10-21,6.52909851
2005-10-22,9.71173668
2005-10-23,9.68852043
2005-10-24,9.4834671
2005-10-25,8.78998756
2005-10-26,5.70066214
2005-10-27,10.25208
2005-10-28,9.10492706
2005-10-29,5.2646699
2005-10-30,9.58868122
2005-10-31,6.66287661
2005-11-01,10.9808226
2005-11-02,10.6789227
2005-11-03,9.93097591
2005-11-04,9.61543465
2005-11-05,-1.267651e+30
2005-11-06,4.38769579
2005-11-07,11.5439501
2005-11-08,11.8865652
2005-11-09,11.8867826
2005-11-10,10.4295092
2005-11-11,8.09859657
2005-11-12,6.99383783
2005-11-13,11.2702751
2005-11-14,11.3969154
2005-11-15,12.8985062
2005-11-16,12.5758085
2005-11-17,9.15247917
2005-11-18,12.7524891
2005-11-19,9.81106949
2005-11-20,11.6589928
2005-11-21,11.8407393
2005-11-22,9.71164894
2005-11-23,11.6074209
2005-11-24,10.1317854
2005-11-25,9.95301151
2005-11-26,9.48155403
2005-11-27,5.58647299
2005-11-28,11.3397083
2005-11-29,12.5689249
2005-11-30,10.5606403
