Title:,"Time Series, Area-Averaged of UV Index (Local Noon) daily 1 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"29,-2,32,1"
Data Bounding Box:,"29.5,-1.5,31.5,0.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=29,-2,32,1&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (OMUVBd_003_UVindex):, -1.267651e+30

time, OMUVBd_003_UVindex
2004-10-01,9.68998146
2004-10-02,6.27293634
2004-10-03,10.5915222
2004-10-04,12.030323
2004-10-05,10.0606155
2004-10-06,-1.267651e+30
2004-10-07,13.338027
2004-10-08,13.1210642
2004-10-09,8.83315182
2004-10-10,13.1047335
2004-10-11,10.4021473
2004-10-12,11.6719036
2004-10-13,12.4159899
2004-10-14,10.4752131
2004-10-15,12.3243904
2004-10-16,8.81509781
2004-10-17,-1.267651e+30
2004-10-18,11.7726622
2004-10-19,12.0991373
2004-10-20,9.62512589
2004-10-21,8.74918461
2004-10-22,9.3625164
2004-10-23,11.2492304
2004-10-24,11.9840136
2004-10-25,9.26579094
2004-10-26,9.39611626
2004-10-27,7.66219807
2004-10-28,11.8703012
2004-10-29,9.48500538
2004-10-30,6.42808008
2004-10-31,12.8077421
2004-11-01,11.8012896
2004-11-02,7.68285322
2004-11-03,8.31272793
2004-11-04,12.1172304
2004-11-05,10.3814907
2004-11-06,9.04699898
2004-11-07,11.8075638
2004-11-08,10.1016264
2004-11-09,11.0250711
2004-11-10,9.22154236
2004-11-11,8.43228436
2004-11-12,10.449152
2004-11-13,11.7388153
2004-11-14,9.42499733
2004-11-15,9.71790218
2004-11-16,10.063406
2004-11-17,10.334198
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-12-01,-1.267651e+30
2004-12-02,10.1692181
2004-12-03,8.87037849
2004-12-04,10.5513887
2004-12-05,9.78594589
2004-12-06,9.94150925
2004-12-07,10.0185776
2004-12-08,10.1717682
2004-12-09,10.9211426
2004-12-10,9.32175732
2004-12-11,9.4658308
2004-12-12,10.5517101
2004-12-13,10.0086145
2004-12-14,8.37813377
2004-12-15,9.66578484
2004-12-16,6.93590736
2004-12-17,10.3885098
2004-12-18,6.80681038
2004-12-19,11.1232634
2004-12-20,-1.267651e+30
2004-12-21,8.76507854
2004-12-22,10.7015991
2004-12-23,4.71854639
2004-12-24,10.4883242
2004-12-25,9.46797085
2004-12-26,11.7012081
2004-12-27,11.7658854
2004-12-28,11.1088419
2004-12-29,7.87295628
2004-12-30,9.49031353
2004-12-31,10.5101643
2005-01-01,10.5103598
2005-01-02,11.5020304
2005-01-03,11.6590395
2005-01-04,11.4866123
2005-01-05,11.2322092
2005-01-06,11.6009092
2005-01-07,10.5523167
2005-01-08,9.49124241
2005-01-09,10.8513613
2005-01-10,10.7764206
2005-01-11,10.7807999
2005-01-12,9.04808807
2005-01-13,9.44704533
2005-01-14,7.08015633
2005-01-15,10.2546377
2005-01-16,10.9221096
2005-01-17,10.9858904
2005-01-18,11.8221025
2005-01-19,11.1221962
2005-01-20,10.8629818
2005-01-21,-1.267651e+30
2005-01-22,12.3025923
2005-01-23,10.5591688
2005-01-24,7.2606988
2005-01-25,9.92545033
2005-01-26,8.58102894
2005-01-27,9.72044945
2005-01-28,9.22590733
2005-01-29,10.8505917
2005-01-30,11.6465635
2005-01-31,10.8861065
2005-02-01,9.14750481
2005-02-02,9.93251038
2005-02-03,9.61270428
2005-02-04,11.9155169
2005-02-05,11.6083422
2005-02-06,11.6555758
2005-02-07,11.3848648
2005-02-08,9.1506319
2005-02-09,10.2148142
2005-02-10,12.3735018
2005-02-11,12.8224163
2005-02-12,11.9553814
2005-02-13,12.2070608
2005-02-14,12.0046263
2005-02-15,11.5263472
2005-02-16,10.6344433
2005-02-17,11.2537403
2005-02-18,12.9856606
2005-02-19,12.9377384
2005-02-20,13.6524506
2005-02-21,13.8985987
2005-02-22,-1.267651e+30
2005-02-23,12.0179758
2005-02-24,12.3914967
2005-02-25,11.0452909
2005-02-26,9.2097702
2005-02-27,8.31817627
2005-02-28,10.8666029
2005-03-01,12.4130106
2005-03-02,10.6603184
2005-03-03,13.3791838
2005-03-04,11.7674189
2005-03-05,11.140914
2005-03-06,10.1993732
2005-03-07,8.83823872
2005-03-08,13.7909327
2005-03-09,13.6765394
2005-03-10,13.0144119
2005-03-11,14.5257359
2005-03-12,12.9090681
2005-03-13,11.0712328
2005-03-14,11.5412798
2005-03-15,11.683526
2005-03-16,9.51623631
2005-03-17,9.18981075
2005-03-18,11.7300129
2005-03-19,9.36646366
2005-03-20,8.42096233
2005-03-21,11.1620817
2005-03-22,9.97615719
2005-03-23,8.34679317
2005-03-24,13.4472837
2005-03-25,9.97348785
2005-03-26,-1.267651e+30
2005-03-27,9.95392132
2005-03-28,13.0029144
2005-03-29,13.9685612
2005-03-30,14.2830153
2005-03-31,13.4894171
2005-04-01,15.8060522
2005-04-02,15.6722689
2005-04-03,15.3030071
2005-04-04,11.9682674
2005-04-05,13.9227486
2005-04-06,12.2312632
2005-04-07,14.8918104
2005-04-08,13.4540701
2005-04-09,11.1040754
2005-04-10,13.8680763
2005-04-11,13.3472948
2005-04-12,13.5353451
2005-04-13,11.396347
2005-04-14,13.9806213
2005-04-15,14.4775114
2005-04-16,12.9078083
2005-04-17,12.7598372
2005-04-18,12.0472927
2005-04-19,11.2971945
2005-04-20,12.4750977
2005-04-21,12.7655325
2005-04-22,14.0855951
2005-04-23,10.1743813
2005-04-24,11.7363558
2005-04-25,13.2950573
2005-04-26,12.1565332
2005-04-27,-1.267651e+30
2005-04-28,5.97839499
2005-04-29,8.81999397
2005-04-30,12.5410776
2005-05-01,12.1145945
2005-05-02,6.30550051
2005-05-03,9.75151157
2005-05-04,12.1429253
2005-05-05,8.37842464
2005-05-06,9.01778698
2005-05-07,11.5665808
2005-05-08,8.8025589
2005-05-09,11.2066469
2005-05-10,12.1029062
2005-05-11,11.7186146
2005-05-12,10.8572226
2005-05-13,11.244504
2005-05-14,11.7189369
2005-05-15,12.3710623
2005-05-16,10.0759277
2005-05-17,11.879118
2005-05-18,12.100419
2005-05-19,11.9751701
2005-05-20,11.4082851
2005-05-21,8.148736
2005-05-22,8.7856884
2005-05-23,10.1084251
2005-05-24,11.2658205
2005-05-25,8.22548294
2005-05-26,7.70265341
2005-05-27,7.3031683
2005-05-28,9.63888168
2005-05-29,-1.267651e+30
2005-05-30,8.12032223
2005-05-31,10.8125153
2005-06-01,11.3216734
2005-06-02,10.4901752
2005-06-03,10.220686
2005-06-04,10.2063084
2005-06-05,10.6606226
2005-06-06,9.82063293
2005-06-07,9.47967529
2005-06-08,6.41506767
2005-06-09,8.75327587
2005-06-10,8.08383942
2005-06-11,10.8041706
2005-06-12,10.0103369
2005-06-13,11.1613817
2005-06-14,10.5161562
2005-06-15,8.13696957
2005-06-16,10.5525951
2005-06-17,8.59197235
2005-06-18,5.87786579
2005-06-19,7.8619194
2005-06-20,7.40367794
2005-06-21,7.3796711
2005-06-22,7.4276185
2005-06-23,6.74320507
2005-06-24,8.94002151
2005-06-25,10.2049894
2005-06-26,9.38470554
2005-06-27,9.9682436
2005-06-28,9.49159145
2005-06-29,7.53682899
2005-06-30,-1.267651e+30
2005-07-01,7.69290733
2005-07-02,9.22048664
2005-07-03,8.50592232
2005-07-04,8.02955055
2005-07-05,8.91523266
2005-07-06,10.1178331
2005-07-07,9.82522583
2005-07-08,9.9262867
2005-07-09,8.59424782
2005-07-10,7.98597574
2005-07-11,7.36231852
2005-07-12,9.50243855
2005-07-13,10.5016899
2005-07-14,10.0982933
2005-07-15,10.2070389
2005-07-16,9.9563446
2005-07-17,9.84383678
2005-07-18,6.47516441
2005-07-19,8.05459213
2005-07-20,9.11825752
2005-07-21,9.64151669
2005-07-22,9.30363083
2005-07-23,7.63495255
2005-07-24,9.45609856
2005-07-25,10.3822536
2005-07-26,9.66339302
2005-07-27,7.68069839
2005-07-28,6.87518311
2005-07-29,8.37755871
2005-07-30,7.69437647
2005-07-31,7.83012533
2005-08-01,-1.267651e+30
2005-08-02,9.28987026
2005-08-03,9.41612339
2005-08-04,7.78565598
2005-08-05,8.47449017
2005-08-06,8.57570362
2005-08-07,8.68219185
2005-08-08,10.0283537
2005-08-09,9.8469677
2005-08-10,8.142663
2005-08-11,8.573246
2005-08-12,8.5970974
2005-08-13,6.58284378
2005-08-14,8.46142292
2005-08-15,6.30974674
2005-08-16,9.21025562
2005-08-17,8.65472221
2005-08-18,9.86585522
2005-08-19,9.61177444
2005-08-20,6.70962906
2005-08-21,9.85727882
2005-08-22,10.5633335
2005-08-23,9.46989822
2005-08-24,10.5810318
2005-08-25,9.73238564
2005-08-26,5.90734243
2005-08-27,8.21429539
2005-08-28,11.3264399
2005-08-29,11.365324
2005-08-30,11.4856443
2005-08-31,10.876317
2005-09-01,10.9597559
2005-09-02,-1.267651e+30
2005-09-03,10.7261896
2005-09-04,10.4184942
2005-09-05,8.97102928
2005-09-06,10.997818
2005-09-07,10.5691595
2005-09-08,7.22636986
2005-09-09,10.055337
2005-09-10,9.65783215
2005-09-11,10.1532917
2005-09-12,9.03706741
2005-09-13,9.69342613
2005-09-14,9.47946835
2005-09-15,8.61710262
2005-09-16,7.2198863
2005-09-17,6.96626997
2005-09-18,10.9726868
2005-09-19,9.76688671
2005-09-20,10.2028799
2005-09-21,8.7305212
2005-09-22,11.6168289
2005-09-23,10.1481495
2005-09-24,12.6848516
2005-09-25,11.1712017
2005-09-26,9.41631413
2005-09-27,11.9193573
2005-09-28,11.580596
2005-09-29,12.2745676
2005-09-30,6.50491476
2005-10-01,12.7043819
2005-10-02,11.7434092
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,10.6828156
2005-10-06,8.11183643
2005-10-07,10.4326096
2005-10-08,13.6319971
2005-10-09,13.7078609
2005-10-10,11.7383394
2005-10-11,8.30809593
2005-10-12,11.3008127
2005-10-13,7.94711637
2005-10-14,9.4919157
2005-10-15,9.65429592
2005-10-16,11.292079
2005-10-17,9.09677219
2005-10-18,10.0127659
2005-10-19,11.3298302
2005-10-20,7.45332003
2005-10-21,9.98481846
2005-10-22,11.0297279
2005-10-23,10.3183746
2005-10-24,9.31144524
2005-10-25,10.2547731
2005-10-26,11.2166605
2005-10-27,10.7577696
2005-10-28,10.8830528
2005-10-29,11.672698
2005-10-30,12.5578146
2005-10-31,9.36399078
2005-11-01,11.2842016
2005-11-02,13.1943884
2005-11-03,10.1396475
2005-11-04,9.55067921
2005-11-05,-1.267651e+30
2005-11-06,12.0794868
2005-11-07,9.41739655
2005-11-08,11.3253279
2005-11-09,9.8170929
2005-11-10,11.412674
2005-11-11,11.4883375
2005-11-12,9.37567616
2005-11-13,10.9195347
2005-11-14,11.1693697
2005-11-15,11.2003984
2005-11-16,11.2007141
2005-11-17,10.1846333
2005-11-18,10.7872896
2005-11-19,10.9340219
2005-11-20,11.7714663
2005-11-21,9.34857368
2005-11-22,10.3086987
2005-11-23,10.3765755
2005-11-24,9.81696606
2005-11-25,10.190793
2005-11-26,10.8035221
2005-11-27,10.2616119
2005-11-28,11.0385704
2005-11-29,12.0302048
2005-11-30,11.2461185
