Title:,"Time Series, Area-Averaged of UV Index (Local Noon) daily 1 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"50,-48,53,-45"
Data Bounding Box:,"50.5,-47.5,52.5,-45.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=50,-48,53,-45&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (OMUVBd_003_UVindex):, -1.267651e+30

time, OMUVBd_003_UVindex
2004-10-01,3.98111033
2004-10-02,3.12132025
2004-10-03,3.65721273
2004-10-04,2.07678032
2004-10-05,3.73873353
2004-10-06,-1.267651e+30
2004-10-07,3.67651105
2004-10-08,2.71485043
2004-10-09,4.48476601
2004-10-10,2.94443679
2004-10-11,4.9038415
2004-10-12,4.61412668
2004-10-13,3.75200653
2004-10-14,3.99293923
2004-10-15,2.66472483
2004-10-16,6.11977148
2004-10-17,-1.267651e+30
2004-10-18,4.81595707
2004-10-19,3.48276567
2004-10-20,6.43170691
2004-10-21,7.32715082
2004-10-22,2.4739747
2004-10-23,4.4588933
2004-10-24,5.31271505
2004-10-25,6.99568176
2004-10-26,2.96105909
2004-10-27,6.48321533
2004-10-28,4.95217466
2004-10-29,3.09165168
2004-10-30,5.59851217
2004-10-31,6.2458663
2004-11-01,5.48446751
2004-11-02,5.5524106
2004-11-03,5.17715263
2004-11-04,6.85628223
2004-11-05,5.42750168
2004-11-06,5.6496048
2004-11-07,6.1979866
2004-11-08,4.45952845
2004-11-09,2.14537358
2004-11-10,5.13684368
2004-11-11,5.61858463
2004-11-12,6.15500593
2004-11-13,7.2293663
2004-11-14,7.76192188
2004-11-15,3.21796656
2004-11-16,5.96873617
2004-11-17,7.80551529
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-12-01,-1.267651e+30
2004-12-02,4.42586279
2004-12-03,8.96890259
2004-12-04,4.70490456
2004-12-05,7.18065453
2004-12-06,3.63986444
2004-12-07,7.99656057
2004-12-08,7.00541687
2004-12-09,6.10264111
2004-12-10,6.94126081
2004-12-11,6.32060957
2004-12-12,7.64632511
2004-12-13,8.97132874
2004-12-14,4.01006174
2004-12-15,7.72519732
2004-12-16,7.99704981
2004-12-17,6.25409222
2004-12-18,4.98391724
2004-12-19,7.68934202
2004-12-20,-1.267651e+30
2004-12-21,8.07948303
2004-12-22,8.2032814
2004-12-23,5.52919388
2004-12-24,7.20850182
2004-12-25,4.57748985
2004-12-26,6.73904133
2004-12-27,4.44310713
2004-12-28,8.84084606
2004-12-29,9.24845123
2004-12-30,11.1473808
2004-12-31,4.40753269
2005-01-01,9.2750473
2005-01-02,6.19363308
2005-01-03,8.72349358
2005-01-04,8.47360802
2005-01-05,9.80743408
2005-01-06,8.84115505
2005-01-07,7.61852074
2005-01-08,7.38569498
2005-01-09,8.77481461
2005-01-10,9.90406322
2005-01-11,5.52089548
2005-01-12,8.56236076
2005-01-13,7.55523396
2005-01-14,6.17399549
2005-01-15,7.5268631
2005-01-16,4.30736589
2005-01-17,7.66864777
2005-01-18,6.59890938
2005-01-19,7.57998323
2005-01-20,7.60183573
2005-01-21,-1.267651e+30
2005-01-22,9.05254936
2005-01-23,4.68887138
2005-01-24,8.40281868
2005-01-25,6.50552034
2005-01-26,7.08019876
2005-01-27,8.11343384
2005-01-28,7.81103277
2005-01-29,5.13986778
2005-01-30,7.28546238
2005-01-31,6.49822283
2005-02-01,5.86674738
2005-02-02,6.74643898
2005-02-03,6.90541315
2005-02-04,7.15970469
2005-02-05,6.52770519
2005-02-06,5.44300175
2005-02-07,6.54776812
2005-02-08,5.24839354
2005-02-09,6.0907321
2005-02-10,6.83805132
2005-02-11,3.73912883
2005-02-12,7.49655581
2005-02-13,7.27175713
2005-02-14,3.36590052
2005-02-15,6.13220835
2005-02-16,5.06998968
2005-02-17,6.53422546
2005-02-18,7.28653955
2005-02-19,5.20291996
2005-02-20,6.01334906
2005-02-21,7.39924955
2005-02-22,-1.267651e+30
2005-02-23,2.95863819
2005-02-24,6.2758913
2005-02-25,3.90001512
2005-02-26,7.41140795
2005-02-27,6.87653017
2005-02-28,5.69991302
2005-03-01,2.2964251
2005-03-02,5.66817284
2005-03-03,4.7582593
2005-03-04,4.24439383
2005-03-05,3.57881117
2005-03-06,6.07901001
2005-03-07,3.84205627
2005-03-08,5.82775402
2005-03-09,4.84745932
2005-03-10,4.95980406
2005-03-11,2.66186333
2005-03-12,3.7299006
2005-03-13,5.39804792
2005-03-14,4.16537952
2005-03-15,4.39256763
2005-03-16,4.41586208
2005-03-17,4.88774109
2005-03-18,5.41957712
2005-03-19,3.75018859
2005-03-20,3.86471677
2005-03-21,4.98256111
2005-03-22,5.67770147
2005-03-23,1.64486766
2005-03-24,2.60854721
2005-03-25,3.29964352
2005-03-26,-1.267651e+30
2005-03-27,3.05367804
2005-03-28,3.63487959
2005-03-29,4.63869047
2005-03-30,3.82548785
2005-03-31,3.3974154
2005-04-01,3.67476034
2005-04-02,3.09018159
2005-04-03,2.07757616
2005-04-04,3.30279279
2005-04-05,2.89403057
2005-04-06,3.26730156
2005-04-07,3.19640899
2005-04-08,1.78010213
2005-04-09,2.95356917
2005-04-10,2.51961851
2005-04-11,3.23330283
2005-04-12,2.23616219
2005-04-13,2.25179839
2005-04-14,2.32893705
2005-04-15,2.62914586
2005-04-16,3.09139132
2005-04-17,3.18839884
2005-04-18,2.15680099
2005-04-19,1.6794374
2005-04-20,2.41505575
2005-04-21,2.08031392
2005-04-22,2.14553356
2005-04-23,1.51963222
2005-04-24,1.2185204
2005-04-25,1.817065
2005-04-26,1.73270226
2005-04-27,-1.267651e+30
2005-04-28,0.598982155
2005-04-29,1.10689819
2005-04-30,1.5411644
2005-05-01,2.19781756
2005-05-02,1.80478752
2005-05-03,1.5806098
2005-05-04,1.4500705
2005-05-05,1.53419387
2005-05-06,1.74967086
2005-05-07,0.7877841
2005-05-08,1.1474973
2005-05-09,0.9898175
2005-05-10,1.28524578
2005-05-11,1.5130167
2005-05-12,1.50025296
2005-05-13,0.538485587
2005-05-14,1.1730355
2005-05-15,1.06597114
2005-05-16,0.543068767
2005-05-17,0.996983588
2005-05-18,0.491060644
2005-05-19,0.999558806
2005-05-20,0.681518376
2005-05-21,1.07336843
2005-05-22,0.692440748
2005-05-23,0.461669207
2005-05-24,0.491835296
2005-05-25,0.611555696
2005-05-26,0.69354403
2005-05-27,0.750500858
2005-05-28,0.891712904
2005-05-29,-1.267651e+30
2005-05-30,0.754827499
2005-05-31,0.435268164
2005-06-01,0.723005056
2005-06-02,0.540482581
2005-06-03,0.777262926
2005-06-04,0.89747268
2005-06-05,0.942768335
2005-06-06,1.09436834
2005-06-07,0.705092132
2005-06-08,0.640117109
2005-06-09,0.837243795
2005-06-10,0.619008362
2005-06-11,0.273092985
2005-06-12,0.577118516
2005-06-13,0.285849065
2005-06-14,0.584924996
2005-06-15,0.7387411
2005-06-16,0.366657436
2005-06-17,0.379053265
2005-06-18,0.599272311
2005-06-19,0.505358219
2005-06-20,0.327231377
2005-06-21,0.361308753
2005-06-22,0.4193483
2005-06-23,0.502877891
2005-06-24,0.632810533
2005-06-25,0.604675055
2005-06-26,0.654379904
2005-06-27,0.264651179
2005-06-28,0.467200965
2005-06-29,0.409461856
2005-06-30,-1.267651e+30
2005-07-01,0.212569684
2005-07-02,0.451294243
2005-07-03,0.503686368
2005-07-04,0.65189904
2005-07-05,0.495940953
2005-07-06,0.436374456
2005-07-07,-1.267651e+30
2005-07-08,0.709132731
2005-07-09,0.683607578
2005-07-10,0.361310363
2005-07-11,0.777019143
2005-07-12,0.58247143
2005-07-13,0.587658525
2005-07-14,0.396866083
2005-07-15,0.780621171
2005-07-16,0.630591333
2005-07-17,0.61982429
2005-07-18,0.61332947
2005-07-19,0.760406494
2005-07-20,0.564476192
2005-07-21,0.642882347
2005-07-22,0.80798614
2005-07-23,0.741540134
2005-07-24,0.575657368
2005-07-25,0.83636421
2005-07-26,0.37826106
2005-07-27,0.817741513
2005-07-28,0.873230636
2005-07-29,1.06180918
2005-07-30,0.811691523
2005-07-31,0.553926349
2005-08-01,-1.267651e+30
2005-08-02,0.50838542
2005-08-03,0.475596398
2005-08-04,0.769930243
2005-08-05,0.900387824
2005-08-06,1.3926332
2005-08-07,0.72408396
2005-08-08,0.57715714
2005-08-09,1.42215788
2005-08-10,1.05602288
2005-08-11,0.822890282
2005-08-12,1.29965627
2005-08-13,1.55738187
2005-08-14,1.48150992
2005-08-15,0.944865644
2005-08-16,1.3736577
2005-08-17,0.789553106
2005-08-18,0.720054448
2005-08-19,1.34473836
2005-08-20,1.31115198
2005-08-21,1.38813186
2005-08-22,1.39278519
2005-08-23,1.72947788
2005-08-24,1.3582108
2005-08-25,1.099787
2005-08-26,1.36093724
2005-08-27,0.862249196
2005-08-28,1.82810032
2005-08-29,0.711279869
2005-08-30,1.00073564
2005-08-31,1.67751849
2005-09-01,1.17875779
2005-09-02,-1.267651e+30
2005-09-03,2.58279014
2005-09-04,1.99649155
2005-09-05,1.43828487
2005-09-06,1.81909215
2005-09-07,1.09084153
2005-09-08,2.48470306
2005-09-09,1.32257712
2005-09-10,2.03009319
2005-09-11,2.44299197
2005-09-12,2.00093508
2005-09-13,2.05995798
2005-09-14,1.96759439
2005-09-15,2.35660243
2005-09-16,1.05230486
2005-09-17,2.28967953
2005-09-18,2.68999314
2005-09-19,2.52139854
2005-09-20,2.1356771
2005-09-21,0.92185688
2005-09-22,3.31622934
2005-09-23,3.02836609
2005-09-24,3.13511133
2005-09-25,2.41770315
2005-09-26,3.48636961
2005-09-27,2.63963938
2005-09-28,1.29508877
2005-09-29,2.52097034
2005-09-30,4.46545839
2005-10-01,4.37462091
2005-10-02,2.99375224
2005-10-03,3.49747252
2005-10-04,-1.267651e+30
2005-10-05,4.39919472
2005-10-06,3.63824654
2005-10-07,3.64286733
2005-10-08,3.93227506
2005-10-09,4.54873896
2005-10-10,2.46143079
2005-10-11,3.84462357
2005-10-12,2.8118093
2005-10-13,1.3444171
2005-10-14,4.93015385
2005-10-15,2.29986715
2005-10-16,3.04180598
2005-10-17,3.59741688
2005-10-18,4.48726082
2005-10-19,2.91488194
2005-10-20,5.77846098
2005-10-21,5.19373178
2005-10-22,4.51825237
2005-10-23,5.1793313
2005-10-24,6.70822048
2005-10-25,2.74357033
2005-10-26,3.39205551
2005-10-27,4.17938757
2005-10-28,6.70893335
2005-10-29,5.14775372
2005-10-30,6.01610899
2005-10-31,6.31831169
2005-11-01,2.07237792
2005-11-02,5.48745394
2005-11-03,4.39100504
2005-11-04,5.76376963
2005-11-05,-1.267651e+30
2005-11-06,4.62827492
2005-11-07,4.6855545
2005-11-08,6.80650091
2005-11-09,7.49849033
2005-11-10,5.60598993
2005-11-11,3.8627665
2005-11-12,5.42975807
2005-11-13,5.45783663
2005-11-14,5.14168406
2005-11-15,6.47342205
2005-11-16,7.49108362
2005-11-17,5.63712597
2005-11-18,6.19030666
2005-11-19,7.16874075
2005-11-20,8.31341648
2005-11-21,4.64789248
2005-11-22,3.30077171
2005-11-23,7.28049183
2005-11-24,6.3970418
2005-11-25,8.65317154
2005-11-26,6.3063755
2005-11-27,7.81403971
2005-11-28,6.74205446
