Title:,"Time Series, Area-Averaged of UV Index (Local Noon) daily 1 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"7,45,10,48"
Data Bounding Box:,"7.5,45.5,9.5,47.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=7,45,10,48&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (OMUVBd_003_UVindex):, -1.267651e+30

time, OMUVBd_003_UVindex
2004-10-01,3.36520743
2004-10-02,3.69275641
2004-10-03,4.13326263
2004-10-04,3.93461466
2004-10-05,4.01236534
2004-10-06,-1.267651e+30
2004-10-07,2.6818552
2004-10-08,2.86755347
2004-10-09,2.42907071
2004-10-10,1.15986609
2004-10-11,2.09782171
2004-10-12,1.81989121
2004-10-13,2.07239723
2004-10-14,1.48516297
2004-10-15,1.15417242
2004-10-16,2.04884839
2004-10-17,-1.267651e+30
2004-10-18,2.04316401
2004-10-19,0.797852874
2004-10-20,1.42620957
2004-10-21,2.05434537
2004-10-22,2.29453015
2004-10-23,2.47332644
2004-10-24,2.3623755
2004-10-25,1.54426825
2004-10-26,0.587033153
2004-10-27,1.40707862
2004-10-28,1.06949246
2004-10-29,0.961850166
2004-10-30,1.72903144
2004-10-31,1.42036974
2004-11-01,0.929695487
2004-11-02,0.878129721
2004-11-03,1.61566114
2004-11-04,1.71792233
2004-11-05,1.55968761
2004-11-06,1.32638705
2004-11-07,1.25353074
2004-11-08,1.59124124
2004-11-09,1.03011703
2004-11-10,1.25372374
2004-11-11,0.777161777
2004-11-12,1.12917817
2004-11-13,1.15487099
2004-11-14,1.21600187
2004-11-15,1.32521129
2004-11-16,1.44119263
2004-11-17,1.40841591
2004-11-18,-1.267651e+30
2004-11-19,-1.267651e+30
2004-12-01,-1.267651e+30
2004-12-02,0.640275061
2004-12-03,0.848746598
2004-12-04,0.64669776
2004-12-05,0.672397852
2004-12-06,0.704303205
2004-12-07,0.883332968
2004-12-08,0.818403482
2004-12-09,0.854424059
2004-12-10,0.886540651
2004-12-11,0.820594609
2004-12-12,0.952156961
2004-12-13,0.907262623
2004-12-14,1.00338745
2004-12-15,0.754905164
2004-12-16,0.774282932
2004-12-17,0.525646091
2004-12-18,0.796956122
2004-12-19,0.530885696
2004-12-20,-1.267651e+30
2004-12-21,0.774527371
2004-12-22,0.647762597
2004-12-23,0.862023592
2004-12-24,0.758429587
2004-12-25,0.536238015
2004-12-26,0.261085778
2004-12-27,0.397522748
2004-12-28,0.385211587
2004-12-29,0.415009201
2004-12-30,0.852520466
2004-12-31,0.873822749
2005-01-01,0.913366258
2005-01-02,0.732511699
2005-01-03,0.870056033
2005-01-04,1.18460202
2005-01-05,1.01075399
2005-01-06,0.940423489
2005-01-07,1.08655429
2005-01-08,1.15766704
2005-01-09,0.793587089
2005-01-10,1.14896476
2005-01-11,1.10399556
2005-01-12,0.963419557
2005-01-13,1.02826297
2005-01-14,0.964354813
2005-01-15,1.11524856
2005-01-16,0.958301246
2005-01-17,0.920560122
2005-01-18,0.327055573
2005-01-19,0.635159433
2005-01-20,0.714529932
2005-01-21,-1.267651e+30
2005-01-22,0.930598259
2005-01-23,0.491537184
2005-01-24,0.627836823
2005-01-25,0.619073451
2005-01-26,0.658166647
2005-01-27,0.837990642
2005-01-28,0.901625872
2005-01-29,1.22249854
2005-01-30,1.12358856
2005-01-31,1.39542234
2005-02-01,1.12705612
2005-02-02,1.09685111
2005-02-03,1.56129766
2005-02-04,1.32164025
2005-02-05,1.16153979
2005-02-06,1.35857975
2005-02-07,1.40788198
2005-02-08,1.28212154
2005-02-09,1.40185475
2005-02-10,1.27709484
2005-02-11,1.0737536
2005-02-12,1.03085732
2005-02-13,1.0178808
2005-02-14,1.07498586
2005-02-15,0.992350519
2005-02-16,0.948183417
2005-02-17,1.32201815
2005-02-18,1.53729355
2005-02-19,0.989402592
2005-02-20,0.91288656
2005-02-21,0.980465174
2005-02-22,-1.267651e+30
2005-02-23,1.35583615
2005-02-24,1.32612026
2005-02-25,1.63104343
2005-02-26,1.69064677
2005-02-27,1.61479855
2005-02-28,2.013062
2005-03-01,2.03967023
2005-03-02,2.25210357
2005-03-03,1.13876438
2005-03-04,1.65715003
2005-03-05,1.08837831
2005-03-06,1.56723785
2005-03-07,1.93855906
2005-03-08,1.79086792
2005-03-09,2.00978565
2005-03-10,2.17316031
2005-03-11,2.68194914
2005-03-12,2.18741584
2005-03-13,2.90924096
2005-03-14,3.17100048
2005-03-15,3.37258101
2005-03-16,3.85056067
2005-03-17,3.61267447
2005-03-18,4.54743242
2005-03-19,4.96058655
2005-03-20,5.13827896
2005-03-21,4.30207491
2005-03-22,3.04544044
2005-03-23,3.78719163
2005-03-24,3.29874706
2005-03-25,3.51721025
2005-03-26,-1.267651e+30
2005-03-27,1.8788439
2005-03-28,3.13357735
2005-03-29,2.66868067
2005-03-30,2.30074358
2005-03-31,2.4761548
2005-04-01,3.4590919
2005-04-02,4.11049461
2005-04-03,4.19391775
2005-04-04,4.20762491
2005-04-05,3.85467291
2005-04-06,4.64302778
2005-04-07,1.91346359
2005-04-08,1.63345599
2005-04-09,1.67877054
2005-04-10,3.33685207
2005-04-11,3.36756635
2005-04-12,3.17067051
2005-04-13,3.89570832
2005-04-14,4.2787776
2005-04-15,3.2075901
2005-04-16,1.77109194
2005-04-17,2.40564871
2005-04-18,3.49032187
2005-04-19,2.02102542
2005-04-20,2.5242362
2005-04-21,3.87017941
2005-04-22,4.391078
2005-04-23,2.69313097
2005-04-24,2.20559382
2005-04-25,2.96536565
2005-04-26,5.27902174
2005-04-27,-1.267651e+30
2005-04-28,5.23816299
2005-04-29,6.00626755
2005-04-30,6.99579
2005-05-01,6.96197796
2005-05-02,6.77549887
2005-05-03,4.07947111
2005-05-04,4.8025775
2005-05-05,4.18155622
2005-05-06,3.86458158
2005-05-07,3.84905028
2005-05-08,5.63639832
2005-05-09,5.02377987
2005-05-10,3.35512137
2005-05-11,5.74929094
2005-05-12,5.85807562
2005-05-13,5.38423777
2005-05-14,2.37308526
2005-05-15,5.86139154
2005-05-16,2.2439611
2005-05-17,5.03436661
2005-05-18,3.43426538
2005-05-19,6.68305063
2005-05-20,7.25089025
2005-05-21,5.07199574
2005-05-22,5.55096531
2005-05-23,2.97622561
2005-05-24,7.48432732
2005-05-25,8.00889492
2005-05-26,8.09965229
2005-05-27,8.19221401
2005-05-28,8.03479099
2005-05-29,-1.267651e+30
2005-05-30,4.41122532
2005-05-31,7.22947979
2005-06-01,6.62968493
2005-06-02,6.9762578
2005-06-03,7.40326214
2005-06-04,5.16174984
2005-06-05,6.50094795
2005-06-06,4.60554838
2005-06-07,6.26387882
2005-06-08,6.47781563
2005-06-09,5.46631241
2005-06-10,7.06910896
2005-06-11,6.2152071
2005-06-12,5.30516148
2005-06-13,4.76897573
2005-06-14,2.971102
2005-06-15,6.17355585
2005-06-16,7.11710119
2005-06-17,7.09422445
2005-06-18,8.03336048
2005-06-19,8.07740784
2005-06-20,8.48681927
2005-06-21,8.14890099
2005-06-22,7.86374044
2005-06-23,8.06018829
2005-06-24,7.43713379
2005-06-25,4.6221962
2005-06-26,8.44805813
2005-06-27,8.68253613
2005-06-28,8.58296967
2005-06-29,6.27343941
2005-06-30,-1.267651e+30
2005-07-01,5.69117785
2005-07-02,7.01666689
2005-07-03,8.27996731
2005-07-04,4.59719992
2005-07-05,6.38104343
2005-07-06,4.87348795
2005-07-07,3.84215331
2005-07-08,5.38622332
2005-07-09,4.95796871
2005-07-10,4.69666719
2005-07-11,5.51525879
2005-07-12,6.30903101
2005-07-13,7.09102774
2005-07-14,8.15033722
2005-07-15,8.30125141
2005-07-16,6.32925701
2005-07-17,8.34982872
2005-07-18,3.99835873
2005-07-19,6.89779329
2005-07-20,7.98670292
2005-07-21,7.06985807
2005-07-22,6.25056553
2005-07-23,5.3621583
2005-07-24,4.53412056
2005-07-25,4.43411255
2005-07-26,6.91023445
2005-07-27,7.51693535
2005-07-28,8.2476368
2005-07-29,5.25931883
2005-07-30,5.33706903
2005-07-31,6.13230133
2005-08-01,-1.267651e+30
2005-08-02,2.27360773
2005-08-03,4.61230946
2005-08-04,6.19706631
2005-08-05,7.95272779
2005-08-06,5.60831213
2005-08-07,5.2649045
2005-08-08,6.21457529
2005-08-09,6.78547668
2005-08-10,6.28188324
2005-08-11,4.86960125
2005-08-12,6.74005795
2005-08-13,5.06403017
2005-08-14,2.56194901
2005-08-15,3.6543591
2005-08-16,5.49382114
2005-08-17,6.91414022
2005-08-18,5.34340525
2005-08-19,4.65874624
2005-08-20,3.32748389
2005-08-21,2.04363918
2005-08-22,2.43369675
2005-08-23,4.76146364
2005-08-24,5.51096153
2005-08-25,3.50551105
2005-08-26,4.94480801
2005-08-27,3.74115014
2005-08-28,4.53868151
2005-08-29,5.96036911
2005-08-30,6.42469883
2005-08-31,6.1680913
2005-09-01,6.18140745
2005-09-02,-1.267651e+30
2005-09-03,5.47077417
2005-09-04,5.22860336
2005-09-05,5.09316921
2005-09-06,4.68936968
2005-09-07,3.8801465
2005-09-08,4.54545927
2005-09-09,2.8082068
2005-09-10,3.9403584
2005-09-11,2.9120903
2005-09-12,3.87795758
2005-09-13,4.52423429
2005-09-14,4.74721861
2005-09-15,5.32196426
2005-09-16,4.41486406
2005-09-17,2.38121104
2005-09-18,2.51196623
2005-09-19,2.6094873
2005-09-20,3.80161309
2005-09-21,4.84157896
2005-09-22,4.35966873
2005-09-23,4.83180428
2005-09-24,4.89023256
2005-09-25,4.1538043
2005-09-26,3.73991942
2005-09-27,2.61166596
2005-09-28,3.49432564
2005-09-29,2.32035899
2005-09-30,3.97950077
2005-10-01,2.79985213
2005-10-02,1.12900376
2005-10-03,1.13095129
2005-10-04,-1.267651e+30
2005-10-05,1.87805486
2005-10-06,2.08154726
2005-10-07,2.28952956
2005-10-08,3.10845208
2005-10-09,3.52795315
2005-10-10,2.90120506
2005-10-11,2.44232345
2005-10-12,2.91081715
2005-10-13,3.16840935
2005-10-14,3.24354315
2005-10-15,3.07554698
2005-10-16,2.95771766
2005-10-17,2.35374522
2005-10-18,2.16875625
2005-10-19,1.56453872
2005-10-20,1.96338248
2005-10-21,2.38201404
2005-10-22,2.0633831
2005-10-23,1.22884035
2005-10-24,2.67020941
2005-10-25,2.20467687
2005-10-26,2.53452611
2005-10-27,2.51506615
2005-10-28,2.56016016
2005-10-29,2.45076132
2005-10-30,2.52289605
2005-10-31,2.14165306
2005-11-01,1.4532702
2005-11-02,1.98336184
2005-11-03,2.3990078
2005-11-04,1.39548922
2005-11-05,-1.267651e+30
2005-11-06,1.22401536
2005-11-07,1.72651136
2005-11-08,2.11165595
2005-11-09,1.83745444
2005-11-10,1.67690957
2005-11-11,1.66471326
2005-11-12,1.34122479
2005-11-13,1.5011586
2005-11-14,1.09343791
2005-11-15,1.30098605
2005-11-16,0.791199684
2005-11-17,1.36473942
2005-11-18,1.23743641
2005-11-19,1.30976641
2005-11-20,1.26723671
2005-11-21,0.853436291
2005-11-22,1.04165697
2005-11-23,0.914591253
2005-11-24,1.17239916
2005-11-25,0.55277282
2005-11-26,0.635948896
2005-11-27,0.80795449
2005-11-28,0.693750381
2005-11-29,0.537615716
